	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2007-11-08	45.7	short	1	True	1.0		
1	2007-11-09	46.36	short	2	True	2.0	-0.6599999999999966	-0.6599999999999966
2	2007-11-12	45.87	short	3	True	3.0	0.980000000000004	0.3200000000000074
3	2007-11-13	45.64	short	4	True	4.0	0.6899999999999906	1.009999999999998
4	2007-11-14	46.5	short	5	True	5.0	-3.4399999999999977	-2.4299999999999997
5	2007-11-15	46.14	short	5			1.7999999999999972	-0.6300000000000026
6	2007-11-16	46.35	short	5			-1.0500000000000043	-1.6800000000000068
7	2007-11-19	46.35	short	5			-0.0	-1.6800000000000068
8	2007-11-20	47.27	short	5			-4.6000000000000085	-6.280000000000015
9	2007-11-21	47.4	short	5			-0.6499999999999773	-6.929999999999993
10	2007-11-22		short	5			-0.0	-6.929999999999993
11	2007-11-23	48.04	short	5			-3.200000000000003	-10.129999999999995
12	2007-11-26	48.32	short	5			-1.4000000000000057	-11.530000000000001
13	2007-11-27	47.87	short	5			2.250000000000014	-9.279999999999987
14	2007-11-28	47.88	short	5			-0.05000000000002558	-9.330000000000013
15	2007-11-29	47.85	short	5			0.15000000000000568	-9.180000000000007
16	2007-11-30	47.67	short	5			0.8999999999999986	-8.280000000000008
17	2007-12-03	47.14	short	5			2.6500000000000057	-5.630000000000003
18	2007-12-04	47.15	short	5			-0.04999999999999005	-5.679999999999993
19	2007-12-05	47.05	short	5			0.5000000000000071	-5.1799999999999855
20	2007-12-06	46.95	short	5			0.4999999999999716	-4.680000000000014
21	2007-12-07	47.21	short	5			-1.29999999999999	-5.980000000000004
22	2007-12-10	47.28	short	4	True	1.0	-0.3500000000000014	-6.330000000000005
23	2007-12-11	47.34	short	3	True	2.0	-0.2400000000000091	-6.5700000000000145
24	2007-12-12	48.15	short	2	True	3.0	-2.4299999999999855	-9.0
25	2007-12-13	47.78	short	1	True	4.0	0.7399999999999949	-8.260000000000005
26	2007-12-14	47.8	short	0	True	5.0	-0.01999999999999602	-8.280000000000001
27	2008-04-08	56.57	long	1	True	1.0		
28	2008-04-09	58.78	long	2	True	2.0	2.210000000000001	-6.07
29	2008-04-10	60.9	long	3	True	3.0	4.239999999999995	-1.8300000000000054
30	2008-04-11	60.69	long	4	True	4.0	-0.6300000000000026	-2.460000000000008
31	2008-04-14	62.25	long	5	True	5.0	6.240000000000009	3.780000000000001
32	2008-04-15	63.27	long	5			5.100000000000016	8.880000000000017
33	2008-04-16	62.28	long	5			-4.95000000000001	3.930000000000007
34	2008-04-17	61.58	long	5			-3.500000000000014	0.4299999999999926
35	2008-04-18	61.74	long	5			0.8000000000000185	1.230000000000011
36	2008-04-21	59.72	long	5			-10.100000000000016	-8.870000000000005
37	2008-04-22	61.7	long	5			9.90000000000002	1.0300000000000153
38	2008-04-23	61.96	long	5			1.29999999999999	2.3300000000000054
39	2008-04-24	60.87	long	5			-5.450000000000017	-3.1200000000000117
40	2008-04-25	59.65	long	5			-6.099999999999994	-9.220000000000006
41	2008-04-28	58.48	long	5			-5.8500000000000085	-15.070000000000014
42	2008-04-29	57.82	long	5			-3.299999999999983	-18.369999999999997
43	2008-04-30	58.33	long	5			2.54999999999999	-15.820000000000007
44	2008-05-01	56.35	long	5			-9.899999999999984	-25.71999999999999
45	2008-05-02	57.26	long	5			4.549999999999983	-21.17000000000001
46	2008-05-05	57.37	long	5			0.5499999999999972	-20.62000000000001
47	2008-05-06	57.84	long	5			2.35000000000003	-18.269999999999982
48	2008-05-07	59.16	long	5			6.599999999999966	-11.670000000000016
49	2008-05-08	59.55	long	5			1.9500000000000028	-9.720000000000013
50	2008-05-09	62.0	long	5			12.250000000000014	2.530000000000001
51	2008-05-12	61.28	long	5			-3.5999999999999943	-1.0699999999999932
52	2008-05-13	62.1	long	5			4.100000000000001	3.0300000000000082
53	2008-05-14	61.5	long	5			-3.000000000000007	0.030000000000001137
54	2008-05-15	60.03	long	5			-7.349999999999994	-7.319999999999993
55	2008-05-16	61.85	long	5			9.100000000000001	1.7800000000000082
56	2008-05-19	60.2	long	5			-8.249999999999993	-6.469999999999985
57	2008-05-20	61.03	long	5			4.1499999999999915	-2.319999999999993
58	2008-05-21	63.25	long	5			11.099999999999994	8.780000000000001
59	2008-05-22	61.83	long	5			-7.1000000000000085	1.6799999999999926
60	2008-05-23	63.56	long	5			8.65000000000002	10.330000000000013
61	2008-05-26		long	5			0.0	10.330000000000013
62	2008-05-27	62.2	long	5			-6.799999999999997	3.5300000000000153
63	2008-05-28	62.65	long	5			2.2499999999999787	5.779999999999994
64	2008-05-29	60.3	long	5			-11.750000000000007	-5.970000000000013
65	2008-05-30	61.31	long	5			5.050000000000026	-0.9199999999999875
66	2008-06-02	61.7	long	5			1.9500000000000028	1.0300000000000153
67	2008-06-03	61.04	long	5			-3.3000000000000185	-2.270000000000003
68	2008-06-04	60.47	long	5			-2.8500000000000014	-5.1200000000000045
69	2008-06-05	62.65	long	5			10.899999999999999	5.779999999999994
70	2008-06-06	64.34	long	5			8.450000000000024	14.230000000000018
71	2008-06-09	64.3	long	4	True	1.0	-0.20000000000003126	14.029999999999987
72	2008-06-10	62.65	long	3	True	2.0	-6.599999999999994	7.429999999999993
73	2008-06-11	65.0	long	2	True	3.0	7.050000000000004	14.479999999999997
74	2008-06-12	66.2	long	1	True	4.0	2.4000000000000057	16.880000000000003
75	2008-06-13	66.19	long	0	True	5.0	-0.010000000000005116	16.869999999999997
