	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2002-02-08	223.5	short	1	True	1.0		
1	2002-02-11	223.5	short	2	True	2.0	-0.0	0.0
2	2002-02-12	224.25	short	3	True	3.0	-1.5	-1.5
3	2002-02-13	227.25	short	4	True	4.0	-9.0	-10.5
4	2002-02-14	226.5	short	5	True	5.0	3.0	-7.5
5	2002-02-15	224.75	short	5			8.75	1.25
6	2002-02-18		short	5			-0.0	1.25
7	2002-02-19	225.25	short	5			-2.5	-1.25
8	2002-02-20	226.5	short	5			-6.25	-7.5
9	2002-02-21	226.5	short	5			-0.0	-7.5
10	2002-02-22	224.75	short	5			8.75	1.25
11	2002-02-25	221.5	short	5			16.25	17.5
12	2002-02-26	218.75	short	5			13.75	31.25
13	2002-02-27	220.5	short	5			-8.75	22.5
14	2002-02-28	220.5	short	5			-0.0	22.5
15	2002-03-01	222.25	short	5			-8.75	13.75
16	2002-03-04	221.0	short	5			6.25	20.0
17	2002-03-05	222.5	short	5			-7.5	12.5
18	2002-03-06	221.75	short	5			3.75	16.25
19	2002-03-07	220.75	short	5			5.0	21.25
20	2002-03-08	221.25	short	5			-2.5	18.75
21	2002-03-11	222.25	short	5			-5.0	13.75
22	2002-03-12	223.25	short	5			-5.0	8.75
23	2002-03-13	220.0	short	5			16.25	25.0
24	2002-03-14	220.5	short	5			-2.5	22.5
25	2002-03-15	218.75	short	5			8.75	31.25
26	2002-03-18	219.25	short	5			-2.5	28.75
27	2002-03-19	219.25	short	5			-0.0	28.75
28	2002-03-20	218.75	short	5			2.5	31.25
29	2002-03-21	218.25	short	5			2.5	33.75
30	2002-03-22	217.5	short	5			3.75	37.5
31	2002-03-25	216.75	short	5			3.75	41.25
32	2002-03-26	217.75	short	5			-5.0	36.25
33	2002-03-27	218.75	short	5			-5.0	31.25
34	2002-03-28	215.25	short	5			17.5	48.75
35	2002-03-29		short	5			-0.0	48.75
36	2002-04-01	216.25	short	5			-5.0	43.75
37	2002-04-02	216.5	short	5			-1.25	42.5
38	2002-04-03	214.0	short	5			12.5	55.0
39	2002-04-04	214.0	short	5			-0.0	55.0
40	2002-04-05	213.75	short	5			1.25	56.25
41	2002-04-08	214.5	short	4	True	1.0	-3.75	52.5
42	2002-04-09	214.25	short	3	True	2.0	1.0	53.5
43	2002-04-10	212.25	short	2	True	3.0	6.0	59.5
44	2002-04-11	211.5	short	1	True	4.0	1.5	61.0
45	2002-04-12	210.25	short	0	True	5.0	1.25	62.25
46	2002-06-10	214.0	long	1	True	1.0		
47	2002-06-11	211.5	long	2	True	2.0	-2.5	59.75
48	2002-06-12	214.25	long	3	True	3.0	5.5	65.25
49	2002-06-13	218.5	long	4	True	4.0	12.75	78.0
50	2002-06-14	216.0	long	5	True	5.0	-10.0	68.0
51	2002-06-17	215.25	long	5			-3.75	64.25
52	2002-06-18	213.5	long	5			-8.75	55.5
53	2002-06-19	215.25	long	5			8.75	64.25
54	2002-06-20	217.0	long	5			8.75	73.0
55	2002-06-21	217.25	long	5			1.25	74.25
56	2002-06-24	226.0	long	5			43.75	118.0
57	2002-06-25	227.75	long	5			8.75	126.75
58	2002-06-26	229.0	long	5			6.25	133.0
59	2002-06-27	233.75	long	5			23.75	156.75
60	2002-06-28	233.0	long	5			-3.75	153.0
61	2002-07-01	240.5	long	5			37.5	190.5
62	2002-07-02	235.5	long	5			-25.0	165.5
63	2002-07-03	231.25	long	5			-21.25	144.25
64	2002-07-04		long	5			0.0	144.25
65	2002-07-05	236.5	long	5			26.25	170.5
66	2002-07-08	229.25	long	5			-36.25	134.25
67	2002-07-09	232.5	long	5			16.25	150.5
68	2002-07-10	228.75	long	5			-18.75	131.75
69	2002-07-11	223.75	long	5			-25.0	106.75
70	2002-07-12	222.5	long	5			-6.25	100.5
71	2002-07-15	227.25	long	5			23.75	124.25
72	2002-07-16	234.75	long	5			37.5	161.75
73	2002-07-17	231.5	long	5			-16.25	145.5
74	2002-07-18	232.75	long	5			6.25	151.75
75	2002-07-19	234.75	long	5			10.0	161.75
76	2002-07-22	246.0	long	5			56.25	218.0
77	2002-07-23	241.5	long	5			-22.5	195.5
78	2002-07-24	249.25	long	5			38.75	234.25
79	2002-07-25	244.25	long	5			-25.0	209.25
80	2002-07-26	243.0	long	5			-6.25	203.0
81	2002-07-29	231.0	long	5			-60.0	143.0
82	2002-07-30	236.0	long	5			25.0	168.0
83	2002-07-31	247.25	long	5			56.25	224.25
84	2002-08-01	249.25	long	5			10.0	234.25
85	2002-08-02	252.75	long	5			17.5	251.75
86	2002-08-05	253.5	long	5			3.75	255.5
87	2002-08-06	251.25	long	5			-11.25	244.25
88	2002-08-07	249.0	long	5			-11.25	233.0
89	2002-08-08	246.25	long	4	True	1.0	-13.75	219.25
90	2002-08-09	250.25	long	3	True	2.0	16.0	235.25
91	2002-08-12	260.75	long	2	True	3.0	31.5	266.75
92	2002-08-13	267.75	long	1	True	4.0	14.0	280.75
93	2002-08-14	273.0	long	0	True	5.0	5.25	286.0
