	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2016-04-08	375.0	short	1	True	1.0		
1	2016-04-11	368.75	short	2	True	2.0	6.25	6.25
2	2016-04-12	374.25	short	3	True	3.0	-11.0	-4.75
3	2016-04-13	384.0	short	4	True	4.0	-29.25	-34.0
4	2016-04-14	385.5	short	5	True	5.0	-6.0	-40.0
5	2016-04-15	388.25	short	5			-13.75	-53.75
6	2016-04-18	390.25	short	5			-10.0	-63.75
7	2016-04-19	396.5	short	5			-31.25	-95.0
8	2016-04-20	402.75	short	5			-31.25	-126.25
9	2016-04-21	393.5	short	5			46.25	-80.0
10	2016-04-22	381.0	short	5			62.5	-17.5
11	2016-04-25	387.75	short	5			-33.75	-51.25
12	2016-04-26	394.5	short	5			-33.75	-85.0
13	2016-04-27	390.5	short	5			20.0	-65.0
14	2016-04-28	394.5	short	5			-20.0	-85.0
15	2016-04-29	395.25	short	5			-3.75	-88.75
16	2016-05-02	396.5	short	5			-6.25	-95.0
17	2016-05-03	387.0	short	5			47.5	-47.5
18	2016-05-04	385.0	short	5			10.0	-37.5
19	2016-05-05	381.5	short	5			17.5	-20.0
20	2016-05-06	384.75	short	5			-16.25	-36.25
21	2016-05-09	377.0	short	5			38.75	2.5
22	2016-05-10	387.75	short	5			-53.75	-51.25
23	2016-05-11	385.5	short	5			11.25	-40.0
24	2016-05-12	396.25	short	5			-53.75	-93.75
25	2016-05-13	398.25	short	5			-10.0	-103.75
26	2016-05-16	400.0	short	5			-8.75	-112.5
27	2016-05-17	403.75	short	5			-18.75	-131.25
28	2016-05-18	406.0	short	5			-11.25	-142.5
29	2016-05-19	397.25	short	5			43.75	-98.75
30	2016-05-20	399.75	short	5			-12.5	-111.25
31	2016-05-23	402.75	short	5			-15.0	-126.25
32	2016-05-24	402.75	short	5			-0.0	-126.25
33	2016-05-25	408.5	short	5			-28.75	-155.0
34	2016-05-26	409.75	short	5			-6.25	-161.25
35	2016-05-27	413.5	short	5			-18.75	-180.0
36	2016-05-30		short	5			-0.0	-180.0
37	2016-05-31	408.5	short	5			25.0	-155.0
38	2016-06-01	416.25	short	5			-38.75	-193.75
39	2016-06-02	416.75	short	5			-2.5	-196.25
40	2016-06-03	419.75	short	5			-15.0	-211.25
41	2016-06-06	430.0	short	5			-51.25	-262.5
42	2016-06-07	433.25	short	5			-16.25	-278.75
43	2016-06-08	437.0	short	4	True	1.0	-18.75	-297.5
44	2016-06-09	433.5	short	3	True	2.0	14.0	-283.5
45	2016-06-10	430.75	short	2	True	3.0	8.25	-275.25
46	2016-06-13	440.0	short	1	True	4.0	-18.5	-293.75
47	2016-06-14	446.5	short	0	True	5.0	-6.5	-300.25
48	2016-08-08	334.75	long	1	True	1.0		
49	2016-08-09	332.5	long	2	True	2.0	-2.25	-302.5
50	2016-08-10	333.0	long	3	True	3.0	1.0	-301.5
51	2016-08-11	331.75	long	4	True	4.0	-3.75	-305.25
52	2016-08-12	333.0	long	5	True	5.0	5.0	-300.25
53	2016-08-15	337.0	long	5			20.0	-280.25
54	2016-08-16	337.25	long	5			1.25	-279.0
55	2016-08-17	339.75	long	5			12.5	-266.5
56	2016-08-18	342.0	long	5			11.25	-255.25
57	2016-08-19	343.75	long	5			8.75	-246.5
58	2016-08-22	342.5	long	5			-6.25	-252.75
59	2016-08-23	337.25	long	5			-26.25	-279.0
60	2016-08-24	336.25	long	5			-5.0	-284.0
61	2016-08-25	332.0	long	5			-21.25	-305.25
62	2016-08-26	325.0	long	5			-35.0	-340.25
63	2016-08-29	320.75	long	5			-21.25	-361.5
64	2016-08-30	315.75	long	5			-25.0	-386.5
65	2016-08-31	315.5	long	5			-1.25	-387.75
66	2016-09-01	323.75	long	5			41.25	-346.5
67	2016-09-02	328.5	long	5			23.75	-322.75
68	2016-09-05		long	5			0.0	-322.75
69	2016-09-06	328.5	long	5			0.0	-322.75
70	2016-09-07	333.25	long	5			23.75	-299.0
71	2016-09-08	338.5	long	5			26.25	-272.75
72	2016-09-09	341.0	long	5			12.5	-260.25
73	2016-09-12	339.5	long	5			-7.5	-267.75
74	2016-09-13	330.0	long	5			-47.5	-315.25
75	2016-09-14	331.75	long	5			8.75	-306.5
76	2016-09-15	330.0	long	5			-8.75	-315.25
77	2016-09-16	337.0	long	5			35.0	-280.25
78	2016-09-19	337.25	long	5			1.25	-279.0
79	2016-09-20	340.5	long	5			16.25	-262.75
80	2016-09-21	340.0	long	5			-2.5	-265.25
81	2016-09-22	336.75	long	5			-16.25	-281.5
82	2016-09-23	336.5	long	5			-1.25	-282.75
83	2016-09-26	329.0	long	5			-37.5	-320.25
84	2016-09-27	331.75	long	5			13.75	-306.5
85	2016-09-28	329.25	long	5			-12.5	-319.0
86	2016-09-29	329.25	long	5			0.0	-319.0
87	2016-09-30	336.75	long	5			37.5	-281.5
88	2016-10-03	346.0	long	5			46.25	-235.25
89	2016-10-04	348.25	long	5			11.25	-224.0
90	2016-10-05	347.75	long	5			-2.5	-226.5
91	2016-10-06	340.5	long	5			-36.25	-262.75
92	2016-10-07	339.75	long	5			-3.75	-266.5
93	2016-10-10	343.25	long	5			17.5	-249.0
94	2016-10-11	345.5	long	5			11.25	-237.75
95	2016-10-12	337.0	long	5			-42.5	-280.25
96	2016-10-13	349.5	long	5			62.5	-217.75
97	2016-10-14	354.25	long	5			23.75	-194.0
98	2016-10-17	354.0	long	5			-1.25	-195.25
99	2016-10-18	353.75	long	5			-1.25	-196.5
100	2016-10-19	357.5	long	5			18.75	-177.75
101	2016-10-20	351.0	long	5			-32.5	-210.25
102	2016-10-21	352.5	long	5			7.5	-202.75
103	2016-10-24	348.25	long	5			-21.25	-224.0
104	2016-10-25	349.25	long	5			5.0	-219.0
105	2016-10-26	354.0	long	5			23.75	-195.25
106	2016-10-27	357.5	long	5			17.5	-177.75
107	2016-10-28	355.0	long	5			-12.5	-190.25
108	2016-10-31	354.75	long	5			-1.25	-191.5
109	2016-11-01	349.0	long	5			-28.75	-220.25
110	2016-11-02	346.25	long	5			-13.75	-234.0
111	2016-11-03	348.0	long	5			8.75	-225.25
112	2016-11-04	348.75	long	5			3.75	-221.5
113	2016-11-07	346.25	long	5			-12.5	-234.0
114	2016-11-08	354.25	long	4	True	1.0	40.0	-194.0
115	2016-11-09	340.75	long	3	True	2.0	-54.0	-248.0
116	2016-11-10	343.5	long	2	True	3.0	8.25	-239.75
117	2016-11-11	340.25	long	1	True	4.0	-6.5	-246.25
118	2016-11-14	337.25	long	0	True	5.0	-3.0	-249.25
