	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2010-06-08	379.0	short	1	True	1.0		
1	2010-06-09	381.25	short	2	True	2.0	-2.25	-2.25
2	2010-06-10	386.5	short	3	True	3.0	-10.5	-12.75
3	2010-06-11	393.25	short	4	True	4.0	-20.25	-33.0
4	2010-06-14	397.25	short	5	True	5.0	-16.0	-49.0
5	2010-06-15	397.0	short	5			1.25	-47.75
6	2010-06-16	399.25	short	5			-11.25	-59.0
7	2010-06-17	400.0	short	5			-3.75	-62.75
8	2010-06-18	402.5	short	5			-12.5	-75.25
9	2010-06-21	396.25	short	5			31.25	-44.0
10	2010-06-22	393.75	short	5			12.5	-31.5
11	2010-06-23	387.75	short	5			30.0	-1.5
12	2010-06-24	386.5	short	5			6.25	4.75
13	2010-06-25	382.75	short	5			18.75	23.5
14	2010-06-28	375.0	short	5			38.75	62.25
15	2010-06-29	367.0	short	5			40.0	102.25
16	2010-06-30	394.75	short	5			-138.75	-36.5
17	2010-07-01	404.75	short	5			-50.0	-86.5
18	2010-07-02	404.25	short	5			2.5	-84.0
19	2010-07-05		short	5			-0.0	-84.0
20	2010-07-06	399.75	short	5			22.5	-61.5
21	2010-07-07	409.0	short	5			-46.25	-107.75
22	2010-07-08	415.75	short	5			-33.75	-141.5
23	2010-07-09	415.0	short	5			3.75	-137.75
24	2010-07-12	411.25	short	5			18.75	-119.0
25	2010-07-13	407.5	short	5			18.75	-100.25
26	2010-07-14	415.75	short	5			-41.25	-141.5
27	2010-07-15	423.25	short	5			-37.5	-179.0
28	2010-07-16	424.75	short	5			-7.5	-186.5
29	2010-07-19	413.5	short	5			56.25	-130.25
30	2010-07-20	408.25	short	5			26.25	-104.0
31	2010-07-21	414.5	short	5			-31.25	-135.25
32	2010-07-22	411.5	short	5			15.0	-120.25
33	2010-07-23	406.0	short	5			27.5	-92.75
34	2010-07-26	400.75	short	5			26.25	-66.5
35	2010-07-27	398.75	short	5			10.0	-56.5
36	2010-07-28	411.5	short	5			-63.75	-120.25
37	2010-07-29	414.0	short	5			-12.5	-132.75
38	2010-07-30	425.5	short	5			-57.5	-190.25
39	2010-08-02	424.0	short	5			7.5	-182.75
40	2010-08-03	424.0	short	5			-0.0	-182.75
41	2010-08-04	436.0	short	5			-60.0	-242.75
42	2010-08-05	436.75	short	5			-3.75	-246.5
43	2010-08-06	441.0	short	5			-21.25	-267.75
44	2010-08-09	440.0	short	4	True	1.0	5.0	-262.75
45	2010-08-10	431.5	short	3	True	2.0	34.0	-228.75
46	2010-08-11	432.0	short	2	True	3.0	-1.5	-230.25
47	2010-08-12	442.0	short	1	True	4.0	-20.0	-250.25
48	2010-08-13	447.25	short	0	True	5.0	-5.25	-255.5
49	2011-02-08	684.75	long	1	True	1.0		
50	2011-02-09	708.75	long	2	True	2.0	24.0	-231.5
51	2011-02-10	709.5	long	3	True	3.0	1.5	-230.0
52	2011-02-11	717.25	long	4	True	4.0	23.25	-206.75
53	2011-02-14	706.5	long	5	True	5.0	-43.0	-249.75
54	2011-02-15	701.0	long	5			-27.5	-277.25
55	2011-02-16	701.0	long	5			0.0	-277.25
56	2011-02-17	723.0	long	5			110.0	-167.25
57	2011-02-18	720.25	long	5			-13.75	-181.0
58	2011-02-21		long	5			0.0	-181.0
59	2011-02-22	690.25	long	5			-150.0	-331.0
60	2011-02-23	702.25	long	5			60.0	-271.0
61	2011-02-24	696.5	long	5			-28.75	-299.75
62	2011-02-25	722.0	long	5			127.5	-172.25
63	2011-02-28	731.0	long	5			45.0	-127.25
64	2011-03-01	735.5	long	5			22.5	-104.75
65	2011-03-02	721.5	long	5			-70.0	-174.75
66	2011-03-03	736.75	long	5			76.25	-98.5
67	2011-03-04	728.0	long	5			-43.75	-142.25
68	2011-03-07	717.5	long	5			-52.5	-194.75
69	2011-03-08	705.5	long	5			-60.0	-254.75
70	2011-03-09	701.0	long	5			-22.5	-277.25
71	2011-03-10	682.75	long	5			-91.25	-368.5
72	2011-03-11	664.25	long	5			-92.5	-461.0
73	2011-03-14	666.0	long	5			8.75	-452.25
74	2011-03-15	636.0	long	5			-150.0	-602.25
75	2011-03-16	616.5	long	5			-97.5	-699.75
76	2011-03-17	646.5	long	5			150.0	-549.75
77	2011-03-18	683.5	long	5			185.0	-364.75
78	2011-03-21	686.5	long	5			15.0	-349.75
79	2011-03-22	686.75	long	5			1.25	-348.5
80	2011-03-23	681.0	long	5			-28.75	-377.25
81	2011-03-24	702.5	long	5			107.5	-269.75
82	2011-03-25	689.5	long	5			-65.0	-334.75
83	2011-03-28	671.0	long	5			-92.5	-427.25
84	2011-03-29	671.75	long	5			3.75	-423.5
85	2011-03-30	663.25	long	5			-42.5	-466.0
86	2011-03-31	693.25	long	5			150.0	-316.0
87	2011-04-01	736.0	long	5			213.75	-102.25
88	2011-04-04	760.25	long	5			121.25	19.0
89	2011-04-05	766.75	long	5			32.5	51.5
90	2011-04-06	763.0	long	5			-18.75	32.75
91	2011-04-07	759.0	long	5			-20.0	12.75
92	2011-04-08	768.0	long	4	True	1.0	45.0	57.75
93	2011-04-11	776.0	long	3	True	2.0	32.0	89.75
94	2011-04-12	752.5	long	2	True	3.0	-70.5	19.25
95	2011-04-13	755.5	long	1	True	4.0	6.0	25.25
96	2011-04-14	754.25	long	0	True	5.0	-1.25	24.0
