	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2012-02-08	585.0	short	1	True	1.0		
1	2012-02-09	579.5	short	2	True	2.0	5.5	5.5
2	2012-02-10	571.25	short	3	True	3.0	16.5	22.0
3	2012-02-13	578.5	short	4	True	4.0	-21.75	0.25
4	2012-02-14	574.0	short	5	True	5.0	18.0	18.25
5	2012-02-15	570.0	short	5			20.0	38.25
6	2012-02-16	579.5	short	5			-47.5	-9.25
7	2012-02-17	579.25	short	5			1.25	-8.0
8	2012-02-20		short	5			-0.0	-8.0
9	2012-02-21	575.5	short	5			18.75	10.75
10	2012-02-22	574.25	short	5			6.25	17.0
11	2012-02-23	570.0	short	5			21.25	38.25
12	2012-02-24	568.0	short	5			10.0	48.25
13	2012-02-27	567.0	short	5			5.0	53.25
14	2012-02-28	574.5	short	5			-37.5	15.75
15	2012-02-29	578.75	short	5			-21.25	-5.5
16	2012-03-01	576.5	short	5			11.25	5.75
17	2012-03-02	580.0	short	5			-17.5	-11.75
18	2012-03-05	581.5	short	5			-7.5	-19.25
19	2012-03-06	573.25	short	5			41.25	22.0
20	2012-03-07	569.0	short	5			21.25	43.25
21	2012-03-08	567.75	short	5			6.25	49.5
22	2012-03-09	572.5	short	5			-23.75	25.75
23	2012-03-12	578.5	short	5			-30.0	-4.25
24	2012-03-13	575.25	short	5			16.25	12.0
25	2012-03-14	574.25	short	5			5.0	17.0
26	2012-03-15	581.5	short	5			-36.25	-19.25
27	2012-03-16	584.25	short	5			-13.75	-33.0
28	2012-03-19	580.5	short	5			18.75	-14.25
29	2012-03-20	570.5	short	5			50.0	35.75
30	2012-03-21	564.5	short	5			30.0	65.75
31	2012-03-22	566.0	short	5			-7.5	58.25
32	2012-03-23	568.0	short	5			-10.0	48.25
33	2012-03-26	563.5	short	5			22.5	70.75
34	2012-03-27	560.5	short	5			15.0	85.75
35	2012-03-28	547.5	short	5			65.0	150.75
36	2012-03-29	535.25	short	5			61.25	212.0
37	2012-03-30	551.75	short	5			-82.5	129.5
38	2012-04-02	559.5	short	5			-38.75	90.75
39	2012-04-03	555.5	short	5			20.0	110.75
40	2012-04-04	554.75	short	5			3.75	114.5
41	2012-04-05	561.0	short	5			-31.25	83.25
42	2012-04-06		short	5			-0.0	83.25
43	2012-04-09	559.25	short	4	True	1.0	8.75	92.0
44	2012-04-10	553.5	short	3	True	2.0	23.0	115.0
45	2012-04-11	556.75	short	2	True	3.0	-9.75	105.25
46	2012-04-12	555.0	short	1	True	4.0	3.5	108.75
47	2012-04-13	548.0	short	0	True	5.0	7.0	115.75
48	2012-11-08	743.25	long	1	True	1.0		
49	2012-11-09	742.0	long	2	True	2.0	-1.25	114.5
