	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2000-04-10	265.5	short	1	True	1.0		
1	2000-04-11	262.25	short	2	True	2.0	3.25	3.25
2	2000-04-12	264.75	short	3	True	3.0	-5.0	-1.75
3	2000-04-13	267.0	short	4	True	4.0	-6.75	-8.5
4	2000-04-14	265.25	short	5	True	5.0	7.0	-1.5
5	2000-04-17	263.25	short	5			10.0	8.5
6	2000-04-18	264.25	short	5			-5.0	3.5
7	2000-04-19	267.75	short	5			-17.5	-14.0
8	2000-04-20	267.0	short	5			3.75	-10.25
9	2000-04-21		short	5			-0.0	-10.25
10	2000-04-24	267.75	short	5			-3.75	-14.0
11	2000-04-25	270.5	short	5			-13.75	-27.75
12	2000-04-26	267.5	short	5			15.0	-12.75
13	2000-04-27	265.25	short	5			11.25	-1.5
14	2000-04-28	263.25	short	5			10.0	8.5
15	2000-05-01	274.25	short	5			-55.0	-46.5
16	2000-05-02	275.5	short	5			-6.25	-52.75
17	2000-05-03	279.75	short	5			-21.25	-74.0
18	2000-05-04	278.0	short	5			8.75	-65.25
19	2000-05-05	274.5	short	5			17.5	-47.75
20	2000-05-08	270.0	short	5			22.5	-25.25
21	2000-05-09	267.5	short	5			12.5	-12.75
22	2000-05-10	273.0	short	5			-27.5	-40.25
23	2000-05-11	274.0	short	5			-5.0	-45.25
24	2000-05-12	276.0	short	5			-10.0	-55.25
25	2000-05-15	269.0	short	5			35.0	-20.25
26	2000-05-16	265.5	short	5			17.5	-2.75
27	2000-05-17	266.5	short	5			-5.0	-7.75
28	2000-05-18	269.0	short	5			-12.5	-20.25
29	2000-05-19	271.5	short	5			-12.5	-32.75
30	2000-05-22	272.25	short	5			-3.75	-36.5
31	2000-05-23	270.0	short	5			11.25	-25.25
32	2000-05-24	266.25	short	5			18.75	-6.5
33	2000-05-25	262.75	short	5			17.5	11.0
34	2000-05-26	265.5	short	5			-13.75	-2.75
35	2000-05-29		short	5			-0.0	-2.75
36	2000-05-30	257.0	short	5			42.5	39.75
37	2000-05-31	257.5	short	5			-2.5	37.25
38	2000-06-01	258.0	short	5			-2.5	34.75
39	2000-06-02	263.0	short	5			-25.0	9.75
40	2000-06-05	258.0	short	5			25.0	34.75
41	2000-06-06	259.5	short	5			-7.5	27.25
42	2000-06-07	254.5	short	5			25.0	52.25
43	2000-06-08	253.5	short	4	True	1.0	5.0	57.25
44	2000-06-09	255.0	short	3	True	2.0	-6.0	51.25
45	2000-06-12	244.0	short	2	True	3.0	33.0	84.25
46	2000-06-13	243.75	short	1	True	4.0	0.5	84.75
47	2000-06-14	239.25	short	0	True	5.0	4.5	89.25
48	2001-02-08	218.25	long	1	True	1.0		
49	2001-02-09	218.75	long	2	True	2.0	0.5	89.75
50	2001-02-12	218.25	long	3	True	3.0	-1.0	88.75
51	2001-02-13	218.0	long	4	True	4.0	-0.75	88.0
52	2001-02-14	220.75	long	5	True	5.0	11.0	99.0
53	2001-02-15	220.25	long	5			-2.5	96.5
54	2001-02-16	219.5	long	5			-3.75	92.75
55	2001-02-19		long	5			0.0	92.75
56	2001-02-20	220.25	long	5			3.75	96.5
57	2001-02-21	218.25	long	5			-10.0	86.5
58	2001-02-22	217.75	long	5			-2.5	84.0
59	2001-02-23	217.0	long	5			-3.75	80.25
60	2001-02-26	217.0	long	5			0.0	80.25
61	2001-02-27	218.5	long	5			7.5	87.75
62	2001-02-28	222.5	long	5			20.0	107.75
63	2001-03-01	224.0	long	5			7.5	115.25
64	2001-03-02	222.75	long	5			-6.25	109.0
65	2001-03-05	222.5	long	5			-1.25	107.75
66	2001-03-06	223.25	long	5			3.75	111.5
67	2001-03-07	220.25	long	5			-15.0	96.5
68	2001-03-08	220.25	long	5			0.0	96.5
69	2001-03-09	219.75	long	5			-2.5	94.0
70	2001-03-12	221.25	long	5			7.5	101.5
71	2001-03-13	220.5	long	5			-3.75	97.75
72	2001-03-14	217.75	long	5			-13.75	84.0
73	2001-03-15	210.75	long	5			-35.0	49.0
74	2001-03-16	207.5	long	5			-16.25	32.75
75	2001-03-19	209.0	long	5			7.5	40.25
76	2001-03-20	211.5	long	5			12.5	52.75
77	2001-03-21	210.25	long	5			-6.25	46.5
78	2001-03-22	205.25	long	5			-25.0	21.5
79	2001-03-23	207.0	long	5			8.75	30.25
80	2001-03-26	209.75	long	5			13.75	44.0
81	2001-03-27	211.0	long	5			6.25	50.25
82	2001-03-28	209.25	long	5			-8.75	41.5
83	2001-03-29	207.25	long	5			-10.0	31.5
84	2001-03-30	203.25	long	5			-20.0	11.5
85	2001-04-02	208.25	long	5			25.0	36.5
86	2001-04-03	209.25	long	5			5.0	41.5
87	2001-04-04	211.75	long	5			12.5	54.0
88	2001-04-05	212.25	long	5			2.5	56.5
89	2001-04-06	210.25	long	5			-10.0	46.5
90	2001-04-09	210.75	long	4	True	1.0	2.5	49.0
91	2001-04-10	209.0	long	3	True	2.0	-7.0	42.0
92	2001-04-11	210.5	long	2	True	3.0	4.5	46.5
93	2001-04-12	211.75	long	1	True	4.0	2.5	49.0
94	2001-04-13		long	1	True	5.0	0.0	49.0
