	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2013-04-08	556.25	short	1	True	1.0		
1	2013-04-09	563.5	short	2	True	2.0	-7.25	-7.25
2	2013-04-10	566.75	short	3	True	3.0	-6.5	-13.75
3	2013-04-11	567.25	short	4	True	4.0	-1.5	-15.25
4	2013-04-12	574.0	short	5	True	5.0	-27.0	-42.25
5	2013-04-15	556.5	short	5			87.5	45.25
6	2013-04-16	564.0	short	5			-37.5	7.75
7	2013-04-17	570.5	short	5			-32.5	-24.75
8	2013-04-18	564.75	short	5			28.75	4.0
9	2013-04-19	570.75	short	5			-30.0	-26.0
10	2013-04-22	557.75	short	5			65.0	39.0
11	2013-04-23	548.25	short	5			47.5	86.5
12	2013-04-24	554.0	short	5			-28.75	57.75
13	2013-04-25	557.75	short	5			-18.75	39.0
14	2013-04-26	550.5	short	5			36.25	75.25
15	2013-04-29	582.75	short	5			-161.25	-86.0
16	2013-04-30	581.5	short	5			6.25	-79.75
17	2013-05-01	576.0	short	5			27.5	-52.25
18	2013-05-02	583.5	short	5			-37.5	-89.75
19	2013-05-03	578.0	short	5			27.5	-62.25
20	2013-05-06	564.0	short	5			70.0	7.75
21	2013-05-07	565.25	short	5			-6.25	1.5
22	2013-05-08	557.75	short	5			37.5	39.0
23	2013-05-09	565.75	short	5			-40.0	-1.0
24	2013-05-10	554.75	short	5			55.0	54.0
25	2013-05-13	564.25	short	5			-47.5	6.5
26	2013-05-14	562.5	short	5			8.75	15.25
27	2013-05-15	557.0	short	5			27.5	42.75
28	2013-05-16	548.75	short	5			41.25	84.0
29	2013-05-17	544.5	short	5			21.25	105.25
30	2013-05-20	545.75	short	5			-6.25	99.0
31	2013-05-21	546.25	short	5			-2.5	96.5
32	2013-05-22	556.25	short	5			-50.0	46.5
33	2013-05-23	560.5	short	5			-21.25	25.25
34	2013-05-24	562.75	short	5			-11.25	14.0
35	2013-05-27		short	5			-0.0	14.0
36	2013-05-28	576.0	short	5			-66.25	-52.25
37	2013-05-29	588.5	short	5			-62.5	-114.75
38	2013-05-30	585.75	short	5			13.75	-101.0
39	2013-05-31	587.5	short	5			-8.75	-109.75
40	2013-06-03	582.75	short	5			23.75	-86.0
41	2013-06-04	577.0	short	5			28.75	-57.25
42	2013-06-05	567.0	short	5			50.0	-7.25
43	2013-06-06	572.75	short	5			-28.75	-36.0
44	2013-06-07	582.25	short	5			-47.5	-83.5
45	2013-06-10	570.5	short	4	True	1.0	58.75	-24.75
46	2013-06-11	575.5	short	3	True	2.0	-20.0	-44.75
47	2013-06-12	562.25	short	2	True	3.0	39.75	-5.0
48	2013-06-13	560.75	short	1	True	4.0	3.0	-2.0
49	2013-06-14	558.25	short	0	True	5.0	2.5	0.5
50	2014-04-08	513.0	long	1	True	1.0		
51	2014-04-09	508.0	long	2	True	2.0	-5.0	-4.5
52	2014-04-10	507.25	long	3	True	3.0	-1.5	-6.0
53	2014-04-11	504.5	long	4	True	4.0	-8.25	-14.25
54	2014-04-14	509.25	long	5	True	5.0	19.0	4.75
55	2014-04-15	509.75	long	5			2.5	7.25
56	2014-04-16	503.5	long	5			-31.25	-24.0
57	2014-04-17	500.5	long	5			-15.0	-39.0
58	2014-04-18		long	5			0.0	-39.0
59	2014-04-21	493.75	long	5			-33.75	-72.75
60	2014-04-22	502.0	long	5			41.25	-31.5
61	2014-04-23	509.5	long	5			37.5	6.0
62	2014-04-24	507.25	long	5			-11.25	-5.25
63	2014-04-25	512.75	long	5			27.5	22.25
64	2014-04-28	513.75	long	5			5.0	27.25
65	2014-04-29	521.5	long	5			38.75	66.0
66	2014-04-30	519.0	long	5			-12.5	53.5
67	2014-05-01	507.0	long	5			-60.0	-6.5
68	2014-05-02	499.5	long	5			-37.5	-44.0
69	2014-05-05	508.0	long	5			42.5	-1.5
70	2014-05-06	517.5	long	5			47.5	46.0
71	2014-05-07	514.0	long	5			-17.5	28.5
72	2014-05-08	516.5	long	5			12.5	41.0
73	2014-05-09	507.5	long	5			-45.0	-4.0
74	2014-05-12	499.5	long	5			-40.0	-44.0
75	2014-05-13	502.75	long	5			16.25	-27.75
76	2014-05-14	495.5	long	5			-36.25	-64.0
77	2014-05-15	484.25	long	5			-56.25	-120.25
78	2014-05-16	483.5	long	5			-3.75	-124.0
79	2014-05-19	477.25	long	5			-31.25	-155.25
80	2014-05-20	473.5	long	5			-18.75	-174.0
81	2014-05-21	474.5	long	5			5.0	-169.0
82	2014-05-22	476.75	long	5			11.25	-157.75
83	2014-05-23	478.0	long	5			6.25	-151.5
84	2014-05-26		long	5			0.0	-151.5
85	2014-05-27	469.75	long	5			-41.25	-192.75
86	2014-05-28	472.5	long	5			13.75	-179.0
87	2014-05-29	469.5	long	5			-15.0	-194.0
88	2014-05-30	465.75	long	5			-18.75	-212.75
89	2014-06-02	465.5	long	5			-1.25	-214.0
90	2014-06-03	458.25	long	5			-36.25	-250.25
91	2014-06-04	456.25	long	5			-10.0	-260.25
92	2014-06-05	449.0	long	5			-36.25	-296.5
93	2014-06-06	459.0	long	5			50.0	-246.5
94	2014-06-09	451.0	long	4	True	1.0	-40.0	-286.5
95	2014-06-10	445.5	long	3	True	2.0	-22.0	-308.5
96	2014-06-11	441.0	long	2	True	3.0	-13.5	-322.0
97	2014-06-12	444.0	long	1	True	4.0	6.0	-316.0
98	2014-06-13	447.0	long	0	True	5.0	3.0	-313.0
