	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2012-11-08	2360.0	short	1	True	1.0		
1	2012-11-09	2379.0	short	2	True	2.0	-19.0	-19.0
2	2012-11-12	2393.0	short	3	True	3.0	-28.0	-47.0
3	2012-11-13	2402.0	short	4	True	4.0	-27.0	-74.0
4	2012-11-14	2469.0	short	5	True	5.0	-268.0	-342.0
5	2012-11-15	2493.0	short	5			-120.0	-462.0
6	2012-11-16	2412.0	short	5			405.0	-57.0
7	2012-11-19	2432.0	short	5			-100.0	-157.0
8	2012-11-20	2467.0	short	5			-175.0	-332.0
9	2012-11-21	2487.0	short	5			-100.0	-432.0
10	2012-11-22		short	5			-0.0	-432.0
11	2012-11-23	2522.0	short	5			-175.0	-607.0
12	2012-11-26	2488.0	short	5			170.0	-437.0
13	2012-11-27	2459.0	short	5			145.0	-292.0
14	2012-11-28	2470.0	short	5			-55.0	-347.0
15	2012-11-29	2500.0	short	5			-150.0	-497.0
16	2012-11-30	2509.0	short	5			-45.0	-542.0
17	2012-12-03	2528.0	short	5			-95.0	-637.0
18	2012-12-04	2457.0	short	5			355.0	-282.0
19	2012-12-05	2433.0	short	5			120.0	-162.0
20	2012-12-06	2434.0	short	5			-5.0	-167.0
21	2012-12-07	2427.0	short	5			35.0	-132.0
22	2012-12-10	2394.0	short	5			165.0	33.0
23	2012-12-11	2396.0	short	5			-10.0	23.0
24	2012-12-12	2457.0	short	5			-305.0	-282.0
25	2012-12-13	2438.0	short	5			95.0	-187.0
26	2012-12-14	2447.0	short	5			-45.0	-232.0
27	2012-12-17	2437.0	short	5			50.0	-182.0
28	2012-12-18	2412.0	short	5			125.0	-57.0
29	2012-12-19	2374.0	short	5			190.0	133.0
30	2012-12-20	2345.0	short	5			145.0	278.0
31	2012-12-21	2329.0	short	5			80.0	358.0
32	2012-12-24	2291.0	short	5			190.0	548.0
33	2012-12-25		short	5			-0.0	548.0
34	2012-12-26	2280.0	short	5			55.0	603.0
35	2012-12-27	2273.0	short	5			35.0	638.0
36	2012-12-28	2266.0	short	5			35.0	673.0
37	2012-12-31	2254.0	short	5			60.0	733.0
38	2013-01-01		short	5			-0.0	733.0
39	2013-01-02	2276.0	short	5			-110.0	623.0
40	2013-01-03	2275.0	short	5			5.0	628.0
41	2013-01-04	2239.0	short	5			180.0	808.0
42	2013-01-07	2285.0	short	5			-230.0	578.0
43	2013-01-08	2232.0	short	5			265.0	843.0
44	2013-01-09	2241.0	short	5			-45.0	798.0
45	2013-01-10	2287.0	short	5			-230.0	568.0
46	2013-01-11	2275.0	short	5			60.0	628.0
47	2013-01-14	2282.0	short	5			-35.0	593.0
48	2013-01-15	2287.0	short	5			-25.0	568.0
49	2013-01-16	2274.0	short	5			65.0	633.0
50	2013-01-17	2316.0	short	5			-210.0	423.0
51	2013-01-18	2304.0	short	5			60.0	483.0
52	2013-01-21		short	5			-0.0	483.0
53	2013-01-22	2235.0	short	5			345.0	828.0
54	2013-01-23	2237.0	short	5			-10.0	818.0
55	2013-01-24	2218.0	short	5			95.0	913.0
56	2013-01-25	2194.0	short	5			120.0	1033.0
57	2013-01-28	2181.0	short	5			65.0	1098.0
58	2013-01-29	2213.0	short	5			-160.0	938.0
59	2013-01-30	2196.0	short	5			85.0	1023.0
60	2013-01-31	2216.0	short	5			-100.0	923.0
61	2013-02-01	2215.0	short	5			5.0	928.0
62	2013-02-04	2206.0	short	5			45.0	973.0
63	2013-02-05	2257.0	short	5			-255.0	718.0
64	2013-02-06	2236.0	short	5			105.0	823.0
65	2013-02-07	2244.0	short	5			-40.0	783.0
66	2013-02-08	2236.0	short	4	True	1.0	40.0	823.0
67	2013-02-11	2181.0	short	3	True	2.0	220.0	1043.0
68	2013-02-12	2179.0	short	2	True	3.0	6.0	1049.0
69	2013-02-13	2179.0	short	1	True	4.0	-0.0	1049.0
70	2013-02-14	2166.0	short	0	True	5.0	13.0	1062.0
71	2013-04-08	2206.0	long	1	True	1.0		
72	2013-04-09	2233.0	long	2	True	2.0	27.0	1089.0
73	2013-04-10	2231.0	long	3	True	3.0	-4.0	1085.0
74	2013-04-11	2245.0	long	4	True	4.0	42.0	1127.0
75	2013-04-12	2268.0	long	5	True	5.0	92.0	1219.0
76	2013-04-15	2267.0	long	5			-5.0	1214.0
77	2013-04-16	2316.0	long	5			245.0	1459.0
78	2013-04-17	2317.0	long	5			5.0	1464.0
79	2013-04-18	2319.0	long	5			10.0	1474.0
80	2013-04-19	2333.0	long	5			70.0	1544.0
81	2013-04-22	2310.0	long	5			-115.0	1429.0
82	2013-04-23	2327.0	long	5			85.0	1514.0
83	2013-04-24	2326.0	long	5			-5.0	1509.0
84	2013-04-25	2360.0	long	5			170.0	1679.0
85	2013-04-26	2364.0	long	5			20.0	1699.0
86	2013-04-29	2335.0	long	5			-145.0	1554.0
87	2013-04-30	2368.0	long	5			165.0	1719.0
88	2013-05-01	2415.0	long	5			235.0	1954.0
89	2013-05-02	2414.0	long	5			-5.0	1949.0
90	2013-05-03	2416.0	long	5			10.0	1959.0
91	2013-05-06	2402.0	long	5			-70.0	1889.0
92	2013-05-07	2396.0	long	5			-30.0	1859.0
93	2013-05-08	2391.0	long	5			-25.0	1834.0
94	2013-05-09	2349.0	long	5			-210.0	1624.0
95	2013-05-10	2300.0	long	5			-245.0	1379.0
96	2013-05-13	2326.0	long	5			130.0	1509.0
97	2013-05-14	2353.0	long	5			135.0	1644.0
98	2013-05-15	2344.0	long	5			-45.0	1599.0
99	2013-05-16	2294.0	long	5			-250.0	1349.0
100	2013-05-17	2300.0	long	5			30.0	1379.0
101	2013-05-20	2301.0	long	5			5.0	1384.0
102	2013-05-21	2345.0	long	5			220.0	1604.0
103	2013-05-22	2317.0	long	5			-140.0	1464.0
