	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2017-02-08	2046.0	short	1	True	1.0		
1	2017-02-09	2028.0	short	2	True	2.0	18.0	18.0
2	2017-02-10	1994.0	short	3	True	3.0	68.0	86.0
3	2017-02-13	1957.0	short	4	True	4.0	111.0	197.0
4	2017-02-14	1936.0	short	5	True	5.0	84.0	281.0
5	2017-02-15	2012.0	short	5			-380.0	-99.0
6	2017-02-16	2062.0	short	5			-250.0	-349.0
7	2017-02-17	2028.0	short	5			170.0	-179.0
8	2017-02-20		short	5			-0.0	-179.0
9	2017-02-21	2021.0	short	5			35.0	-144.0
10	2017-02-22	2020.0	short	5			5.0	-139.0
11	2017-02-23	2052.0	short	5			-160.0	-299.0
12	2017-02-24	2019.0	short	5			165.0	-134.0
13	2017-02-27	2009.0	short	5			50.0	-84.0
14	2017-02-28	1937.0	short	5			360.0	276.0
15	2017-03-01	1927.0	short	5			50.0	326.0
16	2017-03-02	1957.0	short	5			-150.0	176.0
17	2017-03-03	1980.0	short	5			-115.0	61.0
18	2017-03-06	1961.0	short	5			95.0	156.0
19	2017-03-07	1944.0	short	5			85.0	241.0
20	2017-03-08	1939.0	short	5			25.0	266.0
21	2017-03-09	1925.0	short	5			70.0	336.0
22	2017-03-10	1952.0	short	5			-135.0	201.0
23	2017-03-13	2024.0	short	5			-360.0	-159.0
24	2017-03-14	2065.0	short	5			-205.0	-364.0
25	2017-03-15	2063.0	short	5			10.0	-354.0
26	2017-03-16	2047.0	short	5			80.0	-274.0
27	2017-03-17	2033.0	short	5			70.0	-204.0
28	2017-03-20	2127.0	short	5			-470.0	-674.0
29	2017-03-21	2160.0	short	5			-165.0	-839.0
30	2017-03-22	2169.0	short	5			-45.0	-884.0
31	2017-03-23	2183.0	short	5			-70.0	-954.0
32	2017-03-24	2144.0	short	5			195.0	-759.0
33	2017-03-27	2162.0	short	5			-90.0	-849.0
34	2017-03-28	2141.0	short	5			105.0	-744.0
35	2017-03-29	2097.0	short	5			220.0	-524.0
36	2017-03-30	2102.0	short	5			-25.0	-549.0
37	2017-03-31	2100.0	short	5			10.0	-539.0
38	2017-04-03	2116.0	short	5			-80.0	-619.0
39	2017-04-04	2117.0	short	5			-5.0	-624.0
40	2017-04-05	2117.0	short	5			-0.0	-624.0
41	2017-04-06	2095.0	short	5			110.0	-514.0
42	2017-04-07	2017.0	short	5			390.0	-124.0
43	2017-04-10	1974.0	short	4	True	1.0	215.0	91.0
44	2017-04-11	2000.0	short	3	True	2.0	-104.0	-13.0
45	2017-04-12	1980.0	short	2	True	3.0	60.0	47.0
46	2017-04-13	1929.0	short	1	True	4.0	102.0	149.0
47	2017-04-14		short	1	True	5.0	-0.0	149.0
48	2017-06-08	1989.0	long	1	True	1.0		
49	2017-06-09	2038.0	long	2	True	2.0	49.0	198.0
50	2017-06-12	2088.0	long	3	True	3.0	100.0	298.0
51	2017-06-13	2056.0	long	4	True	4.0	-96.0	202.0
52	2017-06-14	2075.0	long	5	True	5.0	76.0	278.0
53	2017-06-15	2069.0	long	5			-30.0	248.0
54	2017-06-16	2028.0	long	5			-205.0	43.0
55	2017-06-19	1934.0	long	5			-470.0	-427.0
56	2017-06-20	1918.0	long	5			-80.0	-507.0
57	2017-06-21	1853.0	long	5			-325.0	-832.0
58	2017-06-22	1823.0	long	5			-150.0	-982.0
59	2017-06-23	1879.0	long	5			280.0	-702.0
60	2017-06-26	1845.0	long	5			-170.0	-872.0
61	2017-06-27	1863.0	long	5			90.0	-782.0
62	2017-06-28	1884.0	long	5			105.0	-677.0
63	2017-06-29	1861.0	long	5			-115.0	-792.0
64	2017-06-30	1940.0	long	5			395.0	-397.0
65	2017-07-03	1958.0	long	5			90.0	-307.0
66	2017-07-04		long	5			0.0	-307.0
67	2017-07-05	1947.0	long	5			-55.0	-362.0
68	2017-07-06	1927.0	long	5			-100.0	-462.0
69	2017-07-07	1872.0	long	5			-275.0	-737.0
70	2017-07-10	1838.0	long	5			-170.0	-907.0
71	2017-07-11	1817.0	long	5			-105.0	-1012.0
72	2017-07-12	1821.0	long	5			20.0	-992.0
73	2017-07-13	1872.0	long	5			255.0	-737.0
74	2017-07-14	1915.0	long	5			215.0	-522.0
75	2017-07-17	1910.0	long	5			-25.0	-547.0
76	2017-07-18	1911.0	long	5			5.0	-542.0
77	2017-07-19	1944.0	long	5			165.0	-377.0
78	2017-07-20	1956.0	long	5			60.0	-317.0
79	2017-07-21	1968.0	long	5			60.0	-257.0
80	2017-07-24	1968.0	long	5			0.0	-257.0
81	2017-07-25	1926.0	long	5			-210.0	-467.0
82	2017-07-26	1912.0	long	5			-70.0	-537.0
83	2017-07-27	2013.0	long	5			505.0	-32.0
84	2017-07-28	2060.0	long	5			235.0	203.0
85	2017-07-31	2060.0	long	5			0.0	203.0
86	2017-08-01	2023.0	long	5			-185.0	18.0
87	2017-08-02	2055.0	long	5			160.0	178.0
88	2017-08-03	2061.0	long	5			30.0	208.0
89	2017-08-04	1994.0	long	5			-335.0	-127.0
90	2017-08-07	2029.0	long	5			175.0	48.0
91	2017-08-08	2018.0	long	4	True	1.0	-55.0	-7.0
92	2017-08-09	2002.0	long	3	True	2.0	-64.0	-71.0
93	2017-08-10	1967.0	long	2	True	3.0	-105.0	-176.0
94	2017-08-11	1990.0	long	1	True	4.0	46.0	-130.0
95	2017-08-14	1923.0	long	0	True	5.0	-67.0	-197.0
