	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2015-02-09	2825.0	short	1	True	1.0		
1	2015-02-10	2826.0	short	2	True	2.0	-1.0	-1.0
2	2015-02-11	2838.0	short	3	True	3.0	-24.0	-25.0
3	2015-02-12	2870.0	short	4	True	4.0	-96.0	-121.0
4	2015-02-13	2880.0	short	5	True	5.0	-40.0	-161.0
5	2015-02-16		short	5			-0.0	-161.0
6	2015-02-17	2882.0	short	5			-10.0	-171.0
7	2015-02-18	2911.0	short	5			-145.0	-316.0
8	2015-02-19	2913.0	short	5			-10.0	-326.0
9	2015-02-20	2917.0	short	5			-20.0	-346.0
10	2015-02-23	2940.0	short	5			-115.0	-461.0
11	2015-02-24	2952.0	short	5			-60.0	-521.0
12	2015-02-25	2905.0	short	5			235.0	-286.0
13	2015-02-26	2920.0	short	5			-75.0	-361.0
14	2015-02-27	2950.0	short	5			-150.0	-511.0
15	2015-03-02	2945.0	short	5			25.0	-486.0
16	2015-03-03	2962.0	short	5			-85.0	-571.0
17	2015-03-04	2945.0	short	5			85.0	-486.0
18	2015-03-05	2939.0	short	5			30.0	-456.0
19	2015-03-06	2891.0	short	5			240.0	-216.0
20	2015-03-09	2879.0	short	5			60.0	-156.0
21	2015-03-10	2862.0	short	5			85.0	-71.0
22	2015-03-11	2813.0	short	5			245.0	174.0
23	2015-03-12	2802.0	short	5			55.0	229.0
24	2015-03-13	2784.0	short	5			90.0	319.0
25	2015-03-16	2758.0	short	5			130.0	449.0
26	2015-03-17	2765.0	short	5			-35.0	414.0
27	2015-03-18	2738.0	short	5			135.0	549.0
28	2015-03-19	2699.0	short	5			195.0	744.0
29	2015-03-20	2771.0	short	5			-360.0	384.0
30	2015-03-23	2742.0	short	5			145.0	529.0
31	2015-03-24	2759.0	short	5			-85.0	444.0
32	2015-03-25	2764.0	short	5			-25.0	419.0
33	2015-03-26	2747.0	short	5			85.0	504.0
34	2015-03-27	2731.0	short	5			80.0	584.0
35	2015-03-30	2684.0	short	5			235.0	819.0
36	2015-03-31	2688.0	short	5			-20.0	799.0
37	2015-04-01	2720.0	short	5			-160.0	639.0
38	2015-04-02	2742.0	short	5			-110.0	529.0
39	2015-04-03		short	5			-0.0	529.0
40	2015-04-06	2772.0	short	5			-150.0	379.0
41	2015-04-07	2749.0	short	5			115.0	494.0
42	2015-04-08	2769.0	short	4	True	1.0	-100.0	394.0
43	2015-04-09	2762.0	short	3	True	2.0	28.0	422.0
44	2015-04-10	2758.0	short	2	True	3.0	12.0	434.0
45	2015-04-13	2772.0	short	1	True	4.0	-28.0	406.0
46	2015-04-14	2817.0	short	0	True	5.0	-45.0	361.0
47	2015-08-10	3109.0	long	1	True	1.0		
48	2015-08-11	3096.0	long	2	True	2.0	-13.0	348.0
49	2015-08-12	3052.0	long	3	True	3.0	-88.0	260.0
50	2015-08-13	3061.0	long	4	True	4.0	27.0	287.0
51	2015-08-14	3061.0	long	5	True	5.0	0.0	287.0
52	2015-08-17	3056.0	long	5			-25.0	262.0
53	2015-08-18	3084.0	long	5			140.0	402.0
54	2015-08-19	3116.0	long	5			160.0	562.0
55	2015-08-20	3135.0	long	5			95.0	657.0
56	2015-08-21	3074.0	long	5			-305.0	352.0
57	2015-08-24	3088.0	long	5			70.0	422.0
58	2015-08-25	3108.0	long	5			100.0	522.0
59	2015-08-26	3098.0	long	5			-50.0	472.0
60	2015-08-27	3109.0	long	5			55.0	527.0
61	2015-08-28	3112.0	long	5			15.0	542.0
62	2015-08-31	3099.0	long	5			-65.0	477.0
63	2015-09-01	3141.0	long	5			210.0	687.0
64	2015-09-02	3117.0	long	5			-120.0	567.0
65	2015-09-03	3114.0	long	5			-15.0	552.0
66	2015-09-04	3168.0	long	5			270.0	822.0
67	2015-09-07		long	5			0.0	822.0
68	2015-09-08	3220.0	long	5			260.0	1082.0
69	2015-09-09	3270.0	long	5			250.0	1332.0
70	2015-09-10	3276.0	long	5			30.0	1362.0
71	2015-09-11	3254.0	long	5			-110.0	1252.0
72	2015-09-14	3286.0	long	5			160.0	1412.0
73	2015-09-15	3238.0	long	5			-240.0	1172.0
74	2015-09-16	3267.0	long	5			145.0	1317.0
75	2015-09-17	3282.0	long	5			75.0	1392.0
76	2015-09-18	3311.0	long	5			145.0	1537.0
77	2015-09-21	3311.0	long	5			0.0	1537.0
78	2015-09-22	3312.0	long	5			5.0	1542.0
79	2015-09-23	3315.0	long	5			15.0	1557.0
80	2015-09-24	3293.0	long	5			-110.0	1447.0
81	2015-09-25	3276.0	long	5			-85.0	1362.0
82	2015-09-28	3242.0	long	5			-170.0	1192.0
83	2015-09-29	3182.0	long	5			-300.0	892.0
84	2015-09-30	3114.0	long	5			-340.0	552.0
85	2015-10-01	3105.0	long	5			-45.0	507.0
86	2015-10-02	3095.0	long	5			-50.0	457.0
87	2015-10-05	3092.0	long	5			-15.0	442.0
88	2015-10-06	3092.0	long	5			0.0	442.0
89	2015-10-07	3079.0	long	5			-65.0	377.0
90	2015-10-08	3060.0	long	5			-95.0	282.0
91	2015-10-09	3049.0	long	5			-55.0	227.0
92	2015-10-12	3074.0	long	5			125.0	352.0
93	2015-10-13	3125.0	long	5			255.0	607.0
94	2015-10-14	3109.0	long	5			-80.0	527.0
95	2015-10-15	3104.0	long	5			-25.0	502.0
96	2015-10-16	3119.0	long	5			75.0	577.0
97	2015-10-19	3169.0	long	5			250.0	827.0
98	2015-10-20	3202.0	long	5			165.0	992.0
99	2015-10-21	3146.0	long	5			-280.0	712.0
100	2015-10-22	3140.0	long	5			-30.0	682.0
101	2015-10-23	3125.0	long	5			-75.0	607.0
