	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2005-02-08	1617.0	short	1	True	1.0		
1	2005-02-09	1554.0	short	2	True	2.0	63.0	63.0
2	2005-02-10	1581.0	short	3	True	3.0	-54.0	9.0
3	2005-02-11	1575.0	short	4	True	4.0	18.0	27.0
4	2005-02-14	1577.0	short	5	True	5.0	-8.0	19.0
5	2005-02-15	1608.0	short	5			-155.0	-136.0
6	2005-02-16	1604.0	short	5			20.0	-116.0
7	2005-02-17	1633.0	short	5			-145.0	-261.0
8	2005-02-18	1637.0	short	5			-20.0	-281.0
9	2005-02-21		short	5			-0.0	-281.0
10	2005-02-22	1627.0	short	5			50.0	-231.0
11	2005-02-23	1644.0	short	5			-85.0	-316.0
12	2005-02-24	1675.0	short	5			-155.0	-471.0
13	2005-02-25	1676.0	short	5			-5.0	-476.0
14	2005-02-28	1748.0	short	5			-360.0	-836.0
15	2005-03-01	1770.0	short	5			-110.0	-946.0
16	2005-03-02	1741.0	short	5			145.0	-801.0
17	2005-03-03	1754.0	short	5			-65.0	-866.0
18	2005-03-04	1786.0	short	5			-160.0	-1026.0
19	2005-03-07	1807.0	short	5			-105.0	-1131.0
20	2005-03-08	1804.0	short	5			15.0	-1116.0
21	2005-03-09	1782.0	short	5			110.0	-1006.0
22	2005-03-10	1798.0	short	5			-80.0	-1086.0
23	2005-03-11	1850.0	short	5			-260.0	-1346.0
24	2005-03-14	1818.0	short	5			160.0	-1186.0
25	2005-03-15	1831.0	short	5			-65.0	-1251.0
26	2005-03-16	1873.0	short	5			-210.0	-1461.0
27	2005-03-17	1878.0	short	5			-25.0	-1486.0
28	2005-03-18	1893.0	short	5			-75.0	-1561.0
29	2005-03-21	1788.0	short	5			525.0	-1036.0
30	2005-03-22	1785.0	short	5			15.0	-1021.0
31	2005-03-23	1646.0	short	5			695.0	-326.0
32	2005-03-24	1643.0	short	5			15.0	-311.0
33	2005-03-25		short	5			-0.0	-311.0
34	2005-03-28	1629.0	short	5			70.0	-241.0
35	2005-03-29	1643.0	short	5			-70.0	-311.0
36	2005-03-30	1639.0	short	5			20.0	-291.0
37	2005-03-31	1676.0	short	5			-185.0	-476.0
38	2005-04-01	1637.0	short	5			195.0	-281.0
39	2005-04-04	1659.0	short	5			-110.0	-391.0
40	2005-04-05	1634.0	short	5			125.0	-266.0
41	2005-04-06	1643.0	short	5			-45.0	-311.0
42	2005-04-07	1638.0	short	5			25.0	-286.0
43	2005-04-08	1648.0	short	4	True	1.0	-50.0	-336.0
44	2005-04-11	1626.0	short	3	True	2.0	88.0	-248.0
45	2005-04-12	1644.0	short	2	True	3.0	-54.0	-302.0
46	2005-04-13	1644.0	short	1	True	4.0	-0.0	-302.0
47	2005-04-14	1607.0	short	0	True	5.0	37.0	-265.0
48	2005-11-08	1364.0	long	1	True	1.0		
49	2005-11-09	1372.0	long	2	True	2.0	8.0	-257.0
50	2005-11-10	1377.0	long	3	True	3.0	10.0	-247.0
51	2005-11-11	1348.0	long	4	True	4.0	-87.0	-334.0
52	2005-11-14	1351.0	long	5	True	5.0	12.0	-322.0
53	2005-11-15	1351.0	long	5			0.0	-322.0
54	2005-11-16	1354.0	long	5			15.0	-307.0
55	2005-11-17	1360.0	long	5			30.0	-277.0
56	2005-11-18	1425.0	long	5			325.0	48.0
57	2005-11-21	1414.0	long	5			-55.0	-7.0
58	2005-11-22	1429.0	long	5			75.0	68.0
59	2005-11-23	1413.0	long	5			-80.0	-12.0
60	2005-11-24		long	5			0.0	-12.0
61	2005-11-25		long	5			0.0	-12.0
62	2005-11-28	1409.0	long	5			-20.0	-32.0
63	2005-11-29	1404.0	long	5			-25.0	-57.0
64	2005-11-30	1415.0	long	5			55.0	-2.0
65	2005-12-01	1465.0	long	5			250.0	248.0
66	2005-12-02	1478.0	long	5			65.0	313.0
67	2005-12-05	1440.0	long	5			-190.0	123.0
68	2005-12-06	1429.0	long	5			-55.0	68.0
69	2005-12-07	1450.0	long	5			105.0	173.0
70	2005-12-08	1463.0	long	5			65.0	238.0
71	2005-12-09	1461.0	long	5			-10.0	228.0
72	2005-12-12	1479.0	long	5			90.0	318.0
73	2005-12-13	1480.0	long	5			5.0	323.0
74	2005-12-14	1460.0	long	5			-100.0	223.0
75	2005-12-15	1468.0	long	5			40.0	263.0
76	2005-12-16	1461.0	long	5			-35.0	228.0
77	2005-12-19	1439.0	long	5			-110.0	118.0
78	2005-12-20	1448.0	long	5			45.0	163.0
79	2005-12-21	1450.0	long	5			10.0	173.0
80	2005-12-22	1478.0	long	5			140.0	313.0
81	2005-12-23	1463.0	long	5			-75.0	238.0
82	2005-12-26		long	5			0.0	238.0
83	2005-12-27	1445.0	long	5			-90.0	148.0
84	2005-12-28	1469.0	long	5			120.0	268.0
85	2005-12-29	1501.0	long	5			160.0	428.0
86	2005-12-30	1504.0	long	5			15.0	443.0
87	2006-01-02		long	5			0.0	443.0
88	2006-01-03	1546.0	long	5			210.0	653.0
89	2006-01-04	1544.0	long	5			-10.0	643.0
90	2006-01-05	1519.0	long	5			-125.0	518.0
91	2006-01-06	1551.0	long	5			160.0	678.0
92	2006-01-09	1505.0	long	5			-230.0	448.0
93	2006-01-10	1519.0	long	5			70.0	518.0
94	2006-01-11	1518.0	long	5			-5.0	513.0
95	2006-01-12	1527.0	long	5			45.0	558.0
96	2006-01-13	1518.0	long	5			-45.0	513.0
97	2006-01-16		long	5			0.0	513.0
98	2006-01-17	1571.0	long	5			265.0	778.0
99	2006-01-18	1598.0	long	5			135.0	913.0
100	2006-01-19	1553.0	long	5			-225.0	688.0
101	2006-01-20	1548.0	long	5			-25.0	663.0
102	2006-01-23	1531.0	long	5			-85.0	578.0
103	2006-01-24	1451.0	long	5			-400.0	178.0
104	2006-01-25	1465.0	long	5			70.0	248.0
105	2006-01-26	1485.0	long	5			100.0	348.0
106	2006-01-27	1455.0	long	5			-150.0	198.0
107	2006-01-30	1477.0	long	5			110.0	308.0
108	2006-01-31	1484.0	long	5			35.0	343.0
109	2006-02-01	1467.0	long	5			-85.0	258.0
110	2006-02-02	1453.0	long	5			-70.0	188.0
111	2006-02-03	1474.0	long	5			105.0	293.0
112	2006-02-06	1476.0	long	5			10.0	303.0
113	2006-02-07	1517.0	long	5			205.0	508.0
114	2006-02-08	1522.0	long	4	True	1.0	25.0	533.0
115	2006-02-09	1520.0	long	3	True	2.0	-8.0	525.0
116	2006-02-10	1520.0	long	2	True	3.0	0.0	525.0
117	2006-02-13	1491.0	long	1	True	4.0	-58.0	467.0
118	2006-02-14	1508.0	long	0	True	5.0	17.0	484.0
