	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2001-04-09	1058.0	short	1	True	1.0		
1	2001-04-10	1048.0	short	2	True	2.0	10.0	10.0
2	2001-04-11	1078.0	short	3	True	3.0	-60.0	-50.0
3	2001-04-12	1066.0	short	4	True	4.0	36.0	-14.0
4	2001-04-13		short	4	True	5.0	-0.0	-14.0
5	2001-04-16	1044.0	short	5			88.0	74.0
6	2001-04-17	1053.0	short	5			-45.0	29.0
7	2001-04-18	1045.0	short	5			40.0	69.0
8	2001-04-19	1042.0	short	5			15.0	84.0
9	2001-04-20	1053.0	short	5			-55.0	29.0
10	2001-04-23	1065.0	short	5			-60.0	-31.0
11	2001-04-24	1056.0	short	5			45.0	14.0
12	2001-04-25	1073.0	short	5			-85.0	-71.0
13	2001-04-26	1078.0	short	5			-25.0	-96.0
14	2001-04-27	1054.0	short	5			120.0	24.0
15	2001-04-30	1042.0	short	5			60.0	84.0
16	2001-05-01	1032.0	short	5			50.0	134.0
17	2001-05-02	1025.0	short	5			35.0	169.0
18	2001-05-03	1044.0	short	5			-95.0	74.0
19	2001-05-04	1026.0	short	5			90.0	164.0
20	2001-05-07	1035.0	short	5			-45.0	119.0
21	2001-05-08	1080.0	short	5			-225.0	-106.0
22	2001-05-09	1048.0	short	5			160.0	54.0
23	2001-05-10	1072.0	short	5			-120.0	-66.0
24	2001-05-11	1036.0	short	5			180.0	114.0
25	2001-05-14	1046.0	short	5			-50.0	64.0
26	2001-05-15	1067.0	short	5			-105.0	-41.0
27	2001-05-16	1085.0	short	5			-90.0	-131.0
28	2001-05-17	1067.0	short	5			90.0	-41.0
29	2001-05-18	1095.0	short	5			-140.0	-181.0
30	2001-05-21	1068.0	short	5			135.0	-46.0
31	2001-05-22	1061.0	short	5			35.0	-11.0
32	2001-05-23	1071.0	short	5			-50.0	-61.0
33	2001-05-24	1059.0	short	5			60.0	-1.0
34	2001-05-25	1041.0	short	5			90.0	89.0
35	2001-05-28		short	5			-0.0	89.0
36	2001-05-29	1027.0	short	5			70.0	159.0
37	2001-05-30	997.0	short	5			150.0	309.0
38	2001-05-31	972.0	short	5			125.0	434.0
39	2001-06-01	992.0	short	5			-100.0	334.0
40	2001-06-04	983.0	short	5			45.0	379.0
41	2001-06-05	998.0	short	5			-75.0	304.0
42	2001-06-06	988.0	short	5			50.0	354.0
43	2001-06-07	947.0	short	5			205.0	559.0
44	2001-06-08	954.0	short	4	True	1.0	-35.0	524.0
45	2001-06-11	950.0	short	3	True	2.0	16.0	540.0
46	2001-06-12	937.0	short	2	True	3.0	39.0	579.0
47	2001-06-13	958.0	short	1	True	4.0	-42.0	537.0
48	2001-06-14	962.0	short	0	True	5.0	-4.0	533.0
49	2002-02-08	1459.0	long	1	True	1.0		
50	2002-02-11	1482.0	long	2	True	2.0	23.0	556.0
51	2002-02-12	1468.0	long	3	True	3.0	-28.0	528.0
52	2002-02-13	1458.0	long	4	True	4.0	-30.0	498.0
53	2002-02-14	1453.0	long	5	True	5.0	-20.0	478.0
54	2002-02-15	1467.0	long	5			70.0	548.0
55	2002-02-18		long	5			0.0	548.0
56	2002-02-19	1432.0	long	5			-175.0	373.0
57	2002-02-20	1393.0	long	5			-195.0	178.0
58	2002-02-21	1393.0	long	5			0.0	178.0
59	2002-02-22	1427.0	long	5			170.0	348.0
60	2002-02-25	1449.0	long	5			110.0	458.0
61	2002-02-26	1467.0	long	5			90.0	548.0
62	2002-02-27	1445.0	long	5			-110.0	438.0
63	2002-02-28	1450.0	long	5			25.0	463.0
64	2002-03-01	1495.0	long	5			225.0	688.0
65	2002-03-04	1491.0	long	5			-20.0	668.0
66	2002-03-05	1475.0	long	5			-80.0	588.0
67	2002-03-06	1488.0	long	5			65.0	653.0
68	2002-03-07	1521.0	long	5			165.0	818.0
69	2002-03-08	1524.0	long	5			15.0	833.0
70	2002-03-11	1550.0	long	5			130.0	963.0
71	2002-03-12	1552.0	long	5			10.0	973.0
72	2002-03-13	1558.0	long	5			30.0	1003.0
73	2002-03-14	1566.0	long	5			40.0	1043.0
74	2002-03-15	1559.0	long	5			-35.0	1008.0
75	2002-03-18	1543.0	long	5			-80.0	928.0
76	2002-03-19	1536.0	long	5			-35.0	893.0
77	2002-03-20	1511.0	long	5			-125.0	768.0
78	2002-03-21	1510.0	long	5			-5.0	763.0
79	2002-03-22	1535.0	long	5			125.0	888.0
80	2002-03-25	1488.0	long	5			-235.0	653.0
81	2002-03-26	1470.0	long	5			-90.0	563.0
82	2002-03-27	1504.0	long	5			170.0	733.0
83	2002-03-28	1494.0	long	5			-50.0	683.0
84	2002-03-29		long	5			0.0	683.0
85	2002-04-01	1504.0	long	5			50.0	733.0
86	2002-04-02	1488.0	long	5			-80.0	653.0
87	2002-04-03	1479.0	long	5			-45.0	608.0
88	2002-04-04	1512.0	long	5			165.0	773.0
89	2002-04-05	1559.0	long	5			235.0	1008.0
90	2002-04-08	1533.0	long	4	True	1.0	-130.0	878.0
91	2002-04-09	1516.0	long	3	True	2.0	-68.0	810.0
92	2002-04-10	1481.0	long	2	True	3.0	-105.0	705.0
93	2002-04-11	1493.0	long	1	True	4.0	24.0	729.0
94	2002-04-12	1520.0	long	0	True	5.0	27.0	756.0
