,Due,Future,Month,Pair
0,1999-12-20,CLF00,F,CLG00
1,2000-01-20,CLG00,G,CLH00
2,2000-02-22,CLH00,H,CLJ00
3,2000-03-21,CLJ00,J,CLK00
4,2000-04-19,CLK00,K,CLM00
5,2000-05-22,CLM00,M,CLN00
6,2000-06-20,CLN00,N,CLQ00
7,2000-07-20,CLQ00,Q,CLU00
8,2000-08-22,CLU00,U,CLV00
9,2000-09-20,CLV00,V,CLX00
10,2000-10-20,CLX00,X,CLZ00
11,2000-11-17,CLZ00,Z,CLF01
12,2000-12-19,CLF01,F,CLG01
13,2001-01-22,CLG01,G,CLH01
14,2001-02-20,CLH01,H,CLJ01
15,2001-03-20,CLJ01,J,CLK01
16,2001-04-20,CLK01,K,CLM01
17,2001-05-22,CLM01,M,CLN01
18,2001-06-20,CLN01,N,CLQ01
19,2001-07-20,CLQ01,Q,CLU01
20,2001-08-21,CLU01,U,CLV01
21,2001-09-20,CLV01,V,CLX01
22,2001-10-22,CLX01,X,CLZ01
23,2001-11-19,CLZ01,Z,CLF02
24,2001-12-18,CLF02,F,CLG02
25,2002-01-22,CLG02,G,CLH02
26,2002-02-20,CLH02,H,CLJ02
27,2002-03-20,CLJ02,J,CLK02
28,2002-04-22,CLK02,K,CLM02
29,2002-05-21,CLM02,M,CLN02
30,2002-06-20,CLN02,N,CLQ02
31,2002-07-22,CLQ02,Q,CLU02
32,2002-08-20,CLU02,U,CLV02
33,2002-09-20,CLV02,V,CLX02
34,2002-10-22,CLX02,X,CLZ02
35,2002-11-20,CLZ02,Z,CLF03
36,2002-12-19,CLF03,F,CLG03
37,2003-01-21,CLG03,G,CLH03
38,2003-02-20,CLH03,H,CLJ03
39,2003-03-20,CLJ03,J,CLK03
40,2003-04-22,CLK03,K,CLM03
41,2003-05-20,CLM03,M,CLN03
42,2003-06-20,CLN03,N,CLQ03
43,2003-07-22,CLQ03,Q,CLU03
44,2003-08-20,CLU03,U,CLV03
45,2003-09-22,CLV03,V,CLX03
46,2003-10-21,CLX03,X,CLZ03
47,2003-11-20,CLZ03,Z,CLF04
48,2003-12-19,CLF04,F,CLG04
49,2004-01-20,CLG04,G,CLH04
50,2004-02-20,CLH04,H,CLJ04
51,2004-03-22,CLJ04,J,CLK04
52,2004-04-20,CLK04,K,CLM04
53,2004-05-20,CLM04,M,CLN04
54,2004-06-22,CLN04,N,CLQ04
