	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2006-08-08	79.65	short	1	True	1.0		
1	2006-08-09	79.36	short	2	True	2.0	0.29000000000000625	0.29000000000000625
2	2006-08-10	78.06	short	3	True	3.0	2.5999999999999943	2.8900000000000006
3	2006-08-11	78.7	short	4	True	4.0	-1.9200000000000017	0.9699999999999989
4	2006-08-14	77.98	short	5	True	5.0	2.8799999999999955	3.8499999999999943
5	2006-08-15	77.32	short	5			3.300000000000054	7.150000000000048
6	2006-08-16	76.74	short	5			2.8999999999999915	10.05000000000004
7	2006-08-17	75.54	short	5			5.999999999999943	16.049999999999983
8	2006-08-18	76.0	short	5			-2.2999999999999687	13.750000000000014
9	2006-08-21	76.93	short	5			-4.650000000000034	9.09999999999998
10	2006-08-22	76.83	short	5			0.5000000000000426	9.600000000000023
11	2006-08-23	76.15	short	5			3.399999999999963	12.999999999999986
12	2006-08-24	76.45	short	5			-1.4999999999999858	11.5
13	2006-08-25	76.41	short	5			0.20000000000003126	11.700000000000031
14	2006-08-28	75.35	short	5			5.300000000000011	17.000000000000043
15	2006-08-29	74.9	short	5			2.249999999999943	19.249999999999986
16	2006-08-30	75.05	short	5			-0.7499999999999574	18.50000000000003
17	2006-08-31	75.37	short	5			-1.600000000000037	16.89999999999999
18	2006-09-01	74.36	short	5			5.050000000000026	21.950000000000017
19	2006-09-04		short	5			-0.0	21.950000000000017
20	2006-09-05	74.19	short	5			0.8500000000000085	22.800000000000026
21	2006-09-06	73.24	short	5			4.750000000000014	27.55000000000004
22	2006-09-07	73.12	short	5			0.5999999999999517	28.14999999999999
23	2006-09-08	72.16	short	4	True	1.0	4.80000000000004	32.95000000000003
24	2006-09-11	71.26	short	3	True	2.0	3.599999999999966	36.55
25	2006-09-12	69.68	short	2	True	3.0	4.739999999999995	41.28999999999999
26	2006-09-13	69.93	short	1	True	4.0	-0.5	40.78999999999999
27	2006-09-14	69.57	short	0	True	5.0	0.36000000000001364	41.150000000000006
28	2007-07-09	72.61	long	1	True	1.0		
29	2007-07-10	73.19	long	2	True	2.0	0.5799999999999983	41.730000000000004
30	2007-07-11	72.94	long	3	True	3.0	-0.5	41.230000000000004
31	2007-07-12	72.87	long	4	True	4.0	-0.20999999999997954	41.020000000000024
32	2007-07-13	74.13	long	5	True	5.0	5.039999999999964	46.05999999999999
33	2007-07-16	74.23	long	5			0.5000000000000426	46.56000000000003
34	2007-07-17	74.11	long	5			-0.6000000000000227	45.96000000000001
35	2007-07-18	75.3	long	5			5.949999999999989	51.91
36	2007-07-19	76.07	long	5			3.84999999999998	55.75999999999998
37	2007-07-20	75.79	long	5			-1.3999999999999346	54.36000000000004
38	2007-07-23	74.89	long	5			-4.500000000000028	49.860000000000014
39	2007-07-24	73.56	long	5			-6.6499999999999915	43.21000000000002
40	2007-07-25	75.88	long	5			11.599999999999966	54.80999999999999
41	2007-07-26	74.95	long	5			-4.649999999999963	50.160000000000025
42	2007-07-27	77.02	long	5			10.349999999999966	60.50999999999999
43	2007-07-30	76.83	long	5			-0.9499999999999886	59.56
44	2007-07-31	78.21	long	5			6.899999999999977	66.45999999999998
45	2007-08-01	76.53	long	5			-8.399999999999963	58.06000000000002
46	2007-08-02	76.86	long	5			1.6499999999999915	59.71000000000001
47	2007-08-03	75.48	long	5			-6.899999999999977	52.81000000000003
48	2007-08-06	72.06	long	5			-17.10000000000001	35.71000000000002
49	2007-08-07	72.42	long	5			1.7999999999999972	37.51000000000002
50	2007-08-08	72.15	long	4	True	1.0	-1.34999999999998	36.16000000000004
51	2007-08-09	71.59	long	3	True	2.0	-2.240000000000009	33.92000000000003
52	2007-08-10	71.47	long	2	True	3.0	-0.36000000000001364	33.56000000000002
53	2007-08-13	71.62	long	1	True	4.0	0.30000000000001137	33.86000000000003
54	2007-08-14	72.38	long	0	True	5.0	0.7599999999999909	34.62000000000002
