	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2007-01-08	63.61	short	1	True	1.0		
1	2007-01-09	63.25	short	2	True	2.0	0.35999999999999943	0.35999999999999943
2	2007-01-10	61.3	short	3	True	3.0	3.9000000000000057	4.260000000000005
3	2007-01-11	58.36	short	4	True	4.0	8.819999999999993	13.079999999999998
4	2007-01-12	58.8	short	5	True	5.0	-1.759999999999991	11.320000000000007
5	2007-01-15		short	5			-0.0	11.320000000000007
6	2007-01-16	56.79	short	5			10.04999999999999	21.369999999999997
7	2007-01-17	57.62	short	5			-4.1499999999999915	17.220000000000006
8	2007-01-18	57.14	short	5			2.3999999999999844	19.61999999999999
9	2007-01-19	58.93	short	5			-8.949999999999996	10.669999999999995
10	2007-01-22	58.58	short	5			1.750000000000007	12.420000000000002
11	2007-01-23	60.46	short	5			-9.400000000000013	3.019999999999989
12	2007-01-24	60.68	short	5			-1.0999999999999943	1.9199999999999946
13	2007-01-25	59.78	short	5			4.499999999999993	6.4199999999999875
14	2007-01-26	60.75	short	5			-4.849999999999994	1.5699999999999932
15	2007-01-29	59.41	short	5			6.700000000000017	8.27000000000001
16	2007-01-30	62.08	short	5			-13.350000000000009	-5.079999999999998
17	2007-01-31	63.26	short	5			-5.899999999999999	-10.979999999999997
18	2007-02-01	62.54	short	5			3.5999999999999943	-7.380000000000003
19	2007-02-02	64.35	short	5			-9.049999999999976	-16.42999999999998
20	2007-02-05	64.13	short	5			1.0999999999999943	-15.329999999999984
21	2007-02-06	63.85	short	5			1.3999999999999702	-13.930000000000014
22	2007-02-07	62.59	short	5			6.29999999999999	-7.630000000000024
23	2007-02-08	64.64	short	4	True	1.0	-10.249999999999986	-17.88000000000001
24	2007-02-09	64.82	short	3	True	2.0	-0.7199999999999704	-18.59999999999998
25	2007-02-12	63.1	short	2	True	3.0	5.159999999999975	-13.440000000000005
26	2007-02-13	64.25	short	1	True	4.0	-2.299999999999997	-15.740000000000002
27	2007-02-14	62.79	short	0	True	5.0	1.4600000000000009	-14.280000000000001
28	2008-01-08	96.08	long	1	True	1.0		
29	2008-01-09	95.23	long	2	True	2.0	-0.8499999999999943	-15.129999999999995
30	2008-01-10	93.21	long	3	True	3.0	-4.0400000000000205	-19.170000000000016
31	2008-01-11	92.16	long	4	True	4.0	-3.1499999999999915	-22.320000000000007
32	2008-01-14	93.87	long	5	True	5.0	6.840000000000032	-15.479999999999976
33	2008-01-15	91.73	long	5			-10.700000000000003	-26.17999999999998
34	2008-01-16	90.36	long	5			-6.850000000000023	-33.03
35	2008-01-17	89.57	long	5			-3.9500000000000313	-36.98000000000003
36	2008-01-18	89.92	long	5			1.7500000000000426	-35.22999999999999
37	2008-01-21		long	5			0.0	-35.22999999999999
38	2008-01-22	89.21	long	5			-3.55000000000004	-38.78000000000003
39	2008-01-23	86.99	long	5			-11.099999999999994	-49.880000000000024
40	2008-01-24	89.41	long	5			12.100000000000009	-37.780000000000015
41	2008-01-25	90.71	long	5			6.499999999999986	-31.28000000000003
42	2008-01-28	90.99	long	5			1.4000000000000057	-29.880000000000024
43	2008-01-29	91.64	long	5			3.2500000000000284	-26.629999999999995
44	2008-01-30	92.33	long	5			3.4499999999999886	-23.180000000000007
45	2008-01-31	91.75	long	5			-2.8999999999999915	-26.08
46	2008-02-01	88.96	long	5			-13.950000000000031	-40.03000000000003
47	2008-02-04	90.02	long	5			5.300000000000011	-34.73000000000002
48	2008-02-05	88.41	long	5			-8.049999999999997	-42.780000000000015
49	2008-02-06	87.14	long	5			-6.34999999999998	-49.129999999999995
50	2008-02-07	88.11	long	5			4.849999999999994	-44.28
51	2008-02-08	91.77	long	4	True	1.0	18.299999999999983	-25.980000000000018
52	2008-02-11	93.59	long	3	True	2.0	7.28000000000003	-18.69999999999999
53	2008-02-12	92.78	long	2	True	3.0	-2.430000000000007	-21.129999999999995
54	2008-02-13	93.27	long	1	True	4.0	0.9799999999999898	-20.150000000000006
55	2008-02-14	95.46	long	0	True	5.0	2.1899999999999977	-17.960000000000008
