	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2007-09-10	72.86	short	1	True	1.0		
1	2007-09-11	73.62	short	2	True	2.0	-0.7600000000000051	-0.7600000000000051
2	2007-09-12	74.94	short	3	True	3.0	-2.6399999999999864	-3.3999999999999915
3	2007-09-13	75.04	short	4	True	4.0	-0.3000000000000256	-3.700000000000017
4	2007-09-14	74.87	short	5	True	5.0	0.6800000000000068	-3.0200000000000102
5	2007-09-17	75.64	short	5			-3.84999999999998	-6.86999999999999
6	2007-09-18	76.21	short	5			-2.849999999999966	-9.719999999999956
7	2007-09-19	77.05	short	5			-4.200000000000017	-13.919999999999973
8	2007-09-20	78.1	short	5			-5.249999999999986	-19.16999999999996
9	2007-09-21	78.56	short	5			-2.30000000000004	-21.47
10	2007-09-24	78.46	short	5			0.5000000000000426	-20.969999999999956
11	2007-09-25	76.88	short	5			7.8999999999999915	-13.069999999999965
12	2007-09-26	76.57	short	5			1.5500000000000114	-11.519999999999953
13	2007-09-27	78.47	short	5			-9.500000000000028	-21.019999999999982
14	2007-09-28	77.82	short	5			3.2500000000000284	-17.769999999999953
15	2007-10-01	76.86	short	5			4.799999999999969	-12.969999999999985
16	2007-10-02	76.45	short	5			2.049999999999983	-10.920000000000002
17	2007-10-03	76.33	short	5			0.6000000000000227	-10.319999999999979
18	2007-10-04	78.08	short	5			-8.75	-19.06999999999998
19	2007-10-05	78.42	short	5			-1.700000000000017	-20.769999999999996
20	2007-10-08	76.57	short	4	True	1.0	9.250000000000043	-11.519999999999953
21	2007-10-09	77.5	short	3	True	2.0	-3.7200000000000273	-15.23999999999998
22	2007-10-10	78.51	short	2	True	3.0	-3.0300000000000153	-18.269999999999996
23	2007-10-11	79.69	short	1	True	4.0	-2.359999999999985	-20.62999999999998
24	2007-10-12	80.01	short	0	True	5.0	-0.3200000000000074	-20.94999999999999
25	2008-02-08	91.77	long	1	True	1.0		
26	2008-02-11	93.61	long	2	True	2.0	1.8400000000000034	-19.109999999999985
27	2008-02-12	92.86	long	3	True	3.0	-1.5	-20.609999999999985
28	2008-02-13	93.41	long	4	True	4.0	1.6499999999999915	-18.959999999999994
29	2008-02-14	95.55	long	5	True	5.0	8.560000000000002	-10.399999999999991
30	2008-02-15	95.45	long	5			-0.4999999999999716	-10.899999999999963
31	2008-02-18		long	5			0.0	-10.899999999999963
32	2008-02-19	99.7	long	5			21.25	10.350000000000037
33	2008-02-20	99.7	long	5			0.0	10.350000000000037
34	2008-02-21	98.23	long	5			-7.349999999999994	3.0000000000000426
35	2008-02-22	98.81	long	5			2.8999999999999915	5.900000000000034
36	2008-02-25	99.23	long	5			2.1000000000000085	8.000000000000043
37	2008-02-26	100.88	long	5			8.249999999999957	16.25
38	2008-02-27	99.64	long	5			-6.199999999999974	10.050000000000026
39	2008-02-28	102.59	long	5			14.750000000000014	24.80000000000004
40	2008-02-29	101.84	long	5			-3.75	21.05000000000004
41	2008-03-03	102.45	long	5			3.049999999999997	24.100000000000037
42	2008-03-04	99.52	long	5			-14.650000000000034	9.450000000000003
43	2008-03-05	104.52	long	5			25.0	34.45
44	2008-03-06	105.47	long	5			4.750000000000014	39.20000000000002
45	2008-03-07	105.15	long	5			-1.599999999999966	37.60000000000005
46	2008-03-10	107.9	long	4	True	1.0	13.75	51.35000000000005
47	2008-03-11	108.75	long	3	True	2.0	3.3999999999999773	54.75000000000003
48	2008-03-12	109.92	long	2	True	3.0	3.510000000000005	58.26000000000003
49	2008-03-13	110.33	long	1	True	4.0	0.8199999999999932	59.08000000000003
50	2008-03-14	110.21	long	0	True	5.0	-0.12000000000000455	58.96000000000002
