	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1998-08-24	17.04	5	short				
1	1998-08-25	17.06	5	short			-0.09999999999999787	-0.09999999999999787
2	1998-08-26	16.9	5	short			0.8000000000000007	0.7000000000000028
3	1998-08-27	16.81	5	short			0.4499999999999993	1.1500000000000021
4	1998-08-28	17.01	5	short			-1.0000000000000142	0.14999999999998792
5	1998-08-31	16.99	5	short			0.10000000000001563	0.25000000000000355
6	1998-09-01	17.27	5	short			-1.4000000000000057	-1.1500000000000021
7	1998-09-02	17.25	5	short			0.09999999999999787	-1.0500000000000043
8	1998-09-03	17.84	5	short			-2.9499999999999993	-4.0000000000000036
9	1998-09-04	17.48	5	short			1.7999999999999972	-2.2000000000000064
10	1998-09-07		5	short			-0.0	-2.2000000000000064
11	1998-09-08	17.4	5	short			0.40000000000000924	-1.7999999999999972
12	1998-09-09	17.41	5	short			-0.050000000000007816	-1.850000000000005
13	1998-09-10	17.54	5	short			-0.649999999999995	-2.5
14	1998-09-11	17.32	5	short			1.0999999999999943	-1.4000000000000057
15	1998-09-14	17.31	5	short			0.050000000000007816	-1.3499999999999979
16	1998-09-15	17.22	5	short			0.4499999999999993	-0.8999999999999986
17	1998-09-16	17.17	5	short			0.2499999999999858	-0.6500000000000128
18	1998-09-17	17.21	5	short			-0.19999999999999574	-0.8500000000000085
19	1998-09-18	17.72	5	short			-2.54999999999999	-3.3999999999999986
20	1998-09-21	17.55	5	short			0.8499999999999908	-2.550000000000008
21	1998-09-22	17.67	5	short			-0.600000000000005	-3.150000000000013
22	1998-09-23	17.6	5	short			0.3500000000000014	-2.8000000000000114
23	1998-09-24	17.77	5	short			-0.8499999999999908	-3.650000000000002
24	1998-09-25	17.57	5	short			0.9999999999999964	-2.6500000000000057
25	1998-09-28	17.49	5	short			0.40000000000000924	-2.2499999999999964
26	1998-09-29	17.62	5	short			-0.6500000000000128	-2.9000000000000092
27	1998-09-30	17.7	5	short			-0.3999999999999915	-3.3000000000000007
28	1998-10-01	17.36	5	short			1.6999999999999993	-1.6000000000000014
29	1998-10-02	17.52	5	short			-0.8000000000000007	-2.400000000000002
30	1998-10-05	17.44	5	short			0.3999999999999915	-2.0000000000000107
31	1998-10-06	17.49	5	short			-0.2499999999999858	-2.2499999999999964
32	1998-10-07	17.29	5	short			0.9999999999999964	-1.25
33	1998-10-08	17.0	5	short			1.4499999999999957	0.19999999999999574
34	1998-10-09	17.15	5	short			-0.7499999999999929	-0.5499999999999972
35	1998-10-12	17.03	5	short			0.5999999999999872	0.04999999999999005
36	1998-10-13	16.9	5	short			0.6500000000000128	0.7000000000000028
37	1998-10-14	16.9	5	short			-0.0	0.7000000000000028
38	1998-10-15	17.0	5	short			-0.5000000000000071	0.19999999999999574
39	1998-10-16	17.06	5	short			-0.2999999999999936	-0.09999999999999787
40	1998-10-19	16.48	5	short			2.8999999999999915	2.7999999999999936
41	1998-10-20	16.65	5	short			-0.8499999999999908	1.9500000000000028
42	1998-10-21	16.94	5	short			-1.4500000000000135	0.49999999999998934
43	1998-10-22	16.87	5	short			0.3500000000000014	0.8499999999999908
44	1998-10-23	16.91	5	short			-0.19999999999999574	0.649999999999995
45	1998-10-26	16.88	5	short			0.15000000000000568	0.8000000000000007
46	1998-10-27	16.78	5	short			0.49999999999998934	1.29999999999999
47	1998-10-28	17.04	5	short			-1.29999999999999	0.0
48	1998-10-29	16.99	5	short			0.25000000000000355	0.25000000000000355
49	1998-10-30	17.17	5	short			-0.9000000000000163	-0.6500000000000128
50	1998-11-02	16.93	5	short			1.20000000000001	0.5499999999999972
51	1998-11-03	16.89	5	short			0.19999999999999574	0.7499999999999929
52	1998-11-04	16.82	5	short			0.3500000000000014	1.0999999999999943
53	1998-11-05	16.77	5	short			0.25000000000000355	1.3499999999999979
54	1998-11-06	16.73	5	short			0.19999999999999574	1.5499999999999936
55	1998-11-09	16.46	5	short			1.3499999999999979	2.8999999999999915
56	1998-11-10	16.59	5	short			-0.649999999999995	2.2499999999999964
57	1998-11-11	16.6	5	short			-0.050000000000007816	2.1999999999999886
58	1998-11-12	16.82	5	short			-1.0999999999999943	1.0999999999999943
59	1998-11-13	16.51	5	short			1.5499999999999936	2.649999999999988
60	1998-11-16	16.4	5	short			0.5500000000000149	3.200000000000003
61	1998-11-17	16.39	5	short			0.04999999999999005	3.249999999999993
62	1998-11-18	16.68	5	short			-1.4499999999999957	1.7999999999999972
63	1998-11-19	16.76	5	short			-0.40000000000000924	1.399999999999988
64	1998-11-20	16.96	5	short			-0.9999999999999964	0.3999999999999915
65	1998-11-23	16.59	5	short			1.850000000000005	2.2499999999999964
66	1998-11-24	16.25	5	short			1.6999999999999993	3.9499999999999957
67	1998-11-25	16.16	5	short			0.4499999999999993	4.399999999999995
68	1998-11-26		5	short			-0.0	4.399999999999995
69	1998-11-27		5	short			-0.0	4.399999999999995
70	1998-11-30	16.04	5	short			0.600000000000005	5.0
71	1998-12-01	15.82	5	short			1.0999999999999943	6.099999999999994
72	1998-12-02	15.81	5	short			0.049999999999998934	6.149999999999993
73	1998-12-03	15.55	5	short			1.299999999999999	7.449999999999992
74	1998-12-04	15.57	5	short			-0.09999999999999787	7.349999999999994
75	1998-12-07	15.58	5	short			-0.049999999999998934	7.299999999999995
76	1998-12-08	15.42	5	short			0.8000000000000007	8.099999999999996
77	1998-12-09	15.4	5	short			0.09999999999999787	8.199999999999994
78	1998-12-10	15.28	5	short			0.600000000000005	8.799999999999999
79	1998-12-11	15.36	5	short			-0.40000000000000036	8.399999999999999
80	1998-12-14	15.58	5	short			-1.1000000000000032	7.299999999999995
81	1998-12-15	15.51	5	short			0.3500000000000014	7.649999999999997
82	1998-12-16	15.81	5	short			-1.5000000000000036	6.149999999999993
83	1998-12-17	14.89	5	short			4.6	10.749999999999993
84	1998-12-18	15.0	5	short			-0.5499999999999972	10.199999999999996
85	1998-12-21	14.86	5	short			0.7000000000000028	10.899999999999999
86	1998-12-22	14.94	5	short			-0.40000000000000036	10.499999999999998
87	1998-12-23	14.95	5	short			-0.049999999999998934	10.45
88	1998-12-24	14.87	5	short			0.40000000000000036	10.85
89	1998-12-25		5	short			-0.0	10.85
90	1998-12-28	14.9	5	short			-0.15000000000000568	10.699999999999994
91	1998-12-29	14.83	5	short			0.3500000000000014	11.049999999999995
92	1998-12-30	14.86	5	short			-0.1499999999999968	10.899999999999999
93	1998-12-31	14.96	5	short			-0.5000000000000071	10.399999999999991
94	1999-01-01		5	short			-0.0	10.399999999999991
95	1999-01-04	14.99	5	short			-0.1499999999999968	10.249999999999995
96	1999-01-05	14.82	5	short			0.8499999999999996	11.099999999999994
97	1999-01-06	15.24	5	short			-2.0999999999999996	8.999999999999995
98	1999-01-07	15.31	5	short			-0.3500000000000014	8.649999999999993
99	1999-01-08	15.16	5	short			0.7500000000000018	9.399999999999995
100	1999-01-11	15.22	5	short			-0.3000000000000025	9.099999999999993
101	1999-01-12	14.91	5	short			1.5500000000000025	10.649999999999995
102	1999-01-13	14.67	5	short			1.200000000000001	11.849999999999996
103	1999-01-14	14.64	5	short			0.1499999999999968	11.999999999999993
104	1999-01-15	14.62	5	short			0.10000000000000675	12.1
105	1999-01-18		5	short			-0.0	12.1
106	1999-01-19	14.5	5	short			0.5999999999999961	12.699999999999996
107	1999-01-20	14.31	5	short			0.9499999999999975	13.649999999999993
108	1999-01-21	14.45	5	short			-0.699999999999994	12.95
109	1999-01-22	14.55	5	short			-0.5000000000000071	12.449999999999992
110	1999-01-25	14.33	5	short			1.1000000000000032	13.549999999999995
111	1999-01-26	14.18	5	short			0.7500000000000018	14.299999999999997
112	1999-01-27	14.46	5	short			-1.4000000000000057	12.899999999999991
113	1999-01-28	14.56	5	short			-0.4999999999999982	12.399999999999993
114	1999-01-29	14.66	5	short			-0.4999999999999982	11.899999999999995
115	1999-02-01	14.52	5	short			0.7000000000000028	12.599999999999998
116	1999-02-02	14.62	5	short			-0.4999999999999982	12.1
117	1999-02-03	14.66	5	short			-0.20000000000000462	11.899999999999995
118	1999-02-04	14.32	5	short			1.6999999999999993	13.599999999999994
119	1999-02-05	14.12	5	short			1.0000000000000053	14.6
120	1999-02-08	13.99	5	short			0.649999999999995	15.249999999999995
121	1999-02-09	14.0	5	short			-0.049999999999998934	15.199999999999996
122	1999-02-10	13.88	5	short			0.5999999999999961	15.799999999999992
123	1999-02-11	13.83	5	short			0.25000000000000355	16.049999999999997
124	1999-02-12	13.77	5	short			0.3000000000000025	16.35
125	1999-02-15		5	short			-0.0	16.35
126	1999-02-16	13.53	5	short			1.200000000000001	17.550000000000004
