	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2006-08-08	79.87	short	1	True	1.0		
1	2006-08-09	79.58	short	2	True	2.0	0.29000000000000625	0.29000000000000625
2	2006-08-10	78.22	short	3	True	3.0	2.719999999999999	3.010000000000005
3	2006-08-11	78.84	short	4	True	4.0	-1.8600000000000136	1.1499999999999915
4	2006-08-14	78.05	short	5	True	5.0	3.160000000000025	4.3100000000000165
5	2006-08-15	77.39	short	5			3.299999999999983	7.609999999999999
6	2006-08-16	76.75	short	5			3.200000000000003	10.810000000000002
7	2006-08-17	75.49	short	5			6.300000000000026	17.110000000000028
8	2006-08-18	75.97	short	5			-2.40000000000002	14.710000000000008
9	2006-08-21	76.92	short	5			-4.750000000000014	9.959999999999994
10	2006-08-22	76.8	short	5			0.6000000000000227	10.560000000000016
11	2006-08-23	76.03	short	5			3.84999999999998	14.409999999999997
12	2006-08-24	76.35	short	5			-1.599999999999966	12.81000000000003
13	2006-08-25	76.32	short	5			0.15000000000000568	12.960000000000036
14	2006-08-28	75.19	short	5			5.649999999999977	18.610000000000014
15	2006-08-29	74.67	short	5			2.59999999999998	21.209999999999994
16	2006-08-30	74.82	short	5			-0.7499999999999574	20.460000000000036
17	2006-08-31	75.16	short	5			-1.700000000000017	18.76000000000002
18	2006-09-01	74.15	short	5			5.0499999999999545	23.809999999999974
19	2006-09-04		short	5			-0.0	23.809999999999974
20	2006-09-05	73.87	short	5			1.4000000000000057	25.20999999999998
21	2006-09-06	72.9	short	5			4.849999999999994	30.059999999999974
22	2006-09-07	72.77	short	5			0.6500000000000483	30.710000000000022
23	2006-09-08	71.79	short	4	True	1.0	4.899999999999949	35.60999999999997
24	2006-09-11	70.9	short	3	True	2.0	3.5600000000000023	39.16999999999997
25	2006-09-12	69.3	short	2	True	3.0	4.800000000000026	43.97
26	2006-09-13	69.53	short	1	True	4.0	-0.46000000000000796	43.50999999999999
27	2006-09-14	69.12	short	0	True	5.0	0.4099999999999966	43.91999999999999
28	2007-05-08	63.99	long	1	True	1.0		
29	2007-05-09	63.16	long	2	True	2.0	-0.8300000000000054	43.08999999999998
30	2007-05-10	63.43	long	3	True	3.0	0.5400000000000063	43.62999999999999
31	2007-05-11	64.12	long	4	True	4.0	2.0700000000000145	45.7
32	2007-05-14	63.89	long	5	True	5.0	-0.9200000000000159	44.77999999999999
33	2007-05-15	64.6	long	5			3.5499999999999687	48.329999999999956
34	2007-05-16	63.95	long	5			-3.2499999999999574	45.08
35	2007-05-17	65.92	long	5			9.849999999999994	54.92999999999999
36	2007-05-18	65.98	long	5			0.30000000000001137	55.230000000000004
37	2007-05-21	66.87	long	5			4.450000000000003	59.68000000000001
38	2007-05-22	65.51	long	5			-6.799999999999997	52.88000000000001
39	2007-05-23	65.77	long	5			1.2999999999999545	54.179999999999964
40	2007-05-24	64.18	long	5			-7.949999999999946	46.23000000000002
41	2007-05-25	65.2	long	5			5.09999999999998	51.33
42	2007-05-28		long	5			0.0	51.33
43	2007-05-29	63.15	long	5			-10.250000000000021	41.07999999999998
44	2007-05-30	63.49	long	5			1.700000000000017	42.779999999999994
45	2007-05-31	64.01	long	5			2.6000000000000156	45.38000000000001
46	2007-06-01	65.08	long	5			5.349999999999966	50.729999999999976
47	2007-06-04	66.21	long	5			5.649999999999977	56.37999999999995
48	2007-06-05	65.61	long	5			-2.9999999999999716	53.37999999999998
49	2007-06-06	65.96	long	5			1.7499999999999716	55.12999999999995
50	2007-06-07	66.93	long	5			4.850000000000065	59.98000000000002
51	2007-06-08	64.76	long	4	True	1.0	-10.850000000000009	49.13000000000001
52	2007-06-11	65.97	long	3	True	2.0	4.839999999999975	53.969999999999985
53	2007-06-12	65.35	long	2	True	3.0	-1.8600000000000136	52.10999999999997
54	2007-06-13	66.26	long	1	True	4.0	1.8200000000000216	53.92999999999999
55	2007-06-14	67.65	long	0	True	5.0	1.3900000000000006	55.31999999999999
