	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2015-09-08	51.23	short	1	True	1.0		
1	2015-09-09	49.39	short	2	True	2.0	1.8399999999999963	1.8399999999999963
2	2015-09-10	50.73	short	3	True	3.0	-2.6799999999999926	-0.8399999999999963
3	2015-09-11	49.89	short	4	True	4.0	2.519999999999989	1.6799999999999926
4	2015-09-14	48.25	short	5	True	5.0	6.560000000000002	8.239999999999995
5	2015-09-15	48.58	short	5			-1.6499999999999915	6.590000000000003
6	2015-09-16	50.52	short	5			-9.700000000000024	-3.1100000000000207
7	2015-09-17	49.86	short	5			3.3000000000000185	0.18999999999999773
8	2015-09-18	48.23	short	5			8.150000000000013	8.34000000000001
9	2015-09-21	49.69	short	5			-7.300000000000004	1.0400000000000063
10	2015-09-22	49.87	short	5			-0.8999999999999986	0.14000000000000767
11	2015-09-23	48.48	short	5			6.950000000000003	7.0900000000000105
12	2015-09-24	48.86	short	5			-1.9000000000000128	5.189999999999998
13	2015-09-25	49.27	short	5			-2.0500000000000185	3.1399999999999793
14	2015-09-28	48.01	short	5			6.300000000000026	9.440000000000005
15	2015-09-29	48.86	short	5			-4.250000000000007	5.189999999999998
16	2015-09-30	49.05	short	5			-0.9499999999999886	4.240000000000009
17	2015-10-01	48.38	short	5			3.349999999999973	7.589999999999982
18	2015-10-02	48.79	short	5			-2.049999999999983	5.539999999999999
19	2015-10-05	49.87	short	5			-5.3999999999999915	0.14000000000000767
20	2015-10-06	52.45	short	5			-12.900000000000027	-12.76000000000002
21	2015-10-07	51.77	short	5			3.3999999999999986	-9.36000000000002
22	2015-10-08	53.38	long	1	True	1.0		
23	2015-10-08	53.38	short	4	True	1.0	-8.049999999999997	-17.410000000000018
24	2015-10-09	52.91	long	2	True	2.0	-0.47000000000000597	-17.880000000000024
25	2015-10-09	52.91	short	3	True	2.0	1.8800000000000239	-16.0
26	2015-10-12	50.25	long	3	True	3.0	-5.319999999999993	-21.319999999999993
27	2015-10-12	50.25	short	2	True	3.0	7.97999999999999	-13.340000000000003
28	2015-10-13	49.69	long	4	True	4.0	-1.6800000000000068	-15.02000000000001
29	2015-10-13	49.69	short	1	True	4.0	1.1200000000000045	-13.900000000000006
30	2015-10-14	49.69	long	5	True	5.0	0.0	-13.900000000000006
31	2015-10-14	49.69	short	0	True	5.0	-0.0	-13.900000000000006
32	2015-10-15	49.73	long	5			0.19999999999999574	-13.70000000000001
33	2015-10-16	50.46	long	5			3.65000000000002	-10.04999999999999
34	2015-10-19	48.61	long	5			-9.250000000000007	-19.299999999999997
35	2015-10-20	48.71	long	5			0.5000000000000071	-18.79999999999999
36	2015-10-21	47.85	long	5			-4.299999999999997	-23.099999999999987
37	2015-10-22	48.08	long	5			1.1499999999999844	-21.950000000000003
38	2015-10-23	47.99	long	5			-0.4499999999999815	-22.399999999999984
39	2015-10-26	47.54	long	5			-2.250000000000014	-24.65
40	2015-10-27	46.81	long	5			-3.6499999999999844	-28.299999999999983
41	2015-10-28	49.05	long	5			11.199999999999974	-17.10000000000001
42	2015-10-29	48.8	long	5			-1.25	-18.35000000000001
43	2015-10-30	49.56	long	5			3.8000000000000256	-14.549999999999983
44	2015-11-02	48.79	long	5			-3.8500000000000156	-18.4
45	2015-11-03	50.54	long	5			8.75	-9.649999999999999
46	2015-11-04	48.58	long	5			-9.800000000000004	-19.450000000000003
47	2015-11-05	47.98	long	5			-3.000000000000007	-22.45000000000001
48	2015-11-06	47.42	long	5			-2.799999999999976	-25.249999999999986
49	2015-11-09	47.19	long	4	True	1.0	-1.15000000000002	-26.400000000000006
50	2015-11-10	47.44	long	3	True	2.0	1.0	-25.400000000000006
51	2015-11-11	45.81	long	2	True	3.0	-4.889999999999986	-30.289999999999992
52	2015-11-12	44.06	long	1	True	4.0	-3.5	-33.78999999999999
53	2015-11-13	43.61	long	0	True	5.0	-0.45000000000000284	-34.239999999999995
