	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2007-12-10	86.28	short	1	True	1.0		
1	2007-12-11	87.58	short	2	True	2.0	-1.2999999999999972	-1.2999999999999972
2	2007-12-12	90.33	short	3	True	3.0	-5.5	-6.799999999999997
3	2007-12-13	88.88	short	4	True	4.0	4.3500000000000085	-2.4499999999999886
4	2007-12-14	88.89	short	5	True	5.0	-0.040000000000020464	-2.490000000000009
5	2007-12-17	88.83	short	5			0.30000000000001137	-2.1899999999999977
6	2007-12-18	88.09	short	5			3.6999999999999744	1.5099999999999767
7	2007-12-19	89.01	short	5			-4.6000000000000085	-3.090000000000032
8	2007-12-20	88.44	short	5			2.850000000000037	-0.23999999999999488
9	2007-12-21	89.33	short	5			-4.450000000000003	-4.689999999999998
10	2007-12-24	89.45	short	5			-0.6000000000000227	-5.2900000000000205
11	2007-12-25		short	5			-0.0	-5.2900000000000205
12	2007-12-26	90.09	short	5			-3.200000000000003	-8.490000000000023
13	2007-12-27	90.9	short	5			-4.050000000000011	-12.540000000000035
14	2007-12-28	90.68	short	5			1.0999999999999943	-11.44000000000004
15	2007-12-31	90.65	short	5			0.15000000000000568	-11.290000000000035
16	2008-01-01		short	5			-0.0	-11.290000000000035
17	2008-01-02	93.64	short	5			-14.949999999999974	-26.24000000000001
18	2008-01-03	93.94	short	5			-1.4999999999999858	-27.739999999999995
19	2008-01-04	93.54	short	5			1.9999999999999574	-25.740000000000038
20	2008-01-07	91.56	short	5			9.90000000000002	-15.840000000000018
21	2008-01-08	92.28	short	4	True	1.0	-3.5999999999999943	-19.440000000000012
22	2008-01-09	90.38	short	3	True	2.0	7.600000000000023	-11.83999999999999
23	2008-01-10	89.06	short	2	True	3.0	3.9599999999999795	-7.88000000000001
24	2008-01-11	88.38	short	1	True	4.0	1.3600000000000136	-6.519999999999996
25	2008-01-14	89.96	short	0	True	5.0	-1.5799999999999983	-8.099999999999994
26	2008-11-10	61.11	long	1	True	1.0		
27	2008-11-11	57.75	long	2	True	2.0	-3.3599999999999994	-11.459999999999994
28	2008-11-12	54.52	long	3	True	3.0	-6.459999999999994	-17.919999999999987
29	2008-11-13	56.24	long	4	True	4.0	5.159999999999997	-12.759999999999991
30	2008-11-14	54.24	long	5	True	5.0	-8.0	-20.75999999999999
31	2008-11-17	52.31	long	5			-9.649999999999999	-30.40999999999999
32	2008-11-18	51.84	long	5			-2.3499999999999943	-32.759999999999984
33	2008-11-19	51.72	long	5			-0.6000000000000227	-33.36000000000001
34	2008-11-20	48.08	long	5			-18.200000000000003	-51.56000000000001
35	2008-11-21	49.19	long	5			5.549999999999997	-46.01000000000001
36	2008-11-24	53.93	long	5			23.70000000000001	-22.310000000000002
37	2008-11-25	50.35	long	5			-17.89999999999999	-40.209999999999994
38	2008-11-26	53.92	long	5			17.85	-22.359999999999992
39	2008-11-27	53.13	long	5			-3.9499999999999957	-26.309999999999988
40	2008-11-28	53.49	long	5			1.7999999999999972	-24.50999999999999
41	2008-12-01	47.97	long	5			-27.600000000000016	-52.11000000000001
42	2008-12-02	45.44	long	5			-12.650000000000006	-64.76000000000002
43	2008-12-03	45.44	long	5			0.0	-64.76000000000002
44	2008-12-04	42.28	long	5			-15.799999999999983	-80.56
45	2008-12-05	39.74	long	5			-12.699999999999996	-93.25999999999999
46	2008-12-08	43.42	long	4	True	1.0	18.4	-74.85999999999999
47	2008-12-09	41.53	long	3	True	2.0	-7.560000000000002	-82.41999999999999
48	2008-12-10	42.4	long	2	True	3.0	2.6099999999999923	-79.81
49	2008-12-11	47.39	long	1	True	4.0	9.980000000000004	-69.83
50	2008-12-12	46.41	long	0	True	5.0	-0.980000000000004	-70.81
