	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2018-01-08	63.67	short	1	True	1.0		
1	2018-01-09	64.42	short	2	True	2.0	-0.75	-0.75
2	2018-01-10	64.59	short	3	True	3.0	-0.3400000000000034	-1.0900000000000034
3	2018-01-11	64.55	short	4	True	4.0	0.12000000000001876	-0.9699999999999847
4	2018-01-12	65.03	short	5	True	5.0	-1.920000000000016	-2.8900000000000006
5	2018-01-15	65.65	short	5			-3.1000000000000227	-5.990000000000023
6	2018-01-16	64.87	short	5			3.9000000000000057	-2.0900000000000176
7	2018-01-17	65.05	short	5			-0.899999999999963	-2.9899999999999807
8	2018-01-18	65.13	short	5			-0.3999999999999915	-3.389999999999972
9	2018-01-19	64.64	short	5			2.4499999999999744	-0.9399999999999977
10	2018-01-22	64.88	short	5			-1.1999999999999744	-2.139999999999972
11	2018-01-23	65.48	short	5			-3.0000000000000426	-5.140000000000015
12	2018-01-24	65.61	short	5			-0.6499999999999773	-5.789999999999992
13	2018-01-25	65.72	short	5			-0.5499999999999972	-6.339999999999989
14	2018-01-26	65.77	short	5			-0.2499999999999858	-6.589999999999975
15	2018-01-29	65.21	short	5			2.8000000000000114	-3.7899999999999636
16	2018-01-30	64.5	short	5			3.5499999999999687	-0.23999999999999488
17	2018-01-31	64.73	short	5			-1.15000000000002	-1.3900000000000148
18	2018-02-01	65.29	short	5			-2.8000000000000114	-4.190000000000026
19	2018-02-02	64.22	short	5			5.350000000000037	1.1600000000000108
20	2018-02-05	63.54	short	5			3.3999999999999986	4.560000000000009
21	2018-02-06	62.75	short	5			3.9499999999999957	8.510000000000005
22	2018-02-07	61.64	short	5			5.549999999999997	14.060000000000002
23	2018-02-08	61.18	short	4	True	1.0	2.3000000000000043	16.360000000000007
24	2018-02-09	59.4	short	3	True	2.0	7.1200000000000045	23.48000000000001
25	2018-02-12	59.38	short	2	True	3.0	0.05999999999998806	23.54
26	2018-02-13	59.59	short	1	True	4.0	-0.4200000000000017	23.119999999999997
27	2018-02-14	60.63	short	0	True	5.0	-1.0399999999999991	22.08
28	2018-12-10	60.1	long	1	True	1.0		
29	2018-12-11	60.35	long	2	True	2.0	0.25	22.33
30	2018-12-12	60.27	long	3	True	3.0	-0.1599999999999966	22.17
31	2018-12-13	61.58	long	4	True	4.0	3.9299999999999855	26.099999999999987
32	2018-12-14	60.4	long	5	True	5.0	-4.719999999999999	21.37999999999999
33	2018-12-17	59.66	long	5			-3.70000000000001	17.67999999999998
34	2018-12-18	56.23	long	5			-17.15	0.5299999999999798
35	2018-12-19	57.45	long	5			6.10000000000003	6.63000000000001
36	2018-12-20	54.65	long	5			-14.000000000000021	-7.370000000000012
37	2018-12-21	54.1	long	5			-2.749999999999986	-10.119999999999997
38	2018-12-24	50.77	long	5			-16.64999999999999	-26.76999999999999
39	2018-12-25		long	5			0.0	-26.76999999999999
40	2018-12-26	54.76	long	5			19.949999999999974	-6.8200000000000145
41	2018-12-27	52.73	long	5			-10.150000000000006	-16.97000000000002
42	2018-12-28	53.21	long	5			2.40000000000002	-14.57
43	2018-12-31	53.8	long	5			2.9499999999999815	-11.620000000000019
44	2019-01-01		long	5			0.0	-11.620000000000019
45	2019-01-02	54.91	long	5			5.549999999999997	-6.070000000000022
46	2019-01-03	55.95	long	5			5.200000000000031	-0.8699999999999903
47	2019-01-04	57.06	long	5			5.549999999999997	4.680000000000007
48	2019-01-07	57.33	long	5			1.34999999999998	6.029999999999987
49	2019-01-08	58.72	long	4	True	1.0	6.950000000000003	12.97999999999999
50	2019-01-09	61.44	long	3	True	2.0	10.879999999999995	23.859999999999985
51	2019-01-10	61.68	long	2	True	3.0	0.720000000000006	24.57999999999999
52	2019-01-11	60.48	long	1	True	4.0	-2.4000000000000057	22.179999999999986
53	2019-01-14	58.99	long	0	True	5.0	-1.4899999999999949	20.68999999999999
