	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2015-08-10	57.68	short	1	True	1.0		
1	2015-08-11	56.58	short	2	True	2.0	1.1000000000000014	1.1000000000000014
2	2015-08-12	57.06	short	3	True	3.0	-0.960000000000008	0.13999999999999346
3	2015-08-13	56.77	short	4	True	4.0	0.8699999999999974	1.009999999999991
4	2015-08-14	56.44	short	5	True	5.0	1.3200000000000216	2.3300000000000125
5	2015-08-17	56.15	short	5			1.4499999999999957	3.7800000000000082
6	2015-08-18	55.9	short	5			1.25	5.030000000000008
7	2015-08-19	54.2	short	5			8.499999999999979	13.529999999999987
8	2015-08-20	53.46	short	5			3.70000000000001	17.229999999999997
9	2015-08-21	52.2	short	5			6.29999999999999	23.529999999999987
10	2015-08-24	49.79	short	5			12.050000000000018	35.580000000000005
11	2015-08-25	50.4	short	5			-3.049999999999997	32.53000000000001
12	2015-08-26	50.32	short	5			0.3999999999999915	32.93
13	2015-08-27	54.58	short	5			-21.29999999999999	11.63000000000001
14	2015-08-28	56.94	short	5			-11.799999999999997	-0.1699999999999875
15	2015-08-31	60.63	short	5			-18.450000000000024	-18.62000000000001
16	2015-09-01	56.02	short	5			23.049999999999997	4.4299999999999855
17	2015-09-02	56.96	short	5			-4.699999999999989	-0.2700000000000031
18	2015-09-03	57.23	short	5			-1.34999999999998	-1.6199999999999832
19	2015-09-04	56.19	short	5			5.199999999999996	3.5800000000000125
20	2015-09-07	54.37	short	5			9.100000000000001	12.680000000000014
21	2015-09-08	56.26	short	4	True	1.0	-9.450000000000003	3.230000000000011
22	2015-09-09	54.77	short	3	True	2.0	5.9599999999999795	9.18999999999999
23	2015-09-10	56.08	short	2	True	3.0	-3.9299999999999855	5.260000000000005
24	2015-09-11	55.34	short	1	True	4.0	1.4799999999999898	6.739999999999995
25	2015-09-14	53.86	short	0	True	5.0	1.480000000000004	8.219999999999999
26	2016-06-08	52.98	long	1	True	1.0		
27	2016-06-09	52.42	long	2	True	2.0	-0.5599999999999952	7.660000000000004
28	2016-06-10	51.01	long	3	True	3.0	-2.8200000000000074	4.839999999999996
29	2016-06-13	50.82	long	4	True	4.0	-0.5699999999999932	4.270000000000003
30	2016-06-14	50.33	long	5	True	5.0	-1.960000000000008	2.309999999999995
31	2016-06-15	49.53	long	5			-3.999999999999986	-1.6899999999999906
32	2016-06-16	47.76	long	5			-8.850000000000016	-10.540000000000006
33	2016-06-17	49.75	long	5			9.95000000000001	-0.5899999999999963
34	2016-06-20	51.29	long	5			7.699999999999996	7.109999999999999
35	2016-06-21	51.26	long	5			-0.15000000000000568	6.959999999999994
36	2016-06-22	50.6	long	5			-3.299999999999983	3.660000000000011
37	2016-06-23	51.61	long	5			5.04999999999999	8.71
38	2016-06-24	49.04	long	5			-12.850000000000001	-4.140000000000001
39	2016-06-27	47.77	long	5			-6.34999999999998	-10.48999999999998
40	2016-06-28	49.26	long	5			7.449999999999974	-3.0400000000000063
41	2016-06-29	51.32	long	5			10.300000000000011	7.260000000000005
42	2016-06-30	49.71	long	5			-8.049999999999997	-0.789999999999992
43	2016-07-01	50.35	long	5			3.200000000000003	2.410000000000011
44	2016-07-04	50.1	long	5			-1.25	1.1600000000000108
45	2016-07-05	47.96	long	5			-10.700000000000003	-9.539999999999992
46	2016-07-06	48.8	long	5			4.1999999999999815	-5.3400000000000105
47	2016-07-07	46.4	long	5			-11.999999999999993	-17.340000000000003
48	2016-07-08	46.76	long	4	True	1.0	1.7999999999999972	-15.540000000000006
49	2016-07-11	46.25	long	3	True	2.0	-2.039999999999992	-17.58
50	2016-07-12	48.47	long	2	True	3.0	6.659999999999997	-10.920000000000002
51	2016-07-13	46.26	long	1	True	4.0	-4.420000000000002	-15.340000000000003
52	2016-07-14	47.37	long	0	True	5.0	1.1099999999999994	-14.230000000000004
