	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2012-01-09	111.95	short	1	True	1.0		
1	2012-01-10	112.47	short	2	True	2.0	-0.519999999999996	-0.519999999999996
2	2012-01-11	111.57	short	3	True	3.0	1.8000000000000114	1.2800000000000153
3	2012-01-12	110.5	short	4	True	4.0	3.2099999999999795	4.489999999999995
4	2012-01-13	109.97	short	5	True	5.0	2.1200000000000045	6.609999999999999
5	2012-01-16	110.99	short	5			-5.09999999999998	1.5100000000000193
6	2012-01-17	111.3	short	5			-1.5500000000000114	-0.03999999999999204
7	2012-01-18	110.45	short	5			4.249999999999972	4.2099999999999795
8	2012-01-19	111.24	short	5			-3.94999999999996	0.2600000000000193
9	2012-01-20	109.57	short	5			8.350000000000009	8.610000000000028
10	2012-01-23	110.26	short	5			-3.4500000000000597	5.159999999999968
11	2012-01-24	109.96	short	5			1.5000000000000568	6.660000000000025
12	2012-01-25	109.73	short	5			1.1499999999999488	7.809999999999974
13	2012-01-26	110.47	short	5			-3.6999999999999744	4.109999999999999
14	2012-01-27	110.92	short	5			-2.250000000000014	1.8599999999999852
15	2012-01-30	110.28	short	5			3.200000000000003	5.059999999999988
16	2012-01-31	110.47	short	5			-0.9499999999999886	4.109999999999999
17	2012-02-01	110.97	short	5			-2.5	1.6099999999999994
18	2012-02-02	111.42	short	5			-2.250000000000014	-0.6400000000000148
19	2012-02-03	113.97	short	5			-12.749999999999986	-13.39
20	2012-02-06	115.39	short	5			-7.1000000000000085	-20.49000000000001
21	2012-02-07	115.48	short	5			-0.45000000000001705	-20.940000000000026
22	2012-02-08	116.21	short	4	True	1.0	-3.649999999999949	-24.589999999999975
23	2012-02-09	117.61	short	3	True	2.0	-5.600000000000023	-30.189999999999998
24	2012-02-10	116.31	short	2	True	3.0	3.8999999999999915	-26.290000000000006
25	2012-02-13	116.9	short	1	True	4.0	-1.1800000000000068	-27.470000000000013
26	2012-02-14	116.71	short	0	True	5.0	0.19000000000001194	-27.28
27	2012-03-08	124.96	long	1	True	1.0		
28	2012-03-09	125.35	long	2	True	2.0	0.39000000000000057	-26.89
29	2012-03-12	124.76	long	3	True	3.0	-1.1799999999999784	-28.06999999999998
30	2012-03-13	125.67	long	4	True	4.0	2.7299999999999898	-25.33999999999999
31	2012-03-14	124.58	long	5	True	5.0	-4.360000000000014	-29.700000000000003
32	2012-03-15	122.6	long	5			-9.90000000000002	-39.60000000000002
33	2012-03-16	125.81	long	5			16.05000000000004	-23.549999999999983
34	2012-03-19	125.71	long	5			-0.5000000000000426	-24.050000000000026
35	2012-03-20	124.12	long	5			-7.949999999999946	-31.99999999999997
36	2012-03-21	124.2	long	5			0.3999999999999915	-31.59999999999998
37	2012-03-22	123.14	long	5			-5.300000000000011	-36.89999999999999
38	2012-03-23	125.13	long	5			9.949999999999974	-26.950000000000017
39	2012-03-26	125.65	long	5			2.600000000000051	-24.349999999999966
40	2012-03-27	125.54	long	5			-0.5499999999999972	-24.899999999999963
41	2012-03-28	124.16	long	5			-6.900000000000048	-31.80000000000001
42	2012-03-29	122.39	long	5			-8.84999999999998	-40.64999999999999
43	2012-03-30	122.88	long	5			2.4499999999999744	-38.20000000000002
44	2012-04-02	125.43	long	5			12.750000000000057	-25.44999999999996
45	2012-04-03	124.86	long	5			-2.850000000000037	-28.299999999999997
46	2012-04-04	122.34	long	5			-12.59999999999998	-40.89999999999998
47	2012-04-05	123.43	long	5			5.450000000000017	-35.44999999999996
48	2012-04-06		long	5			0.0	-35.44999999999996
49	2012-04-09	122.67	long	4	True	1.0	-3.8000000000000256	-39.249999999999986
50	2012-04-10	119.88	long	3	True	2.0	-11.160000000000025	-50.41000000000001
51	2012-04-11	120.18	long	2	True	3.0	0.9000000000000341	-49.50999999999998
52	2012-04-12	121.71	long	1	True	4.0	3.059999999999974	-46.45
53	2012-04-13	121.83	long	0	True	5.0	0.12000000000000455	-46.33
