,Due,Future,Month,Pair
0,1999-12-16,COF00,F,COM00
1,2000-01-14,COG00,G,CON00
2,2000-02-14,COH00,H,COQ00
3,2000-03-16,COJ00,J,COU00
4,2000-04-13,COK00,K,COV00
5,2000-05-16,COM00,M,COX00
6,2000-06-15,CON00,N,COZ00
7,2000-07-14,COQ00,Q,COF01
8,2000-08-16,COU00,U,COG01
9,2000-09-14,COV00,V,COH01
10,2000-10-16,COX00,X,COJ01
11,2000-11-15,COZ00,Z,COK01
12,2000-12-14,COF01,F,COM01
13,2001-01-16,COG01,G,CON01
14,2001-02-13,COH01,H,COQ01
15,2001-03-15,COJ01,J,COU01
16,2001-04-11,COK01,K,COV01
17,2001-05-16,COM01,M,COX01
18,2001-06-14,CON01,N,COZ01
19,2001-07-16,COQ01,Q,COF02
20,2001-08-16,COU01,U,COG02
21,2001-09-13,COV01,V,COH02
22,2001-10-16,COX01,X,COJ02
23,2001-11-15,COZ01,Z,COK02
24,2001-12-14,COF02,F,COM02
25,2002-01-16,COG02,G,CON02
26,2002-02-13,COH02,H,COQ02
27,2002-03-14,COJ02,J,COU02
28,2002-04-15,COK02,K,COV02
29,2002-05-16,COM02,M,COX02
30,2002-06-13,CON02,N,COZ02
31,2002-07-16,COQ02,Q,COF03
32,2002-08-15,COU02,U,COG03
33,2002-09-13,COV02,V,COH03
34,2002-10-16,COX02,X,COJ03
35,2002-11-14,COZ02,Z,COK03
36,2002-12-16,COF03,F,COM03
37,2003-01-16,COG03,G,CON03
38,2003-02-13,COH03,H,COQ03
39,2003-03-14,COJ03,J,COU03
40,2003-04-15,COK03,K,COV03
41,2003-05-15,COM03,M,COX03
42,2003-06-13,CON03,N,COZ03
43,2003-07-16,COQ03,Q,COF04
44,2003-08-14,COU03,U,COG04
45,2003-09-15,COV03,V,COH04
46,2003-10-16,COX03,X,COJ04
47,2003-11-13,COZ03,Z,COK04
48,2003-12-16,COF04,F,COM04
49,2004-01-15,COG04,G,CON04
50,2004-02-12,COH04,H,COQ04
51,2004-03-16,COJ04,J,COU04
52,2004-04-15,COK04,K,COV04
53,2004-05-14,COM04,M,COX04
54,2004-06-15,CON04,N,COZ04
55,2004-07-15,COQ04,Q,COF05
56,2004-08-16,COU04,U,COG05
57,2004-09-15,COV04,V,COH05
58,2004-10-14,COX04,X,COJ05
59,2004-11-15,COZ04,Z,COK05
60,2004-12-16,COF05,F,COM05
61,2005-01-14,COG05,G,CON05
62,2005-02-11,COH05,H,COQ05
63,2005-03-16,COJ05,J,COU05
64,2005-04-14,COK05,K,COV05
65,2005-05-16,COM05,M,COX05
66,2005-06-15,CON05,N,COZ05
67,2005-07-14,COQ05,Q,COF06
68,2005-08-16,COU05,U,COG06
69,2005-09-15,COV05,V,COH06
70,2005-10-14,COX05,X,COJ06
71,2005-11-15,COZ05,Z,COK06
72,2005-12-15,COF06,F,COM06
73,2006-01-16,COG06,G,CON06
74,2006-02-13,COH06,H,COQ06
75,2006-03-16,COJ06,J,COU06
76,2006-04-12,COK06,K,COV06
77,2006-05-16,COM06,M,COX06
78,2006-06-15,CON06,N,COZ06
79,2006-07-14,COQ06,Q,COF07
80,2006-08-16,COU06,U,COG07
81,2006-09-14,COV06,V,COH07
82,2006-10-16,COX06,X,COJ07
83,2006-11-15,COZ06,Z,COK07
84,2006-12-14,COF07,F,COM07
85,2007-01-16,COG07,G,CON07
86,2007-02-13,COH07,H,COQ07
87,2007-03-15,COJ07,J,COU07
88,2007-04-13,COK07,K,COV07
89,2007-05-16,COM07,M,COX07
90,2007-06-14,CON07,N,COZ07
91,2007-07-16,COQ07,Q,COF08
92,2007-08-16,COU07,U,COG08
93,2007-09-13,COV07,V,COH08
94,2007-10-16,COX07,X,COJ08
95,2007-11-15,COZ07,Z,COK08
96,2007-12-14,COF08,F,COM08
97,2008-01-16,COG08,G,CON08
98,2008-02-14,COH08,H,COQ08
99,2008-03-14,COJ08,J,COU08
100,2008-04-15,COK08,K,COV08
101,2008-05-15,COM08,M,COX08
