	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2014-10-08	94.09	short	1	True	1.0		
1	2014-10-09	92.83	short	2	True	2.0	1.2600000000000051	1.2600000000000051
2	2014-10-10	93.16	short	3	True	3.0	-0.6599999999999966	0.6000000000000085
3	2014-10-13	92.61	short	4	True	4.0	1.6499999999999915	2.25
4	2014-10-14	88.65	short	5	True	5.0	15.839999999999975	18.089999999999975
5	2014-10-15	87.25	short	5			7.000000000000028	25.090000000000003
6	2014-10-16	88.73	short	5			-7.40000000000002	17.689999999999984
7	2014-10-17	88.89	short	5			-0.799999999999983	16.89
8	2014-10-20	88.13	short	5			3.8000000000000256	20.690000000000026
9	2014-10-21	88.29	short	5			-0.800000000000054	19.889999999999972
10	2014-10-22	87.34	short	5			4.750000000000014	24.639999999999986
11	2014-10-23	89.2	short	5			-9.299999999999997	15.33999999999999
12	2014-10-24	88.97	short	5			1.15000000000002	16.49000000000001
13	2014-10-27	88.75	short	5			1.0999999999999943	17.590000000000003
14	2014-10-28	89.27	short	5			-2.59999999999998	14.990000000000023
15	2014-10-29	90.22	short	5			-4.750000000000014	10.240000000000009
16	2014-10-30	89.32	short	5			4.500000000000028	14.740000000000038
17	2014-10-31	89.0	short	5			1.599999999999966	16.340000000000003
18	2014-11-03	88.12	short	5			4.399999999999977	20.73999999999998
19	2014-11-04	86.29	short	5			9.149999999999991	29.889999999999972
20	2014-11-05	86.38	short	5			-0.449999999999946	29.440000000000026
21	2014-11-06	86.45	short	5			-0.35000000000003695	29.08999999999999
22	2014-11-07	86.94	short	5			-2.4499999999999744	26.640000000000015
23	2014-11-10	85.96	short	4	True	1.0	4.90000000000002	31.540000000000035
24	2014-11-11	85.74	short	3	True	2.0	0.8799999999999955	32.42000000000003
25	2014-11-12	84.41	short	2	True	3.0	3.989999999999995	36.410000000000025
26	2014-11-13	80.74	short	1	True	4.0	7.340000000000003	43.75000000000003
27	2014-11-14	82.49	short	0	True	5.0	-1.75	42.00000000000003
28	2015-05-08	66.16	long	1	True	1.0		
29	2015-05-11	65.62	long	2	True	2.0	-0.539999999999992	41.460000000000036
30	2015-05-12	67.38	long	3	True	3.0	3.519999999999982	44.98000000000002
31	2015-05-13	67.27	long	4	True	4.0	-0.3299999999999983	44.65000000000002
32	2015-05-14	66.7	long	5	True	5.0	-2.2799999999999727	42.37000000000005
33	2015-05-15	66.81	long	5			0.5499999999999972	42.920000000000044
34	2015-05-18	66.27	long	5			-2.7000000000000313	40.22000000000001
35	2015-05-19	64.02	long	5			-11.25	28.970000000000013
36	2015-05-20	65.03	long	5			5.050000000000026	34.02000000000004
37	2015-05-21	66.54	long	5			7.550000000000026	41.570000000000064
38	2015-05-22	65.37	long	5			-5.8500000000000085	35.720000000000056
39	2015-05-25	65.52	long	5			0.7499999999999574	36.47000000000001
40	2015-05-26	63.72	long	5			-8.999999999999986	27.470000000000027
41	2015-05-27	62.06	long	5			-8.299999999999983	19.170000000000044
42	2015-05-28	62.58	long	5			2.59999999999998	21.770000000000024
43	2015-05-29	65.56	long	5			14.90000000000002	36.670000000000044
44	2015-06-01	64.88	long	5			-3.400000000000034	33.27000000000001
45	2015-06-02	65.49	long	5			3.049999999999997	36.32000000000001
46	2015-06-03	63.8	long	5			-8.449999999999989	27.87000000000002
47	2015-06-04	62.03	long	5			-8.84999999999998	19.02000000000004
48	2015-06-05	63.31	long	5			6.400000000000006	25.420000000000044
49	2015-06-08	62.69	long	4	True	1.0	-3.1000000000000227	22.32000000000002
50	2015-06-09	64.88	long	3	True	2.0	8.759999999999991	31.080000000000013
51	2015-06-10	65.7	long	2	True	3.0	2.460000000000022	33.540000000000035
52	2015-06-11	65.11	long	1	True	4.0	-1.1800000000000068	32.36000000000003
53	2015-06-12	63.87	long	0	True	5.0	-1.240000000000002	31.120000000000026
