	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2022-04-08	94.58	short	1	True	1.0		
1	2022-04-11	92.64	short	2	True	2.0	1.9399999999999977	1.9399999999999977
2	2022-04-12	95.86	short	3	True	3.0	-6.439999999999998	-4.5
3	2022-04-13	98.03	short	4	True	4.0	-6.510000000000005	-11.010000000000005
4	2022-04-14	98.68	short	5	True	5.0	-2.6000000000000227	-13.610000000000028
5	2022-04-15		short	5			-0.0	-13.610000000000028
6	2022-04-18	98.64	short	5			0.20000000000003126	-13.409999999999997
7	2022-04-19	94.31	short	5			21.64999999999999	8.239999999999995
8	2022-04-20	94.94	short	5			-3.1499999999999773	5.090000000000018
9	2022-04-21	96.3	short	5			-6.799999999999997	-1.7099999999999795
10	2022-04-22	94.11	short	5			10.949999999999989	9.240000000000009
11	2022-04-25	91.81	short	5			11.499999999999986	20.739999999999995
12	2022-04-26	92.92	short	5			-5.549999999999997	15.189999999999998
13	2022-04-27	93.07	short	5			-0.7499999999999574	14.44000000000004
14	2022-04-28	93.57	short	5			-2.5	11.94000000000004
15	2022-04-29	92.81	short	5			3.7999999999999545	15.739999999999995
16	2022-05-02	93.5	short	5			-3.4499999999999886	12.290000000000006
17	2022-05-03	92.56	short	5			4.699999999999989	16.989999999999995
18	2022-05-04	96.16	short	5			-17.99999999999997	-1.0099999999999767
19	2022-05-05	96.37	short	5			-1.0500000000000398	-2.0600000000000165
20	2022-05-06	97.6	short	5			-6.149999999999949	-8.209999999999965
21	2022-05-09	93.4	short	4	True	1.0	20.999999999999943	12.789999999999978
22	2022-05-10	91.35	short	3	True	2.0	8.200000000000045	20.990000000000023
23	2022-05-11	95.3	short	2	True	3.0	-11.850000000000009	9.140000000000015
24	2022-05-12	94.76	short	1	True	4.0	1.079999999999984	10.219999999999999
25	2022-05-13	96.76	short	0	True	5.0	-2.0	8.219999999999999
26	2023-01-09	79.89	long	1	True	1.0		
27	2023-01-10	80.28	long	2	True	2.0	0.39000000000000057	8.61
28	2023-01-11	82.86	long	3	True	3.0	5.159999999999997	13.769999999999996
29	2023-01-12	84.19	long	4	True	4.0	3.989999999999995	17.75999999999999
30	2023-01-13	85.55	long	5	True	5.0	5.439999999999998	23.19999999999999
31	2023-01-16	84.66	long	5			-4.450000000000003	18.749999999999986
32	2023-01-17	86.09	long	5			7.150000000000034	25.90000000000002
33	2023-01-18	85.25	long	5			-4.200000000000017	21.700000000000003
34	2023-01-19	86.31	long	5			5.300000000000011	27.000000000000014
35	2023-01-20	87.68	long	5			6.850000000000023	33.85000000000004
36	2023-01-23	88.16	long	5			2.399999999999949	36.249999999999986
37	2023-01-24	86.25	long	5			-9.549999999999983	26.700000000000003
38	2023-01-25	86.19	long	5			-0.30000000000001137	26.39999999999999
39	2023-01-26	87.28	long	5			5.450000000000017	31.85000000000001
40	2023-01-27	86.4	long	5			-4.399999999999977	27.45000000000003
41	2023-01-30	84.5	long	5			-9.500000000000028	17.950000000000003
42	2023-01-31	85.46	long	5			4.799999999999969	22.74999999999997
43	2023-02-01	82.84	long	5			-13.099999999999952	9.65000000000002
44	2023-02-02	82.17	long	5			-3.3500000000000085	6.300000000000011
45	2023-02-03	79.94	long	5			-11.15000000000002	-4.8500000000000085
46	2023-02-06	80.99	long	5			5.249999999999986	0.39999999999997726
47	2023-02-07	83.69	long	5			13.500000000000014	13.899999999999991
48	2023-02-08	85.09	long	4	True	1.0	7.000000000000028	20.90000000000002
49	2023-02-09	84.5	long	3	True	2.0	-2.3600000000000136	18.540000000000006
50	2023-02-10	86.39	long	2	True	3.0	5.670000000000002	24.210000000000008
51	2023-02-13	86.61	long	1	True	4.0	0.4399999999999977	24.650000000000006
52	2023-02-14	85.58	long	0	True	5.0	-1.0300000000000011	23.620000000000005
