	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2019-11-08	58.49	short	1	True	1.0		
1	2019-11-11	58.31	short	2	True	2.0	0.17999999999999972	0.17999999999999972
2	2019-11-12	58.45	short	3	True	3.0	-0.28000000000000114	-0.10000000000000142
3	2019-11-13	58.7	short	4	True	4.0	-0.75	-0.8500000000000014
4	2019-11-14	58.46	short	5	True	5.0	0.960000000000008	0.11000000000000654
5	2019-11-15	59.13	short	5			-3.3500000000000085	-3.240000000000002
6	2019-11-18	58.37	short	5			3.8000000000000256	0.5600000000000236
7	2019-11-19	57.2	short	5			5.849999999999973	6.409999999999997
8	2019-11-20	58.42	short	5			-6.099999999999994	0.3100000000000023
9	2019-11-21	59.5	short	5			-5.3999999999999915	-5.089999999999989
10	2019-11-22	59.03	short	5			2.3499999999999943	-2.739999999999995
11	2019-11-25	59.26	short	5			-1.1499999999999844	-3.8899999999999793
12	2019-11-26	59.76	short	5			-2.5	-6.389999999999979
13	2019-11-27	59.52	short	5			1.1999999999999744	-5.190000000000005
14	2019-11-28	59.86	short	5			-1.6999999999999815	-6.889999999999986
15	2019-11-29	57.16	short	5			13.500000000000014	6.610000000000028
16	2019-12-02	57.7	short	5			-2.7000000000000313	3.9099999999999966
17	2019-12-03	57.61	short	5			0.45000000000001705	4.360000000000014
18	2019-12-04	59.23	short	5			-8.099999999999987	-3.7399999999999736
19	2019-12-05	59.34	short	5			-0.5500000000000327	-4.290000000000006
20	2019-12-06	59.79	short	5			-2.2499999999999787	-6.539999999999985
21	2019-12-09	59.83	short	4	True	1.0	-0.19999999999999574	-6.739999999999981
22	2019-12-10	60.14	short	3	True	2.0	-1.240000000000009	-7.97999999999999
23	2019-12-11	59.53	short	2	True	3.0	1.8299999999999983	-6.1499999999999915
24	2019-12-12	59.91	short	1	True	4.0	-0.7599999999999909	-6.909999999999982
25	2019-12-13	60.57	short	0	True	5.0	-0.6600000000000037	-7.569999999999986
26	2020-08-10	45.39	long	1	True	1.0		
27	2020-08-11	44.99	long	2	True	2.0	-0.3999999999999986	-7.969999999999985
28	2020-08-12	45.91	long	3	True	3.0	1.8399999999999892	-6.1299999999999955
29	2020-08-13	45.43	long	4	True	4.0	-1.4399999999999906	-7.569999999999986
30	2020-08-14	45.33	long	5	True	5.0	-0.4000000000000057	-7.969999999999992
31	2020-08-17	45.92	long	5			2.950000000000017	-5.019999999999975
32	2020-08-18	46.01	long	5			0.4499999999999815	-4.569999999999993
33	2020-08-19	45.88	long	5			-0.6499999999999773	-5.21999999999997
34	2020-08-20	45.48	long	5			-2.0000000000000284	-7.219999999999999
35	2020-08-21	44.93	long	5			-2.749999999999986	-9.969999999999985
36	2020-08-24	45.64	long	5			3.5500000000000043	-6.41999999999998
37	2020-08-25	46.29	long	5			3.249999999999993	-3.1699999999999875
38	2020-08-26	46.16	long	5			-0.6500000000000128	-3.8200000000000003
39	2020-08-27	45.6	long	5			-2.799999999999976	-6.619999999999976
40	2020-08-28	45.81	long	5			1.0500000000000043	-5.569999999999972
41	2020-08-31	45.28	long	5			-2.6500000000000057	-8.219999999999978
42	2020-09-01	45.58	long	5			1.4999999999999858	-6.719999999999992
43	2020-09-02	44.43	long	5			-5.749999999999993	-12.469999999999985
44	2020-09-03	44.07	long	5			-1.7999999999999972	-14.269999999999982
45	2020-09-04	42.66	long	5			-7.0500000000000185	-21.32
46	2020-09-07	42.01	long	5			-3.249999999999993	-24.569999999999993
47	2020-09-08	39.78	long	4	True	1.0	-11.149999999999984	-35.71999999999998
48	2020-09-09	40.79	long	3	True	2.0	4.039999999999992	-31.679999999999986
49	2020-09-10	40.06	long	2	True	3.0	-2.1899999999999906	-33.869999999999976
50	2020-09-11	39.83	long	1	True	4.0	-0.46000000000000796	-34.329999999999984
51	2020-09-14	39.61	long	0	True	5.0	-0.21999999999999886	-34.54999999999998
