	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2023-04-10	82.63	short	1	True	1.0		
1	2023-04-11	82.9	short	2	True	2.0	-0.27000000000001023	-0.27000000000001023
2	2023-04-12	82.43	short	3	True	3.0	0.9399999999999977	0.6699999999999875
3	2023-04-13	82.88	short	4	True	4.0	-1.349999999999966	-0.6799999999999784
4	2023-04-14	82.8	short	5	True	5.0	0.3199999999999932	-0.3599999999999852
5	2023-04-17	82.88	short	5			-0.3999999999999915	-0.7599999999999767
6	2023-04-18	84.21	short	5			-6.6499999999999915	-7.409999999999968
7	2023-04-19	83.5	short	5			3.5499999999999687	-3.8599999999999994
8	2023-04-20	80.58	short	5			14.600000000000009	10.740000000000009
9	2023-04-21	80.38	short	5			1.0000000000000142	11.740000000000023
10	2023-04-24	81.28	short	5			-4.500000000000028	7.239999999999995
11	2023-04-25	79.37	short	5			9.549999999999983	16.789999999999978
12	2023-04-26	79.16	short	5			1.0500000000000398	17.840000000000018
13	2023-04-27	80.62	short	5			-7.30000000000004	10.539999999999978
14	2023-04-28	81.1	short	5			-2.399999999999949	8.140000000000029
15	2023-05-01	81.21	short	5			-0.5499999999999972	7.590000000000032
16	2023-05-02	80.49	short	5			3.5999999999999943	11.190000000000026
17	2023-05-03	79.04	short	5			7.249999999999943	18.43999999999997
18	2023-05-04	81.4	short	5			-11.799999999999997	6.639999999999972
19	2023-05-05	83.24	short	5			-9.199999999999946	-2.559999999999974
20	2023-05-08	83.0	short	5			1.1999999999999744	-1.3599999999999994
21	2023-05-09	81.01	short	5			9.949999999999974	8.589999999999975
22	2023-05-10	80.76	short	5			1.25	9.839999999999975
23	2023-05-11	79.6	short	5			5.800000000000054	15.640000000000029
24	2023-05-12	80.15	short	5			-2.750000000000057	12.889999999999972
25	2023-05-15	81.78	short	5			-8.149999999999977	4.739999999999995
26	2023-05-16	82.5	short	5			-3.5999999999999943	1.1400000000000006
27	2023-05-17	83.89	short	5			-6.950000000000003	-5.810000000000002
28	2023-05-18	83.72	short	5			0.8500000000000085	-4.959999999999994
29	2023-05-19	83.89	short	5			-0.8500000000000085	-5.810000000000002
30	2023-05-22	83.38	short	5			2.5500000000000256	-3.2599999999999767
31	2023-05-23	82.44	short	5			4.699999999999989	1.440000000000012
32	2023-05-24	80.28	short	5			10.799999999999983	12.239999999999995
33	2023-05-25	78.5	short	5			8.900000000000006	21.14
34	2023-05-26	80.54	short	5			-10.200000000000031	10.93999999999997
35	2023-05-29		short	5			-0.0	10.93999999999997
36	2023-05-30	80.21	short	5			1.6500000000000625	12.590000000000032
37	2023-05-31	79.47	short	5			3.6999999999999744	16.290000000000006
38	2023-06-01	81.58	short	5			-10.549999999999997	5.740000000000009
39	2023-06-02	81.85	short	5			-1.34999999999998	4.390000000000029
40	2023-06-05	81.42	short	5			2.149999999999963	6.539999999999992
41	2023-06-06	81.78	short	5			-1.7999999999999972	4.739999999999995
42	2023-06-07	81.23	short	5			2.749999999999986	7.489999999999981
43	2023-06-08	81.63	short	5			-1.9999999999999574	5.490000000000023
