,Due,Future,Month,Pair
0,2000-02-23,CTH00,H,CTN00
1,2000-04-24,CTK00,K,CTZ00
2,2000-06-26,CTN00,N,CTH01
3,2000-11-22,CTZ00,Z,CTK01
4,2001-02-22,CTH01,H,CTN01
5,2001-04-24,CTK01,K,CTZ01
6,2001-06-25,CTN01,N,CTH02
7,2001-11-26,CTZ01,Z,CTK02
8,2002-02-22,CTH02,H,CTN02
9,2002-04-24,CTK02,K,CTZ02
10,2002-06-24,CTN02,N,CTH03
11,2002-11-21,CTZ02,Z,CTK03
12,2003-02-24,CTH03,H,CTN03
13,2003-04-24,CTK03,K,CTZ03
14,2003-06-24,CTN03,N,CTH04
15,2003-11-20,CTZ03,Z,CTK04
16,2004-02-23,CTH04,H,CTN04
17,2004-04-26,CTK04,K,CTZ04
18,2004-06-24,CTN04,N,CTH05
19,2004-11-22,CTZ04,Z,CTK05
20,2005-02-22,CTH05,H,CTN05
21,2005-04-25,CTK05,K,CTZ05
22,2005-06-24,CTN05,N,CTH06
23,2005-11-22,CTZ05,Z,CTK06
24,2006-02-23,CTH06,H,CTN06
25,2006-04-24,CTK06,K,CTZ06
26,2006-06-26,CTN06,N,CTH07
27,2006-11-22,CTZ06,Z,CTK07
28,2007-02-22,CTH07,H,CTN07
29,2007-04-24,CTK07,K,CTZ07
30,2007-06-25,CTN07,N,CTH08
31,2007-11-26,CTZ07,Z,CTK08
32,2008-02-25,CTH08,H,CTN08
33,2008-04-24,CTK08,K,CTZ08
34,2008-06-24,CTN08,N,CTH09
35,2008-11-21,CTZ08,Z,CTK09
36,2009-02-23,CTH09,H,CTN09
37,2009-04-24,CTK09,K,CTZ09
38,2009-06-24,CTN09,N,CTH10
39,2009-11-23,CTZ09,Z,CTK10
40,2010-02-22,CTH10,H,CTN10
41,2010-04-26,CTK10,K,CTZ10
42,2010-06-24,CTN10,N,CTH11
43,2010-11-23,CTZ10,Z,CTK11
44,2011-02-22,CTH11,H,CTN11
45,2011-04-25,CTK11,K,CTZ11
46,2011-06-24,CTN11,N,CTH12
47,2011-11-23,CTZ11,Z,CTK12
48,2012-02-23,CTH12,H,CTN12
49,2012-04-24,CTK12,K,CTZ12
50,2012-06-25,CTN12,N,CTH13
51,2012-11-26,CTZ12,Z,CTK13
52,2013-02-22,CTH13,H,CTN13
53,2013-04-24,CTK13,K,CTZ13
54,2013-06-24,CTN13,N,CTH14
55,2013-11-22,CTZ13,Z,CTK14
56,2014-02-24,CTH14,H,CTN14
57,2014-04-24,CTK14,K,CTZ14
58,2014-06-24,CTN14,N,CTH15
59,2014-11-21,CTZ14,Z,CTK15
60,2015-02-23,CTH15,H,CTN15
61,2015-04-24,CTK15,K,CTZ15
62,2015-06-24,CTN15,N,CTH16
63,2015-11-23,CTZ15,Z,CTK16
64,2016-02-23,CTH16,H,CTN16
65,2016-04-25,CTK16,K,CTZ16
66,2016-06-24,CTN16,N,CTH17
67,2016-11-23,CTZ16,Z,CTK17
68,2017-02-22,CTH17,H,CTN17
69,2017-04-24,CTK17,K,CTZ17
70,2017-06-26,CTN17,N,CTH18
71,2017-11-24,CTZ17,Z,CTK18
72,2018-02-22,CTH18,H,CTN18
73,2018-04-24,CTK18,K,CTZ18
74,2018-06-25,CTN18,N,CTH19
75,2018-11-26,CTZ18,Z,CTK19
76,2019-02-22,CTH19,H,CTN19
77,2019-04-24,CTK19,K,CTZ19
78,2019-06-24,CTN19,N,CTH20
79,2019-11-22,CTZ19,Z,CTK20
80,2020-02-24,CTH20,H,CTN20
81,2020-04-24,CTK20,K,CTZ20
82,2020-06-24,CTN20,N,CTH21
83,2020-11-23,CTZ20,Z,CTK21
84,2021-02-22,CTH21,H,CTN21
85,2021-04-26,CTK21,K,CTZ21
86,2021-06-24,CTN21,N,CTH22
87,2021-11-23,CTZ21,Z,CTK22
88,2022-02-22,CTH22,H,CTN22
89,2022-04-25,CTK22,K,CTZ22
90,2022-06-24,CTN22,N,CTH23
91,2022-11-23,CTZ22,Z,CTK23
92,2023-02-22,CTH23,H,CTN23
93,2023-04-24,CTK23,K,CTZ23
94,2023-06-26,CTN23,N,CTZ23
