	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2013-01-08	158.0	short	1	True	1.0		
1	2013-01-09	157.25	short	2	True	2.0	0.75	0.75
2	2013-01-10	156.375	short	3	True	3.0	1.75	2.5
3	2013-01-11	155.15	short	4	True	4.0	3.674999999999983	6.174999999999983
4	2013-01-14	155.1	short	5	True	5.0	0.20000000000004547	6.375000000000028
5	2013-01-15	154.55	short	5			2.7499999999999147	9.124999999999943
6	2013-01-16	152.45	short	5			10.500000000000114	19.625000000000057
7	2013-01-17	150.35	short	5			10.499999999999972	30.12500000000003
8	2013-01-18	151.125	short	5			-3.8750000000000284	26.25
9	2013-01-21		short	5			-0.0	26.25
10	2013-01-22	152.2	short	5			-5.374999999999943	20.875000000000057
11	2013-01-23	153.125	short	5			-4.625000000000057	16.25
12	2013-01-24	154.25	short	5			-5.625	10.625
13	2013-01-25	154.325	short	5			-0.37499999999994316	10.250000000000057
14	2013-01-28	156.3	short	5			-9.875000000000114	0.37499999999994316
15	2013-01-29	155.475	short	5			4.125000000000085	4.500000000000028
16	2013-01-30	154.7	short	5			3.8750000000000284	8.375000000000057
17	2013-01-31	155.025	short	5			-1.6250000000000853	6.749999999999972
18	2013-02-01	154.7	short	5			1.6250000000000853	8.375000000000057
19	2013-02-04	155.2	short	5			-2.5	5.875000000000057
20	2013-02-05	154.825	short	5			1.875	7.750000000000057
21	2013-02-06	153.525	short	5			6.499999999999915	14.249999999999972
22	2013-02-07	152.85	short	5			3.375000000000057	17.62500000000003
23	2013-02-08	150.525	short	5			11.624999999999943	29.24999999999997
24	2013-02-11	151.25	short	5			-3.6249999999999716	25.625
25	2013-02-12	150.05	short	5			5.999999999999943	31.624999999999943
26	2013-02-13	147.675	short	5			11.875	43.49999999999994
27	2013-02-14	149.275	short	5			-7.999999999999972	35.49999999999997
28	2013-02-15	150.0	short	5			-3.6249999999999716	31.875
29	2013-02-18		short	5			-0.0	31.875
30	2013-02-19	149.575	short	5			2.125000000000057	34.00000000000006
31	2013-02-20	147.0	short	5			12.874999999999943	46.875
32	2013-02-21	146.5	short	5			2.5	49.375
33	2013-02-22	147.125	short	5			-3.125	46.25
34	2013-02-25	146.95	short	5			0.8750000000000568	47.12500000000006
35	2013-02-26	147.4	short	5			-2.2500000000000853	44.87499999999997
36	2013-02-27	147.55	short	5			-0.7500000000000284	44.12499999999994
37	2013-02-28	148.05	short	5			-2.5	41.62499999999994
38	2013-03-01	147.4	short	5			3.2500000000000284	44.87499999999997
39	2013-03-04	147.725	short	5			-1.6249999999999432	43.25000000000003
40	2013-03-05	146.225	short	5			7.5	50.75000000000003
41	2013-03-06	144.575	short	5			8.250000000000028	59.00000000000006
42	2013-03-07	144.925	short	5			-1.7500000000001137	57.24999999999994
43	2013-03-08	143.85	short	4	True	1.0	5.375000000000085	62.62500000000003
44	2013-03-11	143.75	short	3	True	2.0	0.39999999999997726	63.025000000000006
45	2013-03-12	144.075	short	2	True	3.0	-0.9749999999999659	62.05000000000004
46	2013-03-13	144.45	short	1	True	4.0	-0.75	61.30000000000004
47	2013-03-14	143.3	short	0	True	5.0	1.1499999999999773	62.45000000000002
48	2013-04-08	144.75	long	1	True	1.0		
49	2013-04-09	144.75	long	2	True	2.0	0.0	62.45000000000002
50	2013-04-10	142.325	long	3	True	3.0	-4.850000000000023	57.599999999999994
51	2013-04-11	141.775	long	4	True	4.0	-1.6499999999999488	55.950000000000045
52	2013-04-12	140.925	long	5	True	5.0	-3.3999999999999773	52.55000000000007
53	2013-04-15	139.8	long	5			-5.625	46.92500000000007
54	2013-04-16	140.05	long	5			1.25	48.17500000000007
55	2013-04-17	140.9	long	5			4.249999999999972	52.42500000000004
56	2013-04-18	140.05	long	5			-4.249999999999972	48.17500000000007
57	2013-04-19	139.2	long	5			-4.250000000000114	43.924999999999955
58	2013-04-22	138.6	long	5			-2.9999999999999716	40.92499999999998
59	2013-04-23	139.6	long	5			5.0	45.92499999999998
60	2013-04-24	141.1	long	5			7.5	53.42499999999998
61	2013-04-25	142.2	long	5			5.499999999999972	58.924999999999955
62	2013-04-26	141.8	long	5			-1.9999999999998863	56.92500000000007
63	2013-04-29	140.425	long	5			-6.875	50.05000000000007
64	2013-04-30	139.55	long	5			-4.375	45.67500000000007
65	2013-05-01	139.5	long	5			-0.25000000000005684	45.42500000000001
66	2013-05-02	140.6	long	5			5.499999999999972	50.92499999999998
67	2013-05-03	138.775	long	5			-9.124999999999943	41.80000000000004
68	2013-05-06	138.4	long	5			-1.875	39.92500000000004
69	2013-05-07	136.875	long	5			-7.625000000000028	32.30000000000001
70	2013-05-08	135.6	long	4	True	1.0	-6.375000000000028	25.924999999999983
71	2013-05-09	135.75	long	3	True	2.0	0.6000000000000227	26.525000000000006
72	2013-05-10	135.375	long	2	True	3.0	-1.125	25.400000000000006
73	2013-05-13	134.85	long	1	True	4.0	-1.0500000000000114	24.349999999999994
74	2013-05-14	135.5	long	0	True	5.0	0.6500000000000057	25.0
