	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2015-05-08	209.675	short	1	True	1.0		
1	2015-05-11	209.175	short	2	True	2.0	0.5	0.5
2	2015-05-12	208.025	short	3	True	3.0	2.3000000000000114	2.8000000000000114
3	2015-05-13	209.225	short	4	True	4.0	-3.599999999999966	-0.7999999999999545
4	2015-05-14	210.25	short	5	True	5.0	-4.100000000000023	-4.899999999999977
5	2015-05-15	209.6	short	5			3.2500000000000284	-1.6499999999999488
6	2015-05-18	208.775	short	5			4.124999999999943	2.4749999999999943
7	2015-05-19	209.35	short	5			-2.874999999999943	-0.39999999999994884
8	2015-05-20	208.75	short	5			2.9999999999999716	2.6000000000000227
9	2015-05-21	209.25	short	5			-2.5	0.10000000000002274
10	2015-05-22	210.125	short	5			-4.375	-4.274999999999977
11	2015-05-25		short	5			-0.0	-4.274999999999977
12	2015-05-26	210.65	short	5			-2.6250000000000284	-6.900000000000006
13	2015-05-27	211.6	short	5			-4.749999999999943	-11.649999999999949
14	2015-05-28	213.425	short	5			-9.125000000000085	-20.775000000000034
15	2015-05-29	212.65	short	5			3.8750000000000284	-16.900000000000006
16	2015-06-01	213.225	short	5			-2.874999999999943	-19.77499999999995
17	2015-06-02	212.775	short	5			2.249999999999943	-17.525000000000006
18	2015-06-03	211.25	short	5			7.625000000000028	-9.899999999999977
19	2015-06-04	211.025	short	5			1.1249999999999716	-8.775000000000006
20	2015-06-05	210.75	short	5			1.3750000000000284	-7.399999999999977
21	2015-06-08	211.4	short	5			-3.2500000000000284	-10.650000000000006
22	2015-06-09	212.225	short	5			-4.124999999999943	-14.774999999999949
23	2015-06-10	213.475	short	5			-6.25	-21.02499999999995
24	2015-06-11	212.95	short	5			2.6250000000000284	-18.39999999999992
25	2015-06-12	209.925	short	5			15.124999999999886	-3.275000000000034
26	2015-06-15	210.525	short	5			-2.9999999999999716	-6.275000000000006
27	2015-06-16	210.775	short	5			-1.25	-7.525000000000006
28	2015-06-17	210.8	short	5			-0.12500000000002842	-7.650000000000034
29	2015-06-18	209.35	short	5			7.250000000000085	-0.39999999999994884
30	2015-06-19	210.6	short	5			-6.25	-6.649999999999949
31	2015-06-22	213.2	short	5			-12.999999999999972	-19.64999999999992
32	2015-06-23	213.225	short	5			-0.12500000000002842	-19.77499999999995
33	2015-06-24	211.425	short	5			8.999999999999915	-10.775000000000034
34	2015-06-25	207.5	short	5			19.625000000000057	8.850000000000023
35	2015-06-26	206.8	short	5			3.499999999999943	12.349999999999966
36	2015-06-29	208.175	short	5			-6.875	5.474999999999966
37	2015-06-30	204.15	short	5			20.12500000000003	25.599999999999994
38	2015-07-01	207.85	short	5			-18.499999999999943	7.100000000000051
39	2015-07-02	207.35	short	5			2.5	9.600000000000051
40	2015-07-03		short	5			-0.0	9.600000000000051
41	2015-07-06	207.0	short	5			1.7499999999999716	11.350000000000023
42	2015-07-07	207.075	short	5			-0.37499999999994316	10.97500000000008
43	2015-07-08	204.25	short	5			14.124999999999943	25.100000000000023
44	2015-07-09	202.275	short	5			9.874999999999972	34.974999999999994
45	2015-07-10	201.5	short	5			3.8750000000000284	38.85000000000002
46	2015-07-13	200.925	short	5			2.874999999999943	41.724999999999966
47	2015-07-14	203.775	short	5			-14.249999999999972	27.474999999999994
48	2015-07-15	204.05	short	5			-1.3750000000000284	26.099999999999966
49	2015-07-16	202.9	short	5			5.750000000000028	31.849999999999994
50	2015-07-17	203.875	short	5			-4.874999999999972	26.975000000000023
51	2015-07-20	204.825	short	5			-4.749999999999943	22.22500000000008
52	2015-07-21	201.85	short	5			14.874999999999972	37.10000000000005
53	2015-07-22	200.825	short	5			5.125000000000028	42.22500000000008
54	2015-07-23	197.725	short	5			15.499999999999972	57.72500000000005
55	2015-07-24	198.65	short	5			-4.625000000000057	53.099999999999994
56	2015-07-27	197.225	short	5			7.125000000000057	60.22500000000005
57	2015-07-28	198.9	short	5			-8.375000000000057	51.849999999999994
58	2015-07-29	199.85	short	5			-4.749999999999943	47.10000000000005
59	2015-07-30	199.75	short	5			0.4999999999999716	47.60000000000002
60	2015-07-31	198.525	short	5			6.124999999999972	53.724999999999994
61	2015-08-03	201.55	short	5			-15.125000000000028	38.599999999999966
62	2015-08-04	201.625	short	5			-0.37499999999994316	38.22500000000002
63	2015-08-05	201.4	short	5			1.1249999999999716	39.349999999999994
64	2015-08-06	201.925	short	5			-2.6250000000000284	36.724999999999966
65	2015-08-07	200.95	short	5			4.875000000000114	41.60000000000008
66	2015-08-10	201.0	short	4	True	1.0	-0.25000000000005684	41.35000000000002
67	2015-08-11	200.6	short	3	True	2.0	1.6000000000000227	42.950000000000045
68	2015-08-12	200.05	short	2	True	3.0	1.6499999999999488	44.599999999999994
69	2015-08-13	199.85	short	1	True	4.0	0.4000000000000341	45.00000000000003
70	2015-08-14	199.025	short	0	True	5.0	0.8249999999999886	45.82500000000002
71	2015-11-09	167.525	long	1	True	1.0		
