	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2005-09-08	101.6	short	1	True	1.0		
1	2005-09-09	102.5	short	2	True	2.0	-0.9000000000000057	-0.9000000000000057
2	2005-09-12	103.4	short	3	True	3.0	-1.8000000000000114	-2.700000000000017
3	2005-09-13	102.9	short	4	True	4.0	1.5	-1.200000000000017
4	2005-09-14	102.85	short	5	True	5.0	0.20000000000004547	-0.9999999999999716
5	2005-09-15	103.025	short	5			-0.8750000000000568	-1.8750000000000284
6	2005-09-16	102.825	short	5			1.0000000000000142	-0.8750000000000142
7	2005-09-19	103.05	short	5			-1.1249999999999716	-1.9999999999999858
8	2005-09-20	102.825	short	5			1.1249999999999716	-0.8750000000000142
9	2005-09-21	102.8	short	5			0.12500000000002842	-0.7499999999999858
10	2005-09-22	103.1	short	5			-1.4999999999999858	-2.2499999999999716
11	2005-09-23	103.4	short	5			-1.5000000000000568	-3.7500000000000284
12	2005-09-26	103.7	short	5			-1.4999999999999858	-5.250000000000014
13	2005-09-27	104.0	short	5			-1.4999999999999858	-6.75
14	2005-09-28	104.45	short	5			-2.250000000000014	-9.000000000000014
15	2005-09-29	105.225	short	5			-3.8749999999999574	-12.874999999999972
16	2005-09-30	105.5	short	5			-1.3750000000000284	-14.25
17	2005-10-03	105.9	short	5			-2.0000000000000284	-16.25000000000003
18	2005-10-04	107.1	short	5			-5.999999999999943	-22.24999999999997
19	2005-10-05	106.8	short	5			1.4999999999999858	-20.749999999999986
20	2005-10-06	107.05	short	5			-1.25	-21.999999999999986
21	2005-10-07	107.1	short	5			-0.2499999999999858	-22.24999999999997
22	2005-10-10	107.25	short	4	True	1.0	-0.7500000000000284	-23.0
23	2005-10-11	107.4	short	3	True	2.0	-0.6000000000000227	-23.600000000000023
24	2005-10-12	107.45	short	2	True	3.0	-0.14999999999999147	-23.750000000000014
25	2005-10-13	108.5	short	1	True	4.0	-2.0999999999999943	-25.85000000000001
26	2005-10-14	106.9	short	0	True	5.0	1.5999999999999943	-24.250000000000014
27	2006-03-08	105.125	long	1	True	1.0		
28	2006-03-09	104.625	long	2	True	2.0	-0.5	-24.750000000000014
29	2006-03-10	102.95	long	3	True	3.0	-3.3499999999999943	-28.10000000000001
30	2006-03-13	103.425	long	4	True	4.0	1.424999999999983	-26.675000000000026
31	2006-03-14	103.375	long	5	True	5.0	-0.19999999999998863	-26.875000000000014
32	2006-03-15	104.85	long	5			7.374999999999972	-19.500000000000043
33	2006-03-16	105.75	long	5			4.500000000000028	-15.000000000000014
34	2006-03-17	105.65	long	5			-0.4999999999999716	-15.499999999999986
35	2006-03-20	106.9	long	5			6.25	-9.249999999999986
36	2006-03-21	106.975	long	5			0.37499999999994316	-8.875000000000043
37	2006-03-22	105.825	long	5			-5.749999999999957	-14.625
38	2006-03-23	105.95	long	5			0.625	-14.0
39	2006-03-24	104.975	long	5			-4.875000000000043	-18.875000000000043
40	2006-03-27	104.125	long	5			-4.249999999999972	-23.125000000000014
41	2006-03-28	104.075	long	5			-0.2499999999999858	-23.375
42	2006-03-29	103.2	long	5			-4.375	-27.75
43	2006-03-30	104.25	long	5			5.249999999999986	-22.500000000000014
44	2006-03-31	101.475	long	5			-13.875000000000028	-36.37500000000004
45	2006-04-03	100.975	long	5			-2.5	-38.87500000000004
46	2006-04-04	99.2	long	5			-8.874999999999957	-47.75
47	2006-04-05	100.025	long	5			4.125000000000014	-43.624999999999986
48	2006-04-06	100.55	long	5			2.6249999999999574	-41.00000000000003
49	2006-04-07	102.0	long	5			7.250000000000014	-33.750000000000014
50	2006-04-10	100.475	long	4	True	1.0	-7.625000000000028	-41.37500000000004
51	2006-04-11	100.5	long	3	True	2.0	0.10000000000002274	-41.27500000000002
52	2006-04-12	101.35	long	2	True	3.0	2.549999999999983	-38.72500000000004
53	2006-04-13	102.175	long	1	True	4.0	1.6500000000000057	-37.07500000000003
54	2006-04-14		long	1	True	5.0	0.0	-37.07500000000003
