	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1999-11-22	85.0	5	short				
1	1999-11-23	85.75	5	short			-3.75	-3.75
2	1999-11-24	85.95	5	short			-1.0000000000000142	-4.750000000000014
3	1999-11-25		5	short			-0.0	-4.750000000000014
4	1999-11-26	86.0	5	short			-0.2499999999999858	-5.0
5	1999-11-29	85.75	5	short			1.25	-3.75
6	1999-11-30	86.0	5	short			-1.25	-5.0
7	1999-12-01	85.85	5	short			0.7500000000000284	-4.249999999999972
8	1999-12-02	85.7	5	short			0.7499999999999574	-3.500000000000014
9	1999-12-03	85.95	5	short			-1.25	-4.750000000000014
10	1999-12-06	85.85	5	short			0.5000000000000426	-4.249999999999972
11	1999-12-07	86.35	5	short			-2.5	-6.749999999999972
12	1999-12-08	86.5	5	short			-0.7500000000000284	-7.5
13	1999-12-09	86.2	5	short			1.4999999999999858	-6.000000000000014
14	1999-12-10	85.525	5	short			3.374999999999986	-2.6250000000000284
15	1999-12-13	85.6	5	short			-0.37499999999994316	-2.9999999999999716
16	1999-12-14	85.6	5	short			-0.0	-2.9999999999999716
17	1999-12-15	85.5	5	short			0.4999999999999716	-2.5
18	1999-12-16	85.55	5	short			-0.2499999999999858	-2.749999999999986
19	1999-12-17	85.45	5	short			0.4999999999999716	-2.250000000000014
20	1999-12-20	85.55	5	short			-0.4999999999999716	-2.749999999999986
21	1999-12-21	86.1	5	short			-2.749999999999986	-5.499999999999972
22	1999-12-22	85.925	5	short			0.8749999999999858	-4.624999999999986
23	1999-12-23	86.45	5	short			-2.6250000000000284	-7.250000000000014
24	1999-12-24		5	short			-0.0	-7.250000000000014
25	1999-12-27	86.225	5	short			1.1250000000000426	-6.124999999999972
26	1999-12-28	86.225	5	short			-0.0	-6.124999999999972
27	1999-12-29	86.45	5	short			-1.1250000000000426	-7.250000000000014
28	1999-12-30	86.5	5	short			-0.2499999999999858	-7.5
29	1999-12-31	86.5	5	short			-0.0	-7.5
30	2000-01-03	86.9	5	short			-2.0000000000000284	-9.500000000000028
31	2000-01-04	86.8	5	short			0.5000000000000426	-8.999999999999986
32	2000-01-05	86.85	5	short			-0.2499999999999858	-9.249999999999972
33	2000-01-06	87.5	5	short			-3.2500000000000284	-12.5
34	2000-01-07	88.25	5	short			-3.75	-16.25
35	2000-01-10	88.35	4	short	True	1.0	-0.4999999999999716	-16.74999999999997
36	2000-01-11	88.1	3	short	True	2.0	1.0	-15.749999999999972
37	2000-01-12	87.6	2	short	True	3.0	1.5	-14.249999999999972
38	2000-01-13	87.3	1	short	True	4.0	0.5999999999999943	-13.649999999999977
39	2000-01-14	87.35	0	short	True	5.0	-0.04999999999999716	-13.699999999999974
40	2000-08-08	85.925	1	long	True	1.0		
41	2000-08-09	86.05	2	long	True	2.0	0.125	-13.574999999999974
42	2000-08-10	86.05	3	long	True	3.0	0.0	-13.574999999999974
43	2000-08-11	86.525	4	long	True	4.0	1.4250000000000256	-12.149999999999949
44	2000-08-14	86.65	5	long	True	5.0	0.5	-11.649999999999949
45	2000-08-15	86.375	5	long			-1.3750000000000284	-13.024999999999977
46	2000-08-16	86.125	5	long			-1.25	-14.274999999999977
47	2000-08-17	86.15	5	long			0.12500000000002842	-14.149999999999949
48	2000-08-18	86.15	5	long			0.0	-14.149999999999949
49	2000-08-21	86.175	5	long			0.12499999999995737	-14.024999999999991
50	2000-08-22	85.95	5	long			-1.1249999999999716	-15.149999999999963
51	2000-08-23	85.925	5	long			-0.12500000000002842	-15.274999999999991
52	2000-08-24	85.9	5	long			-0.12499999999995737	-15.399999999999949
53	2000-08-25	84.825	5	long			-5.375000000000014	-20.774999999999963
54	2000-08-28	84.675	5	long			-0.7500000000000284	-21.52499999999999
55	2000-08-29	84.325	5	long			-1.7499999999999716	-23.274999999999963
56	2000-08-30	84.625	5	long			1.4999999999999858	-21.774999999999977
57	2000-08-31	84.625	5	long			0.0	-21.774999999999977
58	2000-09-01	84.725	5	long			0.4999999999999716	-21.275000000000006
59	2000-09-04		5	long			0.0	-21.275000000000006
60	2000-09-05	84.375	5	long			-1.7499999999999716	-23.024999999999977
61	2000-09-06	84.4	5	long			0.12500000000002842	-22.89999999999995
62	2000-09-07	85.125	5	long			3.6249999999999716	-19.274999999999977
63	2000-09-08	85.075	4	long	True	1.0	-0.2499999999999858	-19.524999999999963
64	2000-09-11	85.075	3	long	True	2.0	0.0	-19.524999999999963
65	2000-09-12	84.875	2	long	True	3.0	-0.6000000000000085	-20.12499999999997
66	2000-09-13	84.725	1	long	True	4.0	-0.30000000000001137	-20.424999999999983
67	2000-09-14	85.325	0	long	True	5.0	0.6000000000000085	-19.824999999999974
