	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2002-03-08	85.8	short	1	True	1.0		
1	2002-03-11	85.55	short	2	True	2.0	0.25	0.25
2	2002-03-12	85.075	short	3	True	3.0	0.9499999999999886	1.1999999999999886
3	2002-03-13	83.95	short	4	True	4.0	3.375	4.574999999999989
4	2002-03-14	83.95	short	5	True	5.0	-0.0	4.574999999999989
5	2002-03-15	83.55	short	5			2.0000000000000284	6.575000000000017
6	2002-03-18	83.0	short	5			2.749999999999986	9.325000000000003
7	2002-03-19	82.6	short	5			2.0000000000000284	11.325000000000031
8	2002-03-20	82.65	short	5			-0.25000000000005684	11.074999999999974
9	2002-03-21	82.35	short	5			1.5000000000000568	12.575000000000031
10	2002-03-22	82.0	short	5			1.7499999999999716	14.325000000000003
11	2002-03-25	82.1	short	5			-0.4999999999999716	13.825000000000031
12	2002-03-26	82.3	short	5			-1.0000000000000142	12.825000000000017
13	2002-03-27	82.3	short	5			-0.0	12.825000000000017
14	2002-03-28	82.1	short	5			1.0000000000000142	13.825000000000031
15	2002-03-29		short	5			-0.0	13.825000000000031
16	2002-04-01	83.05	short	5			-4.750000000000014	9.075000000000017
17	2002-04-02	82.55	short	5			2.5	11.575000000000017
18	2002-04-03	82.275	short	5			1.3749999999999574	12.949999999999974
19	2002-04-04	80.775	short	5			7.5	20.449999999999974
20	2002-04-05	79.4	short	5			6.875	27.324999999999974
21	2002-04-08	77.95	short	4	True	1.0	7.250000000000014	34.57499999999999
22	2002-04-09	79.0	short	3	True	2.0	-4.199999999999989	30.375
23	2002-04-10	77.5	short	2	True	3.0	4.5	34.875
24	2002-04-11	77.025	short	1	True	4.0	0.9499999999999886	35.82499999999999
25	2002-04-12	77.3	short	0	True	5.0	-0.2749999999999915	35.55
26	2002-10-08	80.35	long	1	True	1.0		
27	2002-10-09	79.7	long	2	True	2.0	-0.6499999999999915	34.900000000000006
28	2002-10-10	80.3	long	3	True	3.0	1.1999999999999886	36.099999999999994
29	2002-10-11	80.875	long	4	True	4.0	1.7250000000000085	37.825
30	2002-10-14	81.475	long	5	True	5.0	2.3999999999999773	40.22499999999998
31	2002-10-15	81.825	long	5			1.7500000000000426	41.97500000000002
32	2002-10-16	81.65	long	5			-0.8749999999999858	41.10000000000004
33	2002-10-17	81.375	long	5			-1.3750000000000284	39.72500000000001
34	2002-10-18	80.9	long	5			-2.3749999999999716	37.35000000000004
35	2002-10-21	82.15	long	5			6.25	43.60000000000004
36	2002-10-22	82.45	long	5			1.4999999999999858	45.10000000000002
37	2002-10-23	82.25	long	5			-1.0000000000000142	44.10000000000001
38	2002-10-24	81.9	long	5			-1.7499999999999716	42.35000000000004
39	2002-10-25	82.175	long	5			1.3749999999999574	43.724999999999994
40	2002-10-28	82.175	long	5			0.0	43.724999999999994
41	2002-10-29	81.375	long	5			-3.999999999999986	39.72500000000001
42	2002-10-30	81.8	long	5			2.124999999999986	41.849999999999994
43	2002-10-31	82.05	long	5			1.25	43.099999999999994
44	2002-11-01	82.575	long	5			2.6250000000000284	45.72500000000002
45	2002-11-04	82.5	long	5			-0.3750000000000142	45.35000000000001
46	2002-11-05	82.275	long	5			-1.1249999999999716	44.22500000000004
47	2002-11-06	82.7	long	5			2.124999999999986	46.35000000000002
48	2002-11-07	83.375	long	5			3.374999999999986	49.72500000000001
49	2002-11-08	83.8	long	4	True	1.0	2.124999999999986	51.849999999999994
50	2002-11-11	83.35	long	3	True	2.0	-1.8000000000000114	50.04999999999998
51	2002-11-12	83.175	long	2	True	3.0	-0.5249999999999915	49.52499999999999
52	2002-11-13	83.05	long	1	True	4.0	-0.25	49.27499999999999
53	2002-11-14	83.05	long	0	True	5.0	0.0	49.27499999999999
