	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2021-11-08	175.15	short	1	True	1.0		
1	2021-11-09	174.825	short	2	True	2.0	0.32500000000001705	0.32500000000001705
2	2021-11-10	174.0	short	3	True	3.0	1.6499999999999773	1.9749999999999943
3	2021-11-11	174.425	short	4	True	4.0	-1.275000000000034	0.6999999999999602
4	2021-11-12	173.35	short	5	True	5.0	4.300000000000068	5.000000000000028
5	2021-11-15	174.2	short	5			-4.249999999999972	0.7500000000000568
6	2021-11-16	174.6	short	5			-2.0000000000000284	-1.2499999999999716
7	2021-11-17	175.0	short	5			-2.0000000000000284	-3.25
8	2021-11-18	176.1	short	5			-5.499999999999972	-8.749999999999972
9	2021-11-19	176.0	short	5			0.4999999999999716	-8.25
10	2021-11-22	176.35	short	5			-1.7499999999999716	-9.999999999999972
11	2021-11-23	177.6	short	5			-6.25	-16.24999999999997
12	2021-11-24	178.95	short	5			-6.749999999999972	-22.999999999999943
13	2021-11-25		short	5			-0.0	-22.999999999999943
14	2021-11-26	178.95	short	5			-0.0	-22.999999999999943
15	2021-11-29	178.675	short	5			1.3749999999998863	-21.625000000000057
16	2021-11-30	178.85	short	5			-0.8749999999999147	-22.49999999999997
17	2021-12-01	180.3	short	5			-7.250000000000085	-29.750000000000057
18	2021-12-02	180.675	short	5			-1.875	-31.625000000000057
19	2021-12-03	179.6	short	5			5.375000000000085	-26.24999999999997
20	2021-12-06	180.475	short	5			-4.375	-30.62499999999997
21	2021-12-07	179.425	short	5			5.249999999999915	-25.375000000000057
22	2021-12-08	178.2	short	5			6.125000000000114	-19.249999999999943
23	2021-12-09	177.7	short	5			2.5	-16.749999999999943
24	2021-12-10	178.75	short	5			-5.250000000000057	-22.0
25	2021-12-13	179.275	short	5			-2.6250000000000284	-24.62500000000003
26	2021-12-14	179.0	short	5			1.3750000000000284	-23.25
27	2021-12-15	178.175	short	5			4.124999999999943	-19.125000000000057
28	2021-12-16	177.75	short	5			2.125000000000057	-17.0
29	2021-12-17	176.75	short	5			5.0	-12.0
30	2021-12-20	176.8	short	5			-0.25000000000005684	-12.250000000000057
31	2021-12-21	178.5	short	5			-8.499999999999943	-20.75
32	2021-12-22	179.275	short	5			-3.8750000000000284	-24.62500000000003
33	2021-12-23	180.0	short	5			-3.6249999999999716	-28.25
34	2021-12-24		short	5			-0.0	-28.25
35	2021-12-27	180.0	short	5			-0.0	-28.25
36	2021-12-28	181.025	short	5			-5.125000000000028	-33.37500000000003
37	2021-12-29	182.0	short	5			-4.874999999999972	-38.25
38	2021-12-30	182.15	short	5			-0.7500000000000284	-39.00000000000003
39	2021-12-31	182.75	short	5			-2.9999999999999716	-42.0
40	2022-01-03	182.35	short	5			2.0000000000000284	-39.99999999999997
41	2022-01-04	181.65	short	5			3.499999999999943	-36.50000000000003
42	2022-01-05	181.8	short	5			-0.7500000000000284	-37.25000000000006
43	2022-01-06	181.825	short	5			-0.12499999999988631	-37.37499999999994
44	2022-01-07	182.275	short	5			-2.2500000000000853	-39.62500000000003
45	2022-01-10	182.125	short	4	True	1.0	0.7500000000000284	-38.875
46	2022-01-11	182.225	short	3	True	2.0	-0.39999999999997726	-39.27499999999998
47	2022-01-12	182.1	short	2	True	3.0	0.375	-38.89999999999998
48	2022-01-13	183.025	short	1	True	4.0	-1.8500000000000227	-40.75
49	2022-01-14	183.05	short	0	True	5.0	-0.025000000000005684	-40.775000000000006
50	2022-09-08	184.4	long	1	True	1.0		
51	2022-09-09	185.575	long	2	True	2.0	1.174999999999983	-39.60000000000002
52	2022-09-12	183.125	long	3	True	3.0	-4.899999999999977	-44.5
53	2022-09-13	180.525	long	4	True	4.0	-7.799999999999983	-52.29999999999998
54	2022-09-14	181.425	long	5	True	5.0	3.6000000000000227	-48.69999999999996
55	2022-09-15	180.925	long	5			-2.5	-51.19999999999996
56	2022-09-16	181.25	long	5			1.6249999999999432	-49.57500000000002
57	2022-09-19	182.3	long	5			5.250000000000057	-44.32499999999996
58	2022-09-20	180.025	long	5			-11.375000000000028	-55.69999999999999
59	2022-09-21	179.225	long	5			-4.000000000000057	-59.700000000000045
60	2022-09-22	177.975	long	5			-6.25	-65.95000000000005
61	2022-09-23	178.35	long	5			1.875	-64.07500000000005
62	2022-09-26	177.075	long	5			-6.375000000000028	-70.45000000000007
63	2022-09-27	176.125	long	5			-4.749999999999943	-75.20000000000002
64	2022-09-28	175.0	long	5			-5.625	-80.82500000000002
65	2022-09-29	177.325	long	5			11.624999999999943	-69.20000000000007
66	2022-09-30	174.175	long	5			-15.749999999999886	-84.94999999999996
67	2022-10-03	175.525	long	5			6.749999999999972	-78.19999999999999
68	2022-10-04	174.65	long	5			-4.375	-82.57499999999999
69	2022-10-05	176.55	long	5			9.500000000000028	-73.07499999999996
70	2022-10-06	175.725	long	5			-4.125000000000085	-77.20000000000005
71	2022-10-07	174.725	long	5			-5.0	-82.20000000000005
72	2022-10-10	172.1	long	4	True	1.0	-13.125	-95.32500000000005
73	2022-10-11	175.075	long	3	True	2.0	11.899999999999977	-83.42500000000007
74	2022-10-12	175.5	long	2	True	3.0	1.275000000000034	-82.15000000000003
75	2022-10-13	174.75	long	1	True	4.0	-1.5	-83.65000000000003
76	2022-10-14	173.8	long	0	True	5.0	-0.9499999999999886	-84.60000000000002
