	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2004-01-08	426.4	short	1	True	1.0		
1	2004-01-09	428.7	short	2	True	2.0	-2.3000000000000114	-2.3000000000000114
2	2004-01-12	428.5	short	3	True	3.0	0.39999999999997726	-1.900000000000034
3	2004-01-13	426.0	short	4	True	4.0	7.5	5.599999999999966
4	2004-01-14	423.9	short	5	True	5.0	8.400000000000091	14.000000000000057
5	2004-01-15	410.6	short	5			66.49999999999977	80.49999999999983
6	2004-01-16	409.0	short	5			8.000000000000114	88.49999999999994
7	2004-01-19		short	5			-0.0	88.49999999999994
8	2004-01-20	414.9	short	5			-29.499999999999886	59.00000000000006
9	2004-01-21	413.2	short	5			8.499999999999943	67.5
10	2004-01-22	412.1	short	5			5.4999999999998295	72.99999999999983
11	2004-01-23	410.2	short	5			9.50000000000017	82.5
12	2004-01-26	408.9	short	5			6.500000000000057	89.00000000000006
13	2004-01-27	412.2	short	5			-16.500000000000057	72.5
14	2004-01-28	416.8	short	5			-23.000000000000114	49.499999999999886
15	2004-01-29	400.4	short	5			82.00000000000017	131.50000000000006
16	2004-01-30	403.9	short	5			-17.5	114.00000000000006
17	2004-02-02	400.3	short	5			17.99999999999983	131.9999999999999
18	2004-02-03	400.9	short	5			-2.9999999999998295	129.00000000000006
19	2004-02-04	402.7	short	5			-9.000000000000057	120.0
20	2004-02-05	399.8	short	5			14.499999999999886	134.4999999999999
21	2004-02-06	405.2	short	5			-26.999999999999886	107.5
22	2004-02-09	408.4	short	5			-15.999999999999943	91.50000000000006
23	2004-02-10	408.0	short	5			1.9999999999998863	93.49999999999994
24	2004-02-11	411.7	short	5			-18.499999999999943	75.0
25	2004-02-12	415.2	short	5			-17.5	57.5
26	2004-02-13	411.8	short	5			16.999999999999886	74.49999999999989
27	2004-02-16		short	5			-0.0	74.49999999999989
28	2004-02-17	417.5	short	5			-28.499999999999943	45.99999999999994
29	2004-02-18	413.8	short	5			18.499999999999943	64.49999999999989
