	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2022-01-10	1815.8	short	1	True	1.0		
1	2022-01-11	1835.1	short	2	True	2.0	-19.299999999999955	-19.299999999999955
2	2022-01-12	1844.4	short	3	True	3.0	-18.600000000000364	-37.90000000000032
3	2022-01-13	1838.7	short	4	True	4.0	17.100000000000136	-20.800000000000182
4	2022-01-14	1834.1	short	5	True	5.0	18.400000000000546	-2.399999999999636
5	2022-01-17		short	5			-0.0	-2.399999999999636
6	2022-01-18	1831.6	short	5			12.5	10.100000000000364
7	2022-01-19	1862.6	short	5			-155.0	-144.89999999999964
8	2022-01-20	1862.3	short	5			1.4999999999997726	-143.39999999999986
9	2022-01-21	1851.4	short	5			54.49999999999932	-88.90000000000055
10	2022-01-24	1861.6	short	5			-50.99999999999909	-139.89999999999964
11	2022-01-25	1872.6	short	5			-55.0	-194.89999999999964
12	2022-01-26	1849.7	short	5			114.49999999999932	-80.40000000000032
13	2022-01-27	1815.0	short	5			173.50000000000023	93.09999999999991
14	2022-01-28	1807.5	short	5			37.5	130.5999999999999
15	2022-01-31	1818.3	short	5			-53.99999999999977	76.60000000000014
16	2022-02-01	1823.3	short	5			-25.0	51.600000000000136
17	2022-02-02	1831.9	short	5			-43.00000000000068	8.599999999999454
18	2022-02-03	1826.5	short	5			27.000000000000455	35.59999999999991
19	2022-02-04	1832.1	short	5			-27.999999999999545	7.600000000000364
20	2022-02-07	1845.5	short	5			-67.00000000000045	-59.40000000000009
21	2022-02-08	1852.5	short	5			-35.0	-94.40000000000009
22	2022-02-09	1861.3	short	5			-43.99999999999977	-138.39999999999986
23	2022-02-10	1865.9	short	5			-23.000000000000682	-161.40000000000055
24	2022-02-11	1872.3	short	5			-31.999999999999318	-193.39999999999986
25	2022-02-14	1900.3	short	5			-140.0	-333.39999999999986
26	2022-02-15	1886.3	short	5			70.0	-263.39999999999986
27	2022-02-16	1900.7	short	5			-72.00000000000045	-335.4000000000003
28	2022-02-17	1930.3	short	5			-147.99999999999955	-483.39999999999986
29	2022-02-18	1927.9	short	5			11.999999999999318	-471.40000000000055
30	2022-02-21		short	5			-0.0	-471.40000000000055
31	2022-02-22	1934.8	short	5			-34.49999999999932	-505.89999999999986
32	2022-02-23	1937.5	short	5			-13.500000000000227	-519.4000000000001
33	2022-02-24	1952.0	short	5			-72.5	-591.9000000000001
34	2022-02-25	1914.0	short	5			190.0	-401.9000000000001
35	2022-02-28	1925.8	short	5			-58.99999999999977	-460.89999999999986
36	2022-03-01	1967.9	short	5			-210.50000000000068	-671.4000000000005
37	2022-03-02	1948.3	short	5			98.00000000000068	-573.3999999999999
38	2022-03-03	1963.1	short	5			-73.99999999999977	-647.3999999999996
39	2022-03-04	1993.4	short	5			-151.5000000000009	-798.9000000000005
40	2022-03-07	2021.6	short	5			-140.9999999999991	-939.8999999999996
41	2022-03-08	2068.9	short	4	True	1.0	-236.5000000000009	-1176.4000000000005
42	2022-03-09	2014.5	short	3	True	2.0	217.60000000000036	-958.8000000000002
43	2022-03-10	2029.2	short	2	True	3.0	-44.100000000000136	-1002.9000000000003
44	2022-03-11	2014.1	short	1	True	4.0	30.200000000000273	-972.7
45	2022-03-14	1990.5	short	0	True	5.0	23.59999999999991	-949.1000000000001
46	2023-01-09	1894.2	long	1	True	1.0		
47	2023-01-10	1893.0	long	2	True	2.0	-1.2000000000000455	-950.3000000000002
48	2023-01-11	1895.5	long	3	True	3.0	5.0	-945.3000000000002
49	2023-01-12	1915.5	long	4	True	4.0	60.0	-885.3000000000002
50	2023-01-13	1938.5	long	5	True	5.0	92.0	-793.3000000000002
51	2023-01-16		long	5			0.0	-793.3000000000002
52	2023-01-17	1926.7	long	5			-58.99999999999977	-852.3
53	2023-01-18	1923.8	long	5			-14.500000000000455	-866.8000000000004
54	2023-01-19	1940.6	long	5			83.99999999999977	-782.8000000000006
55	2023-01-20	1944.9	long	5			21.50000000000091	-761.2999999999997
56	2023-01-23	1945.4	long	5			2.5	-758.7999999999997
57	2023-01-24	1952.2	long	5			33.99999999999977	-724.8
58	2023-01-25	1959.4	long	5			36.00000000000023	-688.7999999999997
59	2023-01-26	1946.7	long	5			-63.50000000000023	-752.3
60	2023-01-27	1945.6	long	5			-5.500000000000682	-757.8000000000006
61	2023-01-30	1939.2	long	5			-31.999999999999318	-789.8
62	2023-01-31	1945.3	long	5			30.499999999999545	-759.3000000000004
63	2023-02-01	1942.8	long	5			-12.5	-771.8000000000004
64	2023-02-02	1930.8	long	5			-60.0	-831.8000000000004
65	2023-02-03	1876.6	long	5			-271.0000000000002	-1102.8000000000006
66	2023-02-06	1879.5	long	5			14.500000000000455	-1088.3000000000002
67	2023-02-07	1884.8	long	5			26.499999999999773	-1061.8000000000004
68	2023-02-08	1890.7	long	5			29.500000000000455	-1032.3
69	2023-02-09	1878.5	long	5			-61.00000000000023	-1093.3000000000002
70	2023-02-10	1874.5	long	5			-20.0	-1113.3000000000002
71	2023-02-13	1863.5	long	5			-55.0	-1168.3000000000002
72	2023-02-14	1865.4	long	5			9.500000000000455	-1158.7999999999997
73	2023-02-15	1845.3	long	5			-100.50000000000068	-1259.3000000000004
74	2023-02-16	1851.8	long	5			32.5	-1226.8000000000004
75	2023-02-17	1850.2	long	5			-7.999999999999545	-1234.8
76	2023-02-20		long	5			0.0	-1234.8
77	2023-02-21	1842.5	long	5			-38.50000000000023	-1273.3000000000002
78	2023-02-22	1841.5	long	5			-5.0	-1278.3000000000002
79	2023-02-23	1826.8	long	5			-73.50000000000023	-1351.8000000000004
80	2023-02-24	1817.1	long	5			-48.50000000000023	-1400.3000000000006
81	2023-02-27	1824.9	long	5			39.00000000000091	-1361.2999999999997
82	2023-02-28	1836.7	long	5			58.99999999999977	-1302.3
83	2023-03-01	1845.4	long	5			43.50000000000023	-1258.7999999999997
84	2023-03-02	1840.5	long	5			-24.500000000000455	-1283.3000000000002
85	2023-03-03	1854.6	long	5			70.49999999999955	-1212.8000000000006
86	2023-03-06	1854.6	long	5			0.0	-1212.8000000000006
87	2023-03-07	1820.0	long	5			-172.99999999999955	-1385.8000000000002
88	2023-03-08	1818.6	long	4	True	1.0	-7.000000000000455	-1392.8000000000006
