	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2022-08-08	360.9	short	1	True	1.0		
1	2022-08-09	360.8	short	2	True	2.0	0.0999999999999659	0.0999999999999659
2	2022-08-10	366.6	short	3	True	3.0	-11.600000000000023	-11.500000000000057
3	2022-08-11	371.95	short	4	True	4.0	-16.049999999999898	-27.549999999999955
4	2022-08-12	368.45	short	5	True	5.0	14.0	-13.549999999999955
5	2022-08-15	363.55	short	5			24.499999999999886	10.949999999999932
6	2022-08-16	363.8	short	5			-1.25	9.699999999999932
7	2022-08-17	359.8	short	5			20.0	29.699999999999932
8	2022-08-18	364.05	short	5			-21.25	8.449999999999932
9	2022-08-19	367.6	short	5			-17.750000000000057	-9.300000000000125
10	2022-08-22	365.45	short	5			10.75000000000017	1.4500000000000455
11	2022-08-23	369.0	short	5			-17.750000000000057	-16.30000000000001
12	2022-08-24	365.0	short	5			20.0	3.6999999999999886
13	2022-08-25	369.25	short	5			-21.25	-17.55000000000001
14	2022-08-26	369.75	short	5			-2.5	-20.05000000000001
15	2022-08-29	361.4	short	5			41.750000000000114	21.700000000000102
16	2022-08-30	355.75	short	5			28.249999999999886	49.94999999999999
17	2022-08-31	351.7	short	5			20.250000000000057	70.20000000000005
18	2022-09-01	340.6	short	5			55.49999999999983	125.69999999999987
19	2022-09-02	340.8	short	5			-0.9999999999999432	124.69999999999993
20	2022-09-05		short	5			-0.0	124.69999999999993
21	2022-09-06	345.6	short	5			-24.000000000000057	100.69999999999987
22	2022-09-07	342.5	short	5			15.500000000000114	116.19999999999999
23	2022-09-08	351.75	short	5			-46.25	69.94999999999999
24	2022-09-09	355.8	short	5			-20.250000000000057	49.69999999999993
25	2022-09-12	359.55	short	5			-18.75	30.949999999999932
26	2022-09-13	354.5	short	5			25.250000000000057	56.19999999999999
27	2022-09-14	350.9	short	5			18.000000000000114	74.2000000000001
28	2022-09-15	347.15	short	5			18.75	92.9500000000001
29	2022-09-16	349.5	short	5			-11.750000000000114	81.19999999999999
30	2022-09-19	349.65	short	5			-0.7499999999998863	80.4500000000001
31	2022-09-20	348.8	short	5			4.2499999999998295	84.69999999999993
32	2022-09-21	345.35	short	5			17.249999999999943	101.94999999999987
33	2022-09-22	345.7	short	5			-1.7499999999998295	100.20000000000005
34	2022-09-23	333.4	short	5			61.50000000000006	161.7000000000001
35	2022-09-26	328.1	short	5			26.499999999999773	188.19999999999987
36	2022-09-27	327.1	short	5			5.0	193.19999999999987
37	2022-09-28	333.75	short	5			-33.249999999999886	159.95
38	2022-09-29	338.9	short	5			-25.749999999999886	134.2000000000001
39	2022-09-30	338.15	short	5			3.75	137.9500000000001
40	2022-10-03	338.3	short	5			-0.7500000000001705	137.19999999999993
41	2022-10-04	345.9	short	5			-37.99999999999983	99.2000000000001
42	2022-10-05	347.45	short	5			-7.750000000000057	91.45000000000005
43	2022-10-06	342.2	short	5			26.25	117.70000000000005
44	2022-10-07	336.1	short	5			30.49999999999983	148.19999999999987
45	2022-10-10	340.2	short	5			-20.49999999999983	127.70000000000005
46	2022-10-11	343.7	short	5			-17.5	110.20000000000005
47	2022-10-12	339.75	short	5			19.749999999999943	129.95
48	2022-10-13	341.3	short	5			-7.750000000000057	122.19999999999993
49	2022-10-14	339.15	short	5			10.75000000000017	132.9500000000001
50	2022-10-17	339.2	short	5			-0.25000000000005684	132.70000000000005
51	2022-10-18	334.55	short	5			23.249999999999886	155.94999999999993
52	2022-10-19	330.6	short	5			19.749999999999943	175.69999999999987
53	2022-10-20	339.35	short	5			-43.75	131.94999999999987
54	2022-10-21	344.6	short	5			-26.25	105.69999999999987
55	2022-10-24	340.95	short	5			18.25000000000017	123.95000000000005
56	2022-10-25	337.85	short	5			15.49999999999983	139.44999999999987
57	2022-10-26	351.45	short	5			-67.99999999999983	71.45000000000005
58	2022-10-27	349.4	short	5			10.250000000000057	81.7000000000001
59	2022-10-28	340.45	short	5			44.74999999999994	126.45000000000005
60	2022-10-31	334.9	short	5			27.750000000000057	154.2000000000001
61	2022-11-01	344.95	short	5			-50.25000000000006	103.95000000000005
62	2022-11-02	345.0	short	5			-0.25000000000005684	103.69999999999999
63	2022-11-03	341.35	short	5			18.249999999999886	121.94999999999987
64	2022-11-04	366.65	short	5			-126.49999999999977	-4.549999999999898
65	2022-11-07	359.85	short	5			33.99999999999977	29.449999999999875
66	2022-11-08	367.35	short	4	True	1.0	-37.5	-8.050000000000125
67	2022-11-09	368.6	short	3	True	2.0	-5.0	-13.050000000000125
68	2022-11-10	374.2	short	2	True	3.0	-16.799999999999898	-29.850000000000023
69	2022-11-11	389.45	short	1	True	4.0	-30.5	-60.35000000000002
70	2022-11-14	382.2	short	0	True	5.0	7.25	-53.10000000000002
71	2023-02-08	404.85	long	1	True	1.0		
72	2023-02-09	410.9	long	2	True	2.0	6.0499999999999545	-47.05000000000007
73	2023-02-10	403.1	long	3	True	3.0	-15.599999999999909	-62.64999999999998
74	2023-02-13	407.25	long	4	True	4.0	12.449999999999932	-50.200000000000045
75	2023-02-14	409.1	long	5	True	5.0	7.400000000000091	-42.799999999999955
76	2023-02-15	402.15	long	5			-34.75000000000023	-77.55000000000018
77	2023-02-16	412.15	long	5			50.0	-27.550000000000182
78	2023-02-17	410.5	long	5			-8.249999999999886	-35.80000000000007
79	2023-02-20		long	5			0.0	-35.80000000000007
80	2023-02-21	421.2	long	5			53.49999999999994	17.699999999999875
81	2023-02-22	418.5	long	5			-13.499999999999943	4.199999999999932
82	2023-02-23	405.6	long	5			-64.49999999999989	-60.299999999999955
83	2023-02-24	395.3	long	5			-51.50000000000006	-111.80000000000001
84	2023-02-27	401.1	long	5			29.000000000000057	-82.79999999999995
85	2023-02-28	408.95	long	5			39.24999999999983	-43.550000000000125
86	2023-03-01	416.0	long	5			35.25000000000006	-8.300000000000068
87	2023-03-02	407.6	long	5			-41.999999999999886	-50.299999999999955
88	2023-03-03	406.7	long	5			-4.5000000000001705	-54.800000000000125
89	2023-03-06	408.85	long	5			10.75000000000017	-44.049999999999955
90	2023-03-07	397.5	long	5			-56.750000000000114	-100.80000000000007
91	2023-03-08	402.7	long	5			25.999999999999943	-74.80000000000013
92	2023-03-09	403.9	long	5			5.999999999999943	-68.80000000000018
93	2023-03-10	403.05	long	5			-4.2499999999998295	-73.05000000000001
94	2023-03-13	405.35	long	5			11.500000000000057	-61.549999999999955
95	2023-03-14	400.3	long	5			-25.250000000000057	-86.80000000000001
96	2023-03-15	384.3	long	5			-80.0	-166.8
97	2023-03-16	386.45	long	5			10.749999999999886	-156.05000000000013
98	2023-03-17	389.25	long	5			14.000000000000057	-142.05000000000007
99	2023-03-20	395.15	long	5			29.499999999999886	-112.55000000000018
100	2023-03-21	399.4	long	5			21.25	-91.30000000000018
101	2023-03-22	404.45	long	5			25.250000000000057	-66.05000000000013
102	2023-03-23	412.35	long	5			39.50000000000017	-26.549999999999955
103	2023-03-24	407.5	long	5			-24.250000000000114	-50.80000000000007
104	2023-03-27	407.85	long	5			1.7500000000001137	-49.049999999999955
105	2023-03-28	408.55	long	5			3.499999999999943	-45.55000000000001
106	2023-03-29	408.65	long	5			0.49999999999982947	-45.05000000000018
107	2023-03-30	409.15	long	5			2.5	-42.55000000000018
108	2023-03-31	409.45	long	5			1.5000000000000568	-41.050000000000125
109	2023-04-03	404.55	long	5			-24.499999999999886	-65.55000000000001
110	2023-04-04	397.1	long	5			-37.24999999999994	-102.79999999999995
111	2023-04-05	398.65	long	5			7.749999999999773	-95.05000000000018
112	2023-04-06	401.55	long	5			14.50000000000017	-80.55000000000001
113	2023-04-07	401.55	long	5			0.0	-80.55000000000001
114	2023-04-10	397.65	long	4	True	1.0	-19.50000000000017	-100.05000000000018
115	2023-04-11	401.95	long	3	True	2.0	17.200000000000045	-82.85000000000014
116	2023-04-12	408.1	long	2	True	3.0	18.450000000000102	-64.40000000000003
117	2023-04-13	412.4	long	1	True	4.0	8.599999999999909	-55.800000000000125
118	2023-04-14	410.65	long	0	True	5.0	-1.75	-57.550000000000125
