,Due,Future,Month,Pair
0,2000-02-29,HGH00,H,HGU00
1,2000-04-28,HGK00,K,HGZ00
2,2000-06-30,HGN00,N,HGH01
3,2000-08-31,HGU00,U,HGK01
4,2000-11-30,HGZ00,Z,HGN01
5,2001-02-28,HGH01,H,HGU01
6,2001-04-30,HGK01,K,HGZ01
7,2001-06-29,HGN01,N,HGH02
8,2001-08-31,HGU01,U,HGK02
9,2001-11-30,HGZ01,Z,HGN02
10,2002-02-28,HGH02,H,HGU02
11,2002-04-30,HGK02,K,HGZ02
12,2002-06-28,HGN02,N,HGH03
13,2002-08-30,HGU02,U,HGK03
14,2002-11-27,HGZ02,Z,HGN03
15,2003-02-28,HGH03,H,HGU03
16,2003-04-30,HGK03,K,HGZ03
17,2003-06-30,HGN03,N,HGH04
18,2003-08-29,HGU03,U,HGK04
19,2003-11-26,HGZ03,Z,HGN04
20,2004-02-27,HGH04,H,HGU04
21,2004-04-30,HGK04,K,HGZ04
22,2004-06-30,HGN04,N,HGH05
23,2004-08-31,HGU04,U,HGK05
24,2004-11-30,HGZ04,Z,HGN05
25,2005-02-28,HGH05,H,HGU05
26,2005-04-29,HGK05,K,HGZ05
27,2005-06-30,HGN05,N,HGH06
28,2005-08-31,HGU05,U,HGK06
29,2005-11-30,HGZ05,Z,HGN06
30,2006-02-28,HGH06,H,HGU06
31,2006-04-28,HGK06,K,HGZ06
32,2006-06-30,HGN06,N,HGH07
33,2006-08-31,HGU06,U,HGK07
34,2006-11-30,HGZ06,Z,HGN07
35,2007-02-28,HGH07,H,HGU07
36,2007-04-30,HGK07,K,HGZ07
37,2007-06-29,HGN07,N,HGH08
38,2007-08-31,HGU07,U,HGK08
39,2007-11-30,HGZ07,Z,HGN08
40,2008-02-29,HGH08,H,HGU08
41,2008-04-30,HGK08,K,HGZ08
42,2008-06-30,HGN08,N,HGH09
43,2008-08-29,HGU08,U,HGK09
44,2008-11-28,HGZ08,Z,HGN09
45,2009-02-27,HGH09,H,HGU09
46,2009-04-30,HGK09,K,HGZ09
47,2009-06-30,HGN09,N,HGH10
48,2009-08-31,HGU09,U,HGK10
49,2009-11-30,HGZ09,Z,HGN10
50,2010-02-26,HGH10,H,HGU10
51,2010-04-30,HGK10,K,HGZ10
52,2010-06-30,HGN10,N,HGH11
53,2010-08-31,HGU10,U,HGK11
54,2010-11-30,HGZ10,Z,HGN11
55,2011-02-28,HGH11,H,HGU11
56,2011-04-29,HGK11,K,HGZ11
57,2011-06-30,HGN11,N,HGH12
58,2011-08-31,HGU11,U,HGK12
59,2011-11-30,HGZ11,Z,HGN12
60,2012-02-29,HGH12,H,HGU12
61,2012-04-30,HGK12,K,HGZ12
62,2012-06-29,HGN12,N,HGH13
63,2012-08-31,HGU12,U,HGK13
64,2012-11-30,HGZ12,Z,HGN13
65,2013-02-28,HGH13,H,HGU13
66,2013-04-30,HGK13,K,HGZ13
67,2013-06-28,HGN13,N,HGH14
68,2013-08-30,HGU13,U,HGK14
69,2013-11-29,HGZ13,Z,HGN14
70,2014-02-28,HGH14,H,HGU14
71,2014-04-30,HGK14,K,HGZ14
72,2014-06-30,HGN14,N,HGH15
73,2014-08-29,HGU14,U,HGK15
74,2014-11-28,HGZ14,Z,HGN15
75,2015-02-27,HGH15,H,HGU15
76,2015-04-30,HGK15,K,HGZ15
77,2015-06-30,HGN15,N,HGH16
78,2015-08-31,HGU15,U,HGK16
79,2015-11-30,HGZ15,Z,HGN16
80,2016-02-29,HGH16,H,HGU16
81,2016-04-29,HGK16,K,HGZ16
82,2016-06-30,HGN16,N,HGH17
83,2016-08-31,HGU16,U,HGK17
84,2016-11-30,HGZ16,Z,HGN17
85,2017-02-28,HGH17,H,HGU17
86,2017-04-28,HGK17,K,HGZ17
87,2017-06-30,HGN17,N,HGH18
88,2017-08-31,HGU17,U,HGK18
89,2017-11-30,HGZ17,Z,HGN18
90,2018-02-28,HGH18,H,HGU18
91,2018-04-30,HGK18,K,HGZ18
92,2018-06-29,HGN18,N,HGH19
93,2018-08-31,HGU18,U,HGK19
94,2018-11-30,HGZ18,Z,HGN19
95,2019-02-28,HGH19,H,HGU19
96,2019-04-30,HGK19,K,HGZ19
97,2019-06-28,HGN19,N,HGH20
98,2019-08-30,HGU19,U,HGK20
99,2019-11-29,HGZ19,Z,HGN20
100,2020-02-28,HGH20,H,HGU20
101,2020-04-30,HGK20,K,HGZ20
102,2020-06-30,HGN20,N,HGH21
103,2020-08-31,HGU20,U,HGK21
104,2020-11-30,HGZ20,Z,HGN21
105,2021-02-26,HGH21,H,HGU21
106,2021-04-30,HGK21,K,HGZ21
107,2021-06-30,HGN21,N,HGH22
108,2021-08-31,HGU21,U,HGK22
109,2021-11-30,HGZ21,Z,HGN22
110,2022-02-28,HGH22,H,HGU22
111,2022-04-29,HGK22,K,HGZ22
112,2022-06-30,HGN22,N,HGH23
113,2022-08-31,HGU22,U,HGK23
114,2022-11-30,HGZ22,Z,HGN23
115,2023-02-28,HGH23,H,HGU23
116,2023-04-28,HGK23,K,HGZ23
117,2023-06-30,HGN23,N,HGZ23
118,2023-08-31,HGU23,U,HGZ23
