	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2002-11-08	74.9	short	1	True	1.0		
1	2002-11-11	75.3	short	2	True	2.0	-0.3999999999999915	-0.3999999999999915
2	2002-11-12	75.3	short	3	True	3.0	-0.0	-0.3999999999999915
3	2002-11-13	74.85	short	4	True	4.0	1.3500000000000085	0.950000000000017
4	2002-11-14	74.3	short	5	True	5.0	2.1999999999999886	3.1500000000000057
5	2002-11-15	74.95	short	5			-3.2500000000000284	-0.10000000000002274
6	2002-11-18	75.8	short	5			-4.249999999999972	-4.349999999999994
7	2002-11-19	75.6	short	5			1.0000000000000142	-3.34999999999998
8	2002-11-20	76.65	short	5			-5.250000000000057	-8.600000000000037
9	2002-11-21	76.75	short	5			-0.4999999999999716	-9.100000000000009
10	2002-11-22	76.45	short	5			1.4999999999999858	-7.600000000000023
11	2002-11-25	76.5	short	5			-0.2499999999999858	-7.8500000000000085
12	2002-11-26	75.8	short	5			3.500000000000014	-4.349999999999994
13	2002-11-27	77.5	short	5			-8.500000000000014	-12.850000000000009
14	2002-11-28		short	5			-0.0	-12.850000000000009
15	2002-11-29		short	5			-0.0	-12.850000000000009
16	2002-12-02	78.0	short	5			-2.5	-15.350000000000009
17	2002-12-03	77.65	short	5			1.7499999999999716	-13.600000000000037
18	2002-12-04	77.85	short	5			-0.9999999999999432	-14.59999999999998
19	2002-12-05	76.6	short	5			6.25	-8.34999999999998
20	2002-12-06	76.8	short	5			-1.0000000000000142	-9.349999999999994
21	2002-12-09	75.85	short	5			4.750000000000014	-4.59999999999998
22	2002-12-10	76.45	short	5			-3.0000000000000426	-7.600000000000023
23	2002-12-11	76.2	short	5			1.25	-6.350000000000023
24	2002-12-12	75.95	short	5			1.25	-5.100000000000023
25	2002-12-13	75.2	short	5			3.75	-1.3500000000000227
26	2002-12-16	74.9	short	5			1.4999999999999858	0.14999999999996305
27	2002-12-17	75.15	short	5			-1.25	-1.100000000000037
28	2002-12-18	74.5	short	5			3.2500000000000284	2.1499999999999915
29	2002-12-19	74.2	short	5			1.4999999999999858	3.6499999999999773
30	2002-12-20	74.05	short	5			0.7500000000000284	4.400000000000006
31	2002-12-23	74.3	short	5			-1.25	3.1500000000000057
32	2002-12-24	73.15	short	5			5.749999999999957	8.899999999999963
33	2002-12-25		short	5			-0.0	8.899999999999963
34	2002-12-26	72.55	short	5			3.0000000000000426	11.900000000000006
35	2002-12-27	72.9	short	5			-1.7500000000000426	10.149999999999963
36	2002-12-30	72.65	short	5			1.25	11.399999999999963
37	2002-12-31	72.5	short	5			0.7500000000000284	12.149999999999991
38	2003-01-01		short	5			-0.0	12.149999999999991
39	2003-01-02	74.1	short	5			-7.999999999999972	4.15000000000002
40	2003-01-03	75.4	short	5			-6.500000000000057	-2.350000000000037
41	2003-01-06	76.2	short	5			-3.999999999999986	-6.350000000000023
42	2003-01-07	76.0	short	5			1.0000000000000142	-5.3500000000000085
43	2003-01-08	76.95	short	5			-4.750000000000014	-10.100000000000023
44	2003-01-09	77.3	short	5			-1.7499999999999716	-11.849999999999994
45	2003-01-10	76.8	short	5			2.5	-9.349999999999994
46	2003-01-13	77.55	short	5			-3.75	-13.099999999999994
47	2003-01-14	78.3	short	5			-3.75	-16.849999999999994
48	2003-01-15	78.8	short	5			-2.5	-19.349999999999994
49	2003-01-16	78.4	short	5			1.9999999999999574	-17.350000000000037
50	2003-01-17	78.1	short	5			1.5000000000000568	-15.84999999999998
51	2003-01-20		short	5			-0.0	-15.84999999999998
52	2003-01-21	79.05	short	5			-4.750000000000014	-20.599999999999994
53	2003-01-22	79.45	short	5			-2.0000000000000284	-22.600000000000023
54	2003-01-23	79.05	short	5			2.0000000000000284	-20.599999999999994
55	2003-01-24	79.15	short	5			-0.5000000000000426	-21.100000000000037
56	2003-01-27	78.4	short	5			3.75	-17.350000000000037
57	2003-01-28	78.0	short	5			2.0000000000000284	-15.350000000000009
58	2003-01-29	78.65	short	5			-3.2500000000000284	-18.600000000000037
59	2003-01-30	81.2	short	5			-12.749999999999986	-31.350000000000023
60	2003-01-31	81.6	short	5			-1.9999999999999574	-33.34999999999998
61	2003-02-03	80.9	short	5			3.499999999999943	-29.850000000000037
62	2003-02-04	80.0	short	5			4.500000000000028	-25.35000000000001
63	2003-02-05	79.95	short	5			0.2499999999999858	-25.100000000000023
64	2003-02-06	78.9	short	5			5.249999999999986	-19.850000000000037
65	2003-02-07	78.45	short	5			2.250000000000014	-17.600000000000023
66	2003-02-10	79.6	short	4	True	1.0	-5.749999999999957	-23.34999999999998
67	2003-02-11	79.55	short	3	True	2.0	0.19999999999998863	-23.14999999999999
68	2003-02-12	79.2	short	2	True	3.0	1.049999999999983	-22.10000000000001
69	2003-02-13	77.15	short	1	True	4.0	4.099999999999994	-18.000000000000014
70	2003-02-14	77.8	short	0	True	5.0	-0.6499999999999915	-18.650000000000006
71	2003-11-10	93.4	long	1	True	1.0		
72	2003-11-11	95.1	long	2	True	2.0	1.6999999999999886	-16.950000000000017
73	2003-11-12	95.4	long	3	True	3.0	0.6000000000000227	-16.349999999999994
74	2003-11-13	94.75	long	4	True	4.0	-1.950000000000017	-18.30000000000001
75	2003-11-14	95.65	long	5	True	5.0	3.6000000000000227	-14.699999999999989
76	2003-11-17	92.45	long	5			-16.000000000000014	-30.700000000000003
77	2003-11-18	93.8	long	5			6.749999999999972	-23.95000000000003
78	2003-11-19	92.45	long	5			-6.749999999999972	-30.700000000000003
79	2003-11-20	89.05	long	5			-17.00000000000003	-47.70000000000003
80	2003-11-21	90.25	long	5			6.000000000000014	-41.70000000000002
81	2003-11-24	91.25	long	5			5.0	-36.70000000000002
82	2003-11-25	89.45	long	5			-8.999999999999986	-45.7
83	2003-11-26	91.4	long	5			9.750000000000014	-35.94999999999999
84	2003-11-27		long	5			0.0	-35.94999999999999
85	2003-11-28		long	5			0.0	-35.94999999999999
86	2003-12-01	96.1	long	5			23.499999999999943	-12.450000000000045
87	2003-12-02	97.4	long	5			6.500000000000057	-5.949999999999989
88	2003-12-03	97.9	long	5			2.5	-3.4499999999999886
89	2003-12-04	96.5	long	5			-7.000000000000028	-10.450000000000017
90	2003-12-05	97.1	long	5			2.9999999999999716	-7.4500000000000455
91	2003-12-08	96.8	long	5			-1.4999999999999858	-8.950000000000031
92	2003-12-09	97.9	long	5			5.500000000000043	-3.4499999999999886
93	2003-12-10	97.95	long	5			0.2499999999999858	-3.200000000000003
94	2003-12-11	97.85	long	5			-0.5000000000000426	-3.7000000000000455
95	2003-12-12	98.8	long	5			4.750000000000014	1.0499999999999687
96	2003-12-15	99.45	long	5			3.2500000000000284	4.299999999999997
97	2003-12-16	100.4	long	5			4.750000000000014	9.050000000000011
98	2003-12-17	99.65	long	5			-3.75	5.300000000000011
99	2003-12-18	101.5	long	5			9.249999999999972	14.549999999999983
100	2003-12-19	102.4	long	5			4.500000000000028	19.05000000000001
101	2003-12-22	100.65	long	5			-8.75	10.300000000000011
102	2003-12-23	101.8	long	5			5.749999999999957	16.04999999999997
103	2003-12-24	102.3	long	5			2.5	18.54999999999997
104	2003-12-25		long	5			0.0	18.54999999999997
105	2003-12-26		long	5			0.0	18.54999999999997
106	2003-12-29	104.35	long	5			10.249999999999986	28.799999999999955
107	2003-12-30	104.3	long	5			-0.2499999999999858	28.54999999999997
108	2003-12-31	104.55	long	5			1.25	29.79999999999997
109	2004-01-01		long	5			0.0	29.79999999999997
110	2004-01-02		long	5			0.0	29.79999999999997
111	2004-01-05	108.7	long	5			20.75000000000003	50.55
112	2004-01-06	107.05	long	5			-8.250000000000028	42.29999999999997
113	2004-01-07	106.65	long	5			-1.9999999999999574	40.30000000000001
114	2004-01-08	110.85	long	5			20.999999999999943	61.299999999999955
115	2004-01-09	110.35	long	5			-2.5	58.799999999999955
116	2004-01-12	108.25	long	5			-10.499999999999972	48.29999999999998
117	2004-01-13	108.55	long	5			1.4999999999999858	49.79999999999997
118	2004-01-14	109.4	long	5			4.250000000000043	54.05000000000001
119	2004-01-15	108.4	long	5			-5.0	49.05000000000001
120	2004-01-16	109.4	long	5			5.0	54.05000000000001
121	2004-01-19		long	5			0.0	54.05000000000001
122	2004-01-20	111.75	long	5			11.749999999999972	65.79999999999998
123	2004-01-21	111.75	long	5			0.0	65.79999999999998
124	2004-01-22	112.0	long	5			1.25	67.04999999999998
125	2004-01-23	112.45	long	5			2.250000000000014	69.3
126	2004-01-26	111.65	long	5			-3.999999999999986	65.30000000000001
127	2004-01-27	111.4	long	5			-1.25	64.05000000000001
128	2004-01-28	113.25	long	5			9.249999999999972	73.29999999999998
129	2004-01-29	112.2	long	5			-5.249999999999986	68.05
130	2004-01-30	114.55	long	5			11.749999999999972	79.79999999999997
131	2004-02-02	114.4	long	5			-0.7499999999999574	79.05000000000001
132	2004-02-03	116.85	long	5			12.249999999999943	91.29999999999995
133	2004-02-04	117.45	long	5			3.0000000000000426	94.3
134	2004-02-05	117.3	long	5			-0.7500000000000284	93.54999999999997
135	2004-02-06	118.05	long	5			3.75	97.29999999999997
136	2004-02-09	118.6	long	4	True	1.0	2.749999999999986	100.04999999999995
137	2004-02-10	117.8	long	3	True	2.0	-3.1999999999999886	96.84999999999997
138	2004-02-11	121.6	long	2	True	3.0	11.399999999999991	108.24999999999996
