	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2005-06-08	125.8	short	1	True	1.0		
1	2005-06-09	125.75	short	2	True	2.0	0.04999999999999716	0.04999999999999716
2	2005-06-10	124.3	short	3	True	3.0	2.9000000000000057	2.950000000000003
3	2005-06-13	121.5	short	4	True	4.0	8.399999999999991	11.349999999999994
4	2005-06-14	123.5	short	5	True	5.0	-8.0	3.3499999999999943
5	2005-06-15	124.25	short	5			-3.75	-0.4000000000000057
6	2005-06-16	125.6	short	5			-6.749999999999972	-7.149999999999977
7	2005-06-17	124.45	short	5			5.749999999999957	-1.40000000000002
8	2005-06-20	124.15	short	5			1.4999999999999858	0.0999999999999659
9	2005-06-21	125.3	short	5			-5.749999999999957	-5.6499999999999915
10	2005-06-22	123.7	short	5			7.999999999999972	2.34999999999998
11	2005-06-23	122.45	short	5			6.25	8.59999999999998
12	2005-06-24	123.85	short	5			-6.999999999999957	1.6000000000000227
13	2005-06-27	125.1	short	5			-6.25	-4.649999999999977
14	2005-06-28	124.8	short	5			1.4999999999999858	-3.1499999999999915
15	2005-06-29	124.4	short	5			1.9999999999999574	-1.150000000000034
16	2005-06-30	120.8	short	5			18.000000000000043	16.85000000000001
17	2005-07-01	118.75	short	5			10.249999999999986	27.099999999999994
18	2005-07-04		short	5			-0.0	27.099999999999994
19	2005-07-05	123.05	short	5			-21.499999999999986	5.6000000000000085
20	2005-07-06	126.0	short	5			-14.750000000000014	-9.150000000000006
21	2005-07-07	126.85	short	5			-4.249999999999972	-13.399999999999977
22	2005-07-08	125.95	short	5			4.499999999999957	-8.90000000000002
23	2005-07-11	127.2	short	5			-6.25	-15.15000000000002
24	2005-07-12	125.75	short	5			7.250000000000014	-7.900000000000006
25	2005-07-13	126.75	short	5			-5.0	-12.900000000000006
26	2005-07-14	125.65	short	5			5.499999999999972	-7.400000000000034
27	2005-07-15	126.95	short	5			-6.499999999999986	-13.90000000000002
28	2005-07-18	127.4	short	5			-2.250000000000014	-16.150000000000034
29	2005-07-19	127.6	short	5			-0.9999999999999432	-17.149999999999977
30	2005-07-20	127.8	short	5			-1.0000000000000142	-18.14999999999999
31	2005-07-21	126.6	short	5			6.000000000000014	-12.149999999999977
32	2005-07-22	130.05	short	5			-17.250000000000085	-29.400000000000063
33	2005-07-25	131.95	short	5			-9.499999999999886	-38.89999999999995
34	2005-07-26	131.0	short	5			4.749999999999943	-34.150000000000006
35	2005-07-27	132.55	short	5			-7.750000000000057	-41.90000000000006
36	2005-07-28	134.8	short	5			-11.25	-53.15000000000006
37	2005-07-29	134.65	short	5			0.7500000000000284	-52.400000000000034
38	2005-08-01	137.2	short	5			-12.749999999999915	-65.14999999999995
39	2005-08-02	136.8	short	5			1.9999999999998863	-63.15000000000006
40	2005-08-03	137.15	short	5			-1.7499999999999716	-64.90000000000003
41	2005-08-04	136.3	short	5			4.249999999999972	-60.65000000000006
42	2005-08-05	136.45	short	5			-0.7499999999998863	-61.39999999999995
43	2005-08-08	136.9	short	4	True	1.0	-2.2500000000000853	-63.650000000000034
44	2005-08-09	134.05	short	3	True	2.0	11.399999999999977	-52.25000000000006
45	2005-08-10	135.85	short	2	True	3.0	-5.399999999999949	-57.650000000000006
46	2005-08-11	137.6	short	1	True	4.0	-3.5	-61.150000000000006
47	2005-08-12	138.95	short	0	True	5.0	-1.3499999999999943	-62.5
48	2006-06-08	331.65	long	1	True	1.0		
49	2006-06-09	322.5	long	2	True	2.0	-9.149999999999977	-71.64999999999998
50	2006-06-12	318.45	long	3	True	3.0	-8.100000000000023	-79.75
51	2006-06-13	295.7	long	4	True	4.0	-68.25	-148.0
52	2006-06-14	298.0	long	5	True	5.0	9.200000000000045	-138.79999999999995
53	2006-06-15	313.15	long	5			75.74999999999989	-63.05000000000007
54	2006-06-16	322.15	long	5			45.0	-18.050000000000068
55	2006-06-19	308.85	long	5			-66.49999999999977	-84.54999999999984
56	2006-06-20	309.2	long	5			1.7499999999998295	-82.80000000000001
57	2006-06-21	311.0	long	5			9.000000000000057	-73.79999999999995
58	2006-06-22	304.85	long	5			-30.749999999999886	-104.54999999999984
59	2006-06-23	315.1	long	5			51.25	-53.29999999999984
60	2006-06-26	323.3	long	5			40.99999999999994	-12.299999999999898
61	2006-06-27	308.6	long	5			-73.49999999999994	-85.79999999999984
62	2006-06-28	318.7	long	5			50.49999999999983	-35.30000000000001
63	2006-06-29	332.1	long	5			67.00000000000017	31.70000000000016
64	2006-06-30	335.5	long	5			16.999999999999886	48.700000000000045
65	2006-07-03	335.5	long	5			0.0	48.700000000000045
66	2006-07-04		long	5			0.0	48.700000000000045
67	2006-07-05	340.4	long	5			24.499999999999886	73.19999999999993
68	2006-07-06	361.7	long	5			106.50000000000006	179.7
69	2006-07-07	354.75	long	5			-34.74999999999994	144.95000000000005
70	2006-07-10	358.25	long	5			17.5	162.45000000000005
71	2006-07-11	363.5	long	5			26.25	188.70000000000005
72	2006-07-12	366.5	long	5			15.0	203.70000000000005
73	2006-07-13	367.65	long	5			5.749999999999886	209.44999999999993
74	2006-07-14	371.25	long	5			18.000000000000114	227.45000000000005
75	2006-07-17	359.95	long	5			-56.50000000000006	170.95
76	2006-07-18	357.45	long	5			-12.5	158.45
77	2006-07-19	359.35	long	5			9.50000000000017	167.95000000000016
78	2006-07-20	340.95	long	5			-92.00000000000017	75.94999999999999
79	2006-07-21	332.3	long	5			-43.249999999999886	32.7000000000001
80	2006-07-24	338.2	long	5			29.499999999999886	62.19999999999999
81	2006-07-25	346.1	long	5			39.50000000000017	101.70000000000016
82	2006-07-26	344.95	long	5			-5.7500000000001705	95.94999999999999
83	2006-07-27	347.85	long	5			14.50000000000017	110.45000000000016
84	2006-07-28	354.9	long	5			35.24999999999977	145.69999999999993
85	2006-07-31	357.0	long	5			10.500000000000114	156.20000000000005
86	2006-08-01	359.3	long	5			11.500000000000057	167.7000000000001
87	2006-08-02	359.1	long	5			-0.9999999999999432	166.70000000000016
88	2006-08-03	348.95	long	5			-50.75000000000017	115.94999999999999
