	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2009-05-08	157.93	short	1	True	1.0		
1	2009-05-11	155.92	short	2	True	2.0	2.0100000000000193	2.0100000000000193
2	2009-05-12	156.84	short	3	True	3.0	-1.8400000000000318	0.1699999999999875
3	2009-05-13	155.12	short	4	True	4.0	5.159999999999997	5.329999999999984
4	2009-05-14	155.45	short	5	True	5.0	-1.3199999999999363	4.010000000000048
5	2009-05-15	148.07	short	5			36.89999999999998	40.910000000000025
6	2009-05-18	154.07	short	5			-30.0	10.910000000000025
7	2009-05-19	154.72	short	5			-3.2500000000000284	7.659999999999997
8	2009-05-20	159.57	short	5			-24.24999999999997	-16.589999999999975
9	2009-05-21	159.09	short	5			2.399999999999949	-14.190000000000026
10	2009-05-22	160.08	short	5			-4.9500000000000455	-19.14000000000007
11	2009-05-25		short	5			-0.0	-19.14000000000007
12	2009-05-26	160.84	short	5			-3.7999999999999545	-22.940000000000026
13	2009-05-27	162.65	short	5			-9.050000000000011	-31.990000000000038
14	2009-05-28	166.78	short	5			-20.649999999999977	-52.640000000000015
15	2009-05-29	171.3	short	5			-22.60000000000005	-75.24000000000007
16	2009-06-01	180.76	short	5			-47.2999999999999	-122.53999999999996
17	2009-06-02	182.79	short	5			-10.150000000000006	-132.68999999999997
18	2009-06-03	177.28	short	5			27.549999999999955	-105.14000000000001
19	2009-06-04	181.72	short	5			-22.19999999999999	-127.34
20	2009-06-05	180.32	short	5			7.000000000000028	-120.33999999999997
21	2009-06-08	180.18	long	1	True	1.0		
22	2009-06-08	180.18	short	4	True	1.0	0.6999999999999318	-119.64000000000004
23	2009-06-09	183.96	long	2	True	2.0	3.780000000000001	-115.86000000000004
24	2009-06-09	183.96	short	3	True	2.0	-15.120000000000005	-130.98000000000005
25	2009-06-10	186.43	long	3	True	3.0	4.939999999999998	-126.04000000000005
26	2009-06-10	186.43	short	2	True	3.0	-7.409999999999997	-133.45000000000005
27	2009-06-11	188.9	long	4	True	4.0	7.409999999999997	-126.04000000000005
28	2009-06-11	188.9	short	1	True	4.0	-4.939999999999998	-130.98000000000005
29	2009-06-12	187.5	long	5	True	5.0	-5.600000000000023	-136.58000000000007
30	2009-06-12	187.5	short	0	True	5.0	1.4000000000000057	-135.18000000000006
31	2009-06-15	185.22	long	5			-11.400000000000006	-146.58000000000007
32	2009-06-16	185.97	long	5			3.75	-142.83000000000007
33	2009-06-17	189.65	long	5			18.400000000000034	-124.43000000000004
34	2009-06-18	187.45	long	5			-11.000000000000085	-135.43000000000012
35	2009-06-19	182.63	long	5			-24.099999999999966	-159.5300000000001
36	2009-06-22	176.83	long	5			-28.999999999999915	-188.53
37	2009-06-23	181.39	long	5			22.79999999999987	-165.73000000000013
38	2009-06-24	178.27	long	5			-15.59999999999988	-181.33
39	2009-06-25	182.36	long	5			20.450000000000017	-160.88
40	2009-06-26	178.1	long	5			-21.300000000000097	-182.1800000000001
41	2009-06-29	183.37	long	5			26.35000000000005	-155.83000000000004
42	2009-06-30	178.77	long	5			-22.99999999999997	-178.83
43	2009-07-01	176.57	long	5			-11.000000000000085	-189.8300000000001
44	2009-07-02	170.16	long	5			-32.04999999999998	-221.88000000000008
45	2009-07-03		long	5			0.0	-221.88000000000008
46	2009-07-06	162.66	long	5			-37.5	-259.3800000000001
47	2009-07-07	160.07	long	5			-12.950000000000017	-272.33000000000015
48	2009-07-08	153.79	long	4	True	1.0	-31.400000000000006	-303.73000000000013
49	2009-07-09	153.44	long	3	True	2.0	-1.3999999999999773	-305.1300000000001
50	2009-07-10	153.35	long	2	True	3.0	-0.27000000000001023	-305.4000000000001
51	2009-07-13	150.38	long	1	True	4.0	-5.939999999999998	-311.3400000000001
52	2009-07-14	151.19	long	0	True	5.0	0.8100000000000023	-310.5300000000001
