,Due,Future,Month,Pair
0,1999-12-30,HOF00,F,HOK00
1,2000-01-31,HOG00,G,HOM00
2,2000-02-29,HOH00,H,HON00
3,2000-03-31,HOJ00,J,HOQ00
4,2000-04-28,HOK00,K,HOU00
5,2000-05-31,HOM00,M,HOV00
6,2000-06-30,HON00,N,HOX00
7,2000-07-31,HOQ00,Q,HOZ00
8,2000-08-31,HOU00,U,HOF01
9,2000-09-29,HOV00,V,HOG01
10,2000-10-31,HOX00,X,HOH01
11,2000-11-30,HOZ00,Z,HOJ01
12,2000-12-29,HOF01,F,HOK01
13,2001-01-31,HOG01,G,HOM01
14,2001-02-28,HOH01,H,HON01
15,2001-03-30,HOJ01,J,HOQ01
16,2001-04-30,HOK01,K,HOU01
17,2001-05-31,HOM01,M,HOV01
18,2001-06-29,HON01,N,HOX01
19,2001-07-31,HOQ01,Q,HOZ01
20,2001-08-31,HOU01,U,HOF02
21,2001-09-28,HOV01,V,HOG02
22,2001-10-31,HOX01,X,HOH02
23,2001-11-30,HOZ01,Z,HOJ02
24,2001-12-31,HOF02,F,HOK02
25,2002-01-31,HOG02,G,HOM02
26,2002-02-28,HOH02,H,HON02
27,2002-03-28,HOJ02,J,HOQ02
28,2002-04-30,HOK02,K,HOU02
29,2002-05-31,HOM02,M,HOV02
30,2002-06-28,HON02,N,HOX02
31,2002-07-31,HOQ02,Q,HOZ02
32,2002-08-30,HOU02,U,HOF03
33,2002-09-30,HOV02,V,HOG03
34,2002-10-31,HOX02,X,HOH03
35,2002-11-27,HOZ02,Z,HOJ03
36,2002-12-31,HOF03,F,HOK03
37,2003-01-31,HOG03,G,HOM03
38,2003-02-28,HOH03,H,HON03
39,2003-03-31,HOJ03,J,HOQ03
40,2003-04-30,HOK03,K,HOU03
41,2003-05-30,HOM03,M,HOV03
42,2003-06-30,HON03,N,HOX03
43,2003-07-31,HOQ03,Q,HOZ03
44,2003-08-29,HOU03,U,HOF04
45,2003-09-30,HOV03,V,HOG04
46,2003-10-31,HOX03,X,HOH04
47,2003-11-26,HOZ03,Z,HOJ04
48,2003-12-31,HOF04,F,HOK04
49,2004-01-30,HOG04,G,HOM04
50,2004-02-27,HOH04,H,HON04
51,2004-03-31,HOJ04,J,HOQ04
52,2004-04-30,HOK04,K,HOU04
53,2004-05-28,HOM04,M,HOV04
54,2004-06-30,HON04,N,HOX04
55,2004-07-30,HOQ04,Q,HOZ04
56,2004-08-31,HOU04,U,HOF05
57,2004-09-30,HOV04,V,HOG05
58,2004-10-29,HOX04,X,HOH05
59,2004-11-30,HOZ04,Z,HOJ05
60,2004-12-30,HOF05,F,HOK05
61,2005-01-31,HOG05,G,HOM05
62,2005-02-28,HOH05,H,HON05
63,2005-03-31,HOJ05,J,HOQ05
64,2005-04-29,HOK05,K,HOU05
65,2005-05-31,HOM05,M,HOV05
66,2005-06-30,HON05,N,HOX05
67,2005-07-29,HOQ05,Q,HOZ05
68,2005-08-31,HOU05,U,HOF06
69,2005-09-30,HOV05,V,HOG06
70,2005-10-31,HOX05,X,HOH06
71,2005-11-30,HOZ05,Z,HOJ06
72,2005-12-30,HOF06,F,HOK06
73,2006-01-31,HOG06,G,HOM06
74,2006-02-28,HOH06,H,HON06
75,2006-03-31,HOJ06,J,HOQ06
76,2006-04-28,HOK06,K,HOU06
77,2006-05-31,HOM06,M,HOV06
78,2006-06-30,HON06,N,HOX06
79,2006-07-31,HOQ06,Q,HOZ06
80,2006-08-31,HOU06,U,HOF07
81,2006-09-29,HOV06,V,HOG07
82,2006-10-31,HOX06,X,HOH07
83,2006-11-30,HOZ06,Z,HOJ07
84,2006-12-29,HOF07,F,HOK07
85,2007-01-31,HOG07,G,HOM07
86,2007-02-28,HOH07,H,HON07
87,2007-03-30,HOJ07,J,HOQ07
88,2007-04-30,HOK07,K,HOU07
89,2007-05-31,HOM07,M,HOV07
90,2007-06-29,HON07,N,HOX07
91,2007-07-31,HOQ07,Q,HOZ07
92,2007-08-31,HOU07,U,HOF08
93,2007-09-28,HOV07,V,HOG08
94,2007-10-31,HOX07,X,HOH08
95,2007-11-30,HOZ07,Z,HOJ08
96,2007-12-31,HOF08,F,HOK08
97,2008-01-31,HOG08,G,HOM08
98,2008-02-29,HOH08,H,HON08
99,2008-03-31,HOJ08,J,HOQ08
100,2008-04-30,HOK08,K,HOU08
101,2008-05-30,HOM08,M,HOV08
102,2008-06-30,HON08,N,HOX08
103,2008-07-31,HOQ08,Q,HOZ08
104,2008-08-29,HOU08,U,HOF09
105,2008-09-30,HOV08,V,HOG09
106,2008-10-31,HOX08,X,HOH09
107,2008-11-28,HOZ08,Z,HOJ09
108,2008-12-31,HOF09,F,HOK09
109,2009-01-30,HOG09,G,HOM09
110,2009-02-27,HOH09,H,HON09
111,2009-03-31,HOJ09,J,HOQ09
112,2009-04-30,HOK09,K,HOU09
