	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2022-07-08	337.13	short	1	True	1.0		
1	2022-07-11	343.91	short	2	True	2.0	-6.78000000000003	-6.78000000000003
2	2022-07-12	330.86	short	3	True	3.0	26.100000000000023	19.319999999999993
3	2022-07-13	332.28	short	4	True	4.0	-4.259999999999877	15.060000000000116
4	2022-07-14	330.01	short	5	True	5.0	9.079999999999927	24.140000000000043
5	2022-07-15	334.47	short	5			-22.300000000000182	1.8399999999998613
6	2022-07-18	334.57	short	5			-0.49999999999982947	1.3400000000000318
7	2022-07-19	335.2	short	5			-3.1499999999999773	-1.8099999999999454
8	2022-07-20	335.6	short	5			-2.0000000000001705	-3.810000000000116
9	2022-07-21	329.99	short	5			28.050000000000068	24.239999999999952
10	2022-07-22	320.9	short	5			45.45000000000016	69.69000000000011
11	2022-07-25	327.28	short	5			-31.899999999999977	37.790000000000134
12	2022-07-26	331.29	short	5			-20.05000000000024	17.739999999999895
13	2022-07-27	340.89	short	5			-47.99999999999983	-30.259999999999934
14	2022-07-28	339.18	short	5			8.549999999999898	-21.710000000000036
15	2022-07-29	335.79	short	5			16.949999999999932	-4.760000000000105
16	2022-08-01	327.62	short	5			40.85000000000008	36.089999999999975
17	2022-08-02	324.41	short	5			16.049999999999898	52.13999999999987
18	2022-08-03	325.71	short	5			-6.499999999999773	45.6400000000001
19	2022-08-04	319.63	short	5			30.39999999999992	76.04000000000002
20	2022-08-05	310.52	short	5			45.55000000000007	121.59000000000009
21	2022-08-08	310.39	short	4	True	1.0	0.6499999999999773	122.24000000000007
22	2022-08-09	320.38	short	3	True	2.0	-39.960000000000036	82.28000000000003
23	2022-08-10	326.69	short	2	True	3.0	-18.930000000000007	63.35000000000002
24	2022-08-11	334.24	short	1	True	4.0	-15.100000000000023	48.25
25	2022-08-12	336.31	short	0	True	5.0	-2.069999999999993	46.18000000000001
26	2022-11-08	359.4	long	1	True	1.0		
27	2022-11-09	349.13	long	2	True	2.0	-10.269999999999982	35.910000000000025
28	2022-11-10	343.27	long	3	True	3.0	-11.720000000000027	24.189999999999998
29	2022-11-11	345.07	long	4	True	4.0	5.400000000000034	29.590000000000032
30	2022-11-14	342.9	long	5	True	5.0	-8.680000000000064	20.909999999999968
31	2022-11-15	350.99	long	5			40.45000000000016	61.36000000000013
32	2022-11-16	348.39	long	5			-13.000000000000114	48.360000000000014
33	2022-11-17	339.7	long	5			-43.44999999999999	4.910000000000025
34	2022-11-18	339.68	long	5			-0.09999999999990905	4.810000000000116
35	2022-11-21	337.87	long	5			-9.050000000000011	-4.239999999999895
36	2022-11-22	336.64	long	5			-6.150000000000091	-10.389999999999986
37	2022-11-23	327.68	long	5			-44.7999999999999	-55.189999999999884
38	2022-11-24		long	5			0.0	-55.189999999999884
39	2022-11-25	316.83	long	5			-54.250000000000114	-109.44
40	2022-11-28	315.14	long	5			-8.449999999999989	-117.88999999999999
41	2022-11-29	324.39	long	5			46.25	-71.63999999999999
42	2022-11-30	336.35	long	5			59.80000000000018	-11.839999999999804
43	2022-12-01	326.24	long	5			-50.55000000000007	-62.38999999999987
44	2022-12-02	316.85	long	5			-46.94999999999993	-109.3399999999998
45	2022-12-05	299.98	long	5			-84.35000000000002	-193.68999999999983
46	2022-12-06	291.55	long	5			-42.150000000000034	-235.83999999999986
47	2022-12-07	278.05	long	5			-67.5	-303.33999999999986
48	2022-12-08	287.98	long	4	True	1.0	49.650000000000034	-253.68999999999983
49	2022-12-09	279.37	long	3	True	2.0	-34.440000000000055	-288.1299999999999
50	2022-12-12	296.85	long	2	True	3.0	52.440000000000055	-235.68999999999983
51	2022-12-13	309.22	long	1	True	4.0	24.74000000000001	-210.94999999999982
52	2022-12-14	327.68	long	0	True	5.0	18.45999999999998	-192.48999999999984
