	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2022-01-10	235.03	short	1	True	1.0		
1	2022-01-11	241.61	short	2	True	2.0	-6.5800000000000125	-6.5800000000000125
2	2022-01-12	243.05	short	3	True	3.0	-2.8799999999999955	-9.460000000000008
3	2022-01-13	243.09	short	4	True	4.0	-0.11999999999997613	-9.579999999999984
4	2022-01-14	245.53	short	5	True	5.0	-9.759999999999991	-19.339999999999975
5	2022-01-17		short	5			-0.0	-19.339999999999975
6	2022-01-18	247.88	short	5			-11.749999999999972	-31.089999999999947
7	2022-01-19	249.39	short	5			-7.5499999999999545	-38.6399999999999
8	2022-01-20	249.9	short	5			-2.5500000000000966	-41.19
9	2022-01-21	248.67	short	5			6.150000000000091	-35.03999999999991
10	2022-01-24	244.32	short	5			21.74999999999997	-13.289999999999935
11	2022-01-25	249.1	short	5			-23.900000000000006	-37.18999999999994
12	2022-01-26	253.07	short	5			-19.849999999999994	-57.039999999999935
13	2022-01-27	252.79	short	5			1.4000000000000057	-55.63999999999993
14	2022-01-28	252.63	short	5			0.799999999999983	-54.83999999999995
15	2022-01-31	253.55	short	5			-4.60000000000008	-59.440000000000026
16	2022-02-01	254.4	short	5			-4.249999999999972	-63.69
17	2022-02-02	255.67	short	5			-6.349999999999909	-70.0399999999999
18	2022-02-03	258.72	short	5			-15.250000000000199	-85.2900000000001
19	2022-02-04	261.86	short	5			-15.699999999999932	-100.99000000000004
20	2022-02-07	261.69	short	5			0.8500000000000796	-100.13999999999996
21	2022-02-08	257.47	short	4	True	1.0	21.099999999999852	-79.0400000000001
22	2022-02-09	260.26	short	3	True	2.0	-11.159999999999854	-90.19999999999996
23	2022-02-10	260.22	short	2	True	3.0	0.11999999999989086	-90.08000000000007
24	2022-02-11	265.46	short	1	True	4.0	-10.479999999999905	-100.55999999999997
25	2022-02-14	268.51	short	0	True	5.0	-3.0500000000000114	-103.60999999999999
26	2022-05-09	365.39	long	1	True	1.0		
27	2022-05-10	367.93	long	2	True	2.0	2.5400000000000205	-101.06999999999996
28	2022-05-11	375.46	long	3	True	3.0	15.059999999999945	-86.01000000000002
29	2022-05-12	373.63	long	4	True	4.0	-5.489999999999952	-91.49999999999997
30	2022-05-13	376.08	long	5	True	5.0	9.799999999999955	-81.70000000000002
31	2022-05-16	377.38	long	5			6.500000000000057	-75.19999999999996
32	2022-05-17	369.28	long	5			-40.500000000000114	-115.70000000000007
33	2022-05-18	356.93	long	5			-61.74999999999983	-177.4499999999999
34	2022-05-19	366.71	long	5			48.899999999999864	-128.55000000000004
35	2022-05-20	362.18	long	5			-22.649999999999864	-151.1999999999999
36	2022-05-23	364.34	long	5			10.79999999999984	-140.40000000000006
37	2022-05-24	365.43	long	5			5.450000000000159	-134.9499999999999
38	2022-05-25	374.91	long	5			47.40000000000009	-87.54999999999981
39	2022-05-26	385.05	long	5			50.69999999999993	-36.84999999999988
40	2022-05-27	390.53	long	5			27.399999999999807	-9.450000000000074
41	2022-05-30		long	5			0.0	-9.450000000000074
42	2022-05-31	393.5	long	5			14.850000000000136	5.4000000000000625
43	2022-06-01	414.33	long	5			104.14999999999992	109.54999999999998
44	2022-06-02	420.84	long	5			32.549999999999955	142.09999999999994
45	2022-06-03	428.03	long	5			35.94999999999999	178.04999999999993
46	2022-06-06	436.01	long	5			39.90000000000009	217.95000000000002
47	2022-06-07	432.06	long	5			-19.749999999999943	198.20000000000007
48	2022-06-08	431.43	long	4	True	1.0	-3.1499999999999773	195.0500000000001
49	2022-06-09	440.37	long	3	True	2.0	35.75999999999999	230.8100000000001
50	2022-06-10	436.67	long	2	True	3.0	-11.099999999999966	219.71000000000012
51	2022-06-13	428.34	long	1	True	4.0	-16.660000000000082	203.05000000000004
52	2022-06-14	439.4	long	0	True	5.0	11.060000000000002	214.11000000000004
