	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2017-06-08	147.94	short	1	True	1.0		
1	2017-06-09	148.78	short	2	True	2.0	-0.8400000000000034	-0.8400000000000034
2	2017-06-12	148.41	short	3	True	3.0	0.7400000000000091	-0.09999999999999432
3	2017-06-13	150.18	short	4	True	4.0	-5.310000000000031	-5.410000000000025
4	2017-06-14	146.37	short	5	True	5.0	15.240000000000009	9.829999999999984
5	2017-06-15	146.59	short	5			-1.0999999999999943	8.72999999999999
6	2017-06-16	147.66	short	5			-5.349999999999966	3.380000000000024
7	2017-06-19	146.38	short	5			6.400000000000006	9.78000000000003
8	2017-06-20	144.61	short	5			8.849999999999909	18.62999999999994
9	2017-06-21	141.54	short	5			15.350000000000108	33.98000000000005
10	2017-06-22	142.25	short	5			-3.55000000000004	30.430000000000007
11	2017-06-23	142.16	short	5			0.45000000000001705	30.880000000000024
12	2017-06-26	142.84	short	5			-3.400000000000034	27.47999999999999
13	2017-06-27	145.84	short	5			-15.0	12.47999999999999
14	2017-06-28	147.79	short	5			-9.749999999999943	2.7300000000000466
15	2017-06-29	148.63	short	5			-4.200000000000017	-1.4699999999999704
16	2017-06-30	151.74	short	5			-15.550000000000068	-17.02000000000004
17	2017-07-03	154.62	short	5			-14.399999999999977	-31.420000000000016
18	2017-07-04		short	5			-0.0	-31.420000000000016
19	2017-07-05	150.91	short	5			18.55000000000004	-12.869999999999976
20	2017-07-06	151.4	short	5			-2.4500000000000455	-15.320000000000022
21	2017-07-07	147.81	short	5			17.950000000000017	2.6299999999999955
22	2017-07-10	148.32	short	4	True	1.0	-2.5499999999999545	0.08000000000004093
23	2017-07-11	150.18	short	3	True	2.0	-7.440000000000055	-7.360000000000014
24	2017-07-12	150.14	short	2	True	3.0	0.12000000000006139	-7.239999999999952
25	2017-07-13	151.79	short	1	True	4.0	-3.3000000000000114	-10.539999999999964
26	2017-07-14	153.82	short	0	True	5.0	-2.030000000000001	-12.569999999999965
27	2017-10-09	173.41	long	1	True	1.0		
28	2017-10-10	176.44	long	2	True	2.0	3.030000000000001	-9.539999999999964
29	2017-10-11	178.51	long	3	True	3.0	4.139999999999986	-5.399999999999977
30	2017-10-12	176.51	long	4	True	4.0	-6.0	-11.399999999999977
31	2017-10-13	179.61	long	5	True	5.0	12.400000000000091	1.0000000000001137
32	2017-10-16	181.18	long	5			7.849999999999966	8.85000000000008
33	2017-10-17	180.9	long	5			-1.4000000000000057	7.450000000000074
34	2017-10-18	180.37	long	5			-2.6500000000000057	4.800000000000068
35	2017-10-19	177.78	long	5			-12.950000000000017	-8.149999999999949
36	2017-10-20	180.54	long	5			13.799999999999955	5.650000000000006
37	2017-10-23	178.96	long	5			-7.89999999999992	-2.2499999999999147
38	2017-10-24	182.26	long	5			16.499999999999915	14.25
39	2017-10-25	181.83	long	5			-2.149999999999892	12.100000000000108
40	2017-10-26	184.08	long	5			11.25	23.350000000000108
41	2017-10-27	186.62	long	5			12.69999999999996	36.05000000000007
42	2017-10-30	187.62	long	5			5.0	41.05000000000007
43	2017-10-31	188.05	long	5			2.150000000000034	43.2000000000001
44	2017-11-01	186.25	long	5			-9.000000000000057	34.200000000000045
45	2017-11-02	185.39	long	5			-4.300000000000068	29.899999999999977
46	2017-11-03	188.66	long	5			16.35000000000005	46.25000000000003
47	2017-11-06	194.22	long	5			27.80000000000001	74.05000000000004
48	2017-11-07	192.19	long	5			-10.150000000000006	63.900000000000034
49	2017-11-08	192.16	long	4	True	1.0	-0.15000000000000568	63.75000000000003
50	2017-11-09	194.69	long	3	True	2.0	10.120000000000005	73.87000000000003
51	2017-11-10	193.49	long	2	True	3.0	-3.599999999999966	70.27000000000007
52	2017-11-13	193.21	long	1	True	4.0	-0.5600000000000023	69.71000000000006
53	2017-11-14	190.7	long	0	True	5.0	-2.5100000000000193	67.20000000000005
