	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2022-09-08	295.27	short	1	True	1.0		
1	2022-09-09	302.04	short	2	True	2.0	-6.770000000000039	-6.770000000000039
2	2022-09-12	305.39	short	3	True	3.0	-6.699999999999932	-13.46999999999997
3	2022-09-13	301.45	short	4	True	4.0	11.819999999999993	-1.6499999999999773
4	2022-09-14	295.07	short	5	True	5.0	25.519999999999982	23.870000000000005
5	2022-09-15	286.81	short	5			41.299999999999955	65.16999999999996
6	2022-09-16	284.81	short	5			10.0	75.16999999999996
7	2022-09-19	290.71	short	5			-29.499999999999886	45.67000000000007
8	2022-09-20	290.88	short	5			-0.8500000000000796	44.81999999999999
9	2022-09-21	288.34	short	5			12.700000000000102	57.520000000000095
10	2022-09-22	291.73	short	5			-16.950000000000216	40.56999999999988
11	2022-09-23	279.57	short	5			60.800000000000125	101.37
12	2022-09-26	269.77	short	5			49.00000000000006	150.37000000000006
13	2022-09-27	276.36	short	5			-32.95000000000016	117.4199999999999
14	2022-09-28	285.58	short	5			-46.09999999999985	71.32000000000005
15	2022-09-29	282.67	short	5			14.54999999999984	85.86999999999989
16	2022-09-30	276.57	short	5			30.500000000000114	116.37
17	2022-10-03	284.02	short	5			-37.24999999999994	79.12000000000006
18	2022-10-04	293.1	short	5			-45.400000000000205	33.71999999999986
19	2022-10-05	304.68	short	5			-57.89999999999992	-24.180000000000064
20	2022-10-06	309.71	short	5			-25.149999999999864	-49.32999999999993
21	2022-10-07	317.11	short	5			-37.00000000000017	-86.3300000000001
22	2022-10-10	312.15	short	4	True	1.0	24.800000000000182	-61.529999999999916
23	2022-10-11	307.17	short	3	True	2.0	19.919999999999845	-41.61000000000007
24	2022-10-12	305.36	short	2	True	3.0	5.430000000000007	-36.180000000000064
25	2022-10-13	312.23	short	1	True	4.0	-13.740000000000009	-49.92000000000007
26	2022-10-14	303.38	short	0	True	5.0	8.850000000000023	-41.07000000000005
27	2023-04-10	262.87	long	1	True	1.0		
28	2023-04-11	262.3	long	2	True	2.0	-0.5699999999999932	-41.64000000000004
29	2023-04-12	266.0	long	3	True	3.0	7.399999999999977	-34.240000000000066
30	2023-04-13	263.63	long	4	True	4.0	-7.110000000000014	-41.35000000000008
31	2023-04-14	261.56	long	5	True	5.0	-8.279999999999973	-49.63000000000005
32	2023-04-17	258.82	long	5			-13.700000000000045	-63.3300000000001
33	2023-04-18	258.15	long	5			-3.3500000000000796	-66.68000000000018
34	2023-04-19	254.01	long	5			-20.699999999999932	-87.38000000000011
35	2023-04-20	248.08	long	5			-29.649999999999892	-117.03
36	2023-04-21	247.92	long	5			-0.8000000000001251	-117.83000000000013
37	2023-04-24	252.26	long	5			21.700000000000017	-96.13000000000011
38	2023-04-25	244.77	long	5			-37.4499999999999	-133.58
39	2023-04-26	236.92	long	5			-39.250000000000114	-172.83000000000013
40	2023-04-27	235.25	long	5			-8.349999999999937	-181.18000000000006
41	2023-04-28	237.71	long	5			12.30000000000004	-168.88000000000002
42	2023-05-01	238.23	long	5			2.599999999999909	-166.28000000000011
43	2023-05-02	228.92	long	5			-46.55000000000001	-212.83000000000013
44	2023-05-03	223.23	long	5			-28.44999999999999	-241.28000000000011
45	2023-05-04	223.87	long	5			3.200000000000074	-238.08000000000004
46	2023-05-05	231.47	long	5			37.99999999999997	-200.08000000000007
47	2023-05-08	237.77	long	4	True	1.0	31.500000000000057	-168.58
48	2023-05-09	239.02	long	3	True	2.0	5.0	-163.58
49	2023-05-10	239.34	long	2	True	3.0	0.9599999999999795	-162.62000000000003
50	2023-05-11	234.95	long	1	True	4.0	-8.78000000000003	-171.40000000000006
51	2023-05-12	230.55	long	0	True	5.0	-4.399999999999977	-175.80000000000004
