	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2009-06-08	202.6	short	1	True	1.0		
1	2009-06-09	205.74	short	2	True	2.0	-3.140000000000015	-3.140000000000015
2	2009-06-10	207.33	short	3	True	3.0	-3.180000000000007	-6.320000000000022
3	2009-06-11	209.1	short	4	True	4.0	-5.309999999999945	-11.629999999999967
4	2009-06-12	208.03	short	5	True	5.0	4.279999999999973	-7.349999999999994
5	2009-06-15	205.33	short	5			13.499999999999943	6.149999999999949
6	2009-06-16	205.12	short	5			1.0500000000000398	7.199999999999989
7	2009-06-17	208.0	short	5			-14.399999999999977	-7.199999999999989
8	2009-06-18	206.65	short	5			6.749999999999972	-0.45000000000001705
9	2009-06-19	202.43	short	5			21.099999999999994	20.649999999999977
10	2009-06-22	197.5	short	5			24.650000000000034	45.30000000000001
11	2009-06-23	202.19	short	5			-23.44999999999999	21.850000000000023
12	2009-06-24	199.3	short	5			14.449999999999932	36.299999999999955
13	2009-06-25	203.06	short	5			-18.799999999999955	17.5
14	2009-06-26	200.17	short	5			14.450000000000074	31.950000000000074
15	2009-06-29	205.2	short	5			-25.150000000000006	6.800000000000068
16	2009-06-30	201.41	short	5			18.94999999999996	25.75000000000003
17	2009-07-01	199.66	short	5			8.75	34.50000000000003
18	2009-07-02	194.19	short	5			27.349999999999994	61.85000000000002
19	2009-07-03		short	5			-0.0	61.85000000000002
20	2009-07-06	186.99	short	5			35.99999999999994	97.84999999999997
21	2009-07-07	184.73	short	5			11.300000000000097	109.15000000000006
22	2009-07-08	178.98	short	4	True	1.0	28.75	137.90000000000006
23	2009-07-09	179.49	short	3	True	2.0	-2.0400000000000773	135.85999999999999
24	2009-07-10	177.45	short	2	True	3.0	6.120000000000061	141.98000000000005
25	2009-07-13	175.29	short	1	True	4.0	4.319999999999993	146.30000000000004
26	2009-07-14	175.18	short	0	True	5.0	0.10999999999998522	146.41000000000003
27	2010-03-08	211.94	long	1	True	1.0		
28	2010-03-09	210.26	long	2	True	2.0	-1.6800000000000068	144.73000000000002
29	2010-03-10	212.77	long	3	True	3.0	5.020000000000039	149.75000000000006
30	2010-03-11	212.58	long	4	True	4.0	-0.5699999999999932	149.18000000000006
31	2010-03-12	210.54	long	5	True	5.0	-8.160000000000082	141.01999999999998
32	2010-03-15	206.92	long	5			-18.100000000000023	122.91999999999996
33	2010-03-16	212.53	long	5			28.050000000000068	150.97000000000003
34	2010-03-17	215.13	long	5			12.999999999999972	163.97
35	2010-03-18	213.29	long	5			-9.200000000000017	154.76999999999998
36	2010-03-19	208.91	long	5			-21.899999999999977	132.87
37	2010-03-22	209.79	long	5			4.399999999999977	137.26999999999998
38	2010-03-23	211.43	long	5			8.200000000000074	145.47000000000006
39	2010-03-24	208.35	long	5			-15.400000000000063	130.07
40	2010-03-25	208.24	long	5			-0.5499999999999261	129.52000000000007
41	2010-03-26	208.13	long	5			-0.5500000000000682	128.97
42	2010-03-29	212.86	long	5			23.65000000000009	152.6200000000001
43	2010-03-30	213.16	long	5			1.4999999999999147	154.12
44	2010-03-31	217.9	long	5			23.700000000000045	177.82000000000005
45	2010-04-01	221.67	long	5			18.84999999999991	196.66999999999996
46	2010-04-02		long	5			0.0	196.66999999999996
47	2010-04-05	226.75	long	5			25.400000000000063	222.07000000000002
48	2010-04-06	226.83	long	5			0.40000000000006253	222.47000000000008
49	2010-04-07	224.39	long	5			-12.20000000000013	210.26999999999995
50	2010-04-08	222.82	long	4	True	1.0	-7.849999999999966	202.42
51	2010-04-09	222.6	long	3	True	2.0	-0.8799999999999955	201.54
52	2010-04-12	221.89	long	2	True	3.0	-2.130000000000024	199.40999999999997
53	2010-04-13	221.42	long	1	True	4.0	-0.9399999999999977	198.46999999999997
54	2010-04-14	224.21	long	0	True	5.0	2.7900000000000205	201.26
