	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1998-11-02	123.55	5	long				
1	1998-11-03	122.2	5	long			-6.749999999999972	-6.749999999999972
2	1998-11-04	123.4	5	long			6.000000000000014	-0.7499999999999574
3	1998-11-05	124.65	5	long			6.25	5.500000000000043
4	1998-11-06	125.15	5	long			2.5	8.000000000000043
5	1998-11-09	126.5	5	long			6.749999999999972	14.750000000000014
6	1998-11-10	126.0	5	long			-2.5	12.250000000000014
7	1998-11-11	125.75	5	long			-1.25	11.000000000000014
8	1998-11-12	125.95	5	long			1.0000000000000142	12.000000000000028
9	1998-11-13	125.4	5	long			-2.749999999999986	9.250000000000043
10	1998-11-16	124.9	5	long			-2.5	6.750000000000043
11	1998-11-17	124.9	5	long			0.0	6.750000000000043
12	1998-11-18	124.3	5	long			-3.0000000000000426	3.75
13	1998-11-19	124.9	5	long			3.0000000000000426	6.750000000000043
14	1998-11-20	124.6	5	long			-1.5000000000000568	5.249999999999986
15	1998-11-23	124.7	5	long			0.5000000000000426	5.750000000000028
16	1998-11-24	125.45	5	long			3.75	9.500000000000028
17	1998-11-25	125.3	5	long			-0.7500000000000284	8.75
18	1998-11-26	125.3	5	long			0.0	8.75
19	1998-11-27	125.3	5	long			0.0	8.75
20	1998-11-30	124.75	5	long			-2.749999999999986	6.000000000000014
21	1998-12-01	124.5	5	long			-1.25	4.750000000000014
22	1998-12-02	123.45	5	long			-5.249999999999986	-0.4999999999999716
23	1998-12-03	123.25	5	long			-1.0000000000000142	-1.4999999999999858
24	1998-12-04	122.9	5	long			-1.7499999999999716	-3.2499999999999574
25	1998-12-07	122.25	5	long			-3.2500000000000284	-6.499999999999986
26	1998-12-08	117.25	5	long			-25.0	-31.499999999999986
27	1998-12-09	117.35	5	long			0.4999999999999716	-31.000000000000014
28	1998-12-10	117.3	5	long			-0.2499999999999858	-31.25
29	1998-12-11	116.05	5	long			-6.25	-37.5
30	1998-12-14	113.85	5	long			-11.000000000000014	-48.500000000000014
31	1998-12-15	112.1	5	long			-8.75	-57.250000000000014
32	1998-12-16	114.45	5	long			11.750000000000043	-45.49999999999997
33	1998-12-17	114.4	5	long			-0.2499999999999858	-45.74999999999996
34	1998-12-18	115.5	5	long			5.499999999999972	-40.249999999999986
35	1998-12-21	111.3	5	long			-21.000000000000014	-61.25
36	1998-12-22	111.95	5	long			3.2500000000000284	-57.99999999999997
37	1998-12-23	110.2	5	long			-8.75	-66.74999999999997
38	1998-12-24	110.2	5	long			0.0	-66.74999999999997
39	1998-12-25		5	long			0.0	-66.74999999999997
40	1998-12-28	111.15	5	long			4.750000000000014	-61.99999999999996
41	1998-12-29	109.85	5	long			-6.500000000000057	-68.50000000000001
42	1998-12-30	110.45	5	long			3.0000000000000426	-65.49999999999997
43	1998-12-31	107.95	5	long			-12.5	-77.99999999999997
44	1999-01-01		5	long			0.0	-77.99999999999997
45	1999-01-04	107.35	5	long			-3.0000000000000426	-81.00000000000001
46	1999-01-05	108.55	5	long			6.000000000000014	-75.0
47	1999-01-06	105.85	5	long			-13.500000000000014	-88.50000000000001
48	1999-01-07	103.5	5	long			-11.749999999999972	-100.24999999999999
49	1999-01-08	106.15	5	long			13.250000000000028	-86.99999999999996
50	1999-01-11	105.1	5	long			-5.250000000000057	-92.25000000000001
51	1999-01-12	105.1	5	long			0.0	-92.25000000000001
52	1999-01-13	103.4	5	long			-8.499999999999943	-100.74999999999996
53	1999-01-14	103.4	5	long			0.0	-100.74999999999996
54	1999-01-15	104.6	5	long			5.999999999999943	-94.75000000000001
55	1999-01-18	104.6	5	long			0.0	-94.75000000000001
56	1999-01-19	102.3	5	long			-11.499999999999986	-106.25
57	1999-01-20	98.25	5	long			-20.249999999999986	-126.49999999999999
58	1999-01-21	98.95	5	long			3.500000000000014	-122.99999999999997
59	1999-01-22	99.0	5	long			0.2499999999999858	-122.74999999999999
60	1999-01-25	99.95	5	long			4.750000000000014	-117.99999999999997
61	1999-01-26	101.1	5	long			5.749999999999957	-112.25000000000001
62	1999-01-27	102.0	5	long			4.500000000000028	-107.74999999999999
63	1999-01-28	102.5	5	long			2.5	-105.24999999999999
64	1999-01-29	104.0	5	long			7.5	-97.74999999999999
65	1999-02-01	102.6	5	long			-7.000000000000028	-104.75000000000001
66	1999-02-02	101.4	5	long			-5.999999999999943	-110.74999999999996
67	1999-02-03	102.45	5	long			5.249999999999986	-105.49999999999997
68	1999-02-04	101.5	5	long			-4.750000000000014	-110.24999999999999
69	1999-02-05	101.1	5	long			-2.0000000000000284	-112.25000000000001
70	1999-02-08	99.9	5	long			-5.999999999999943	-118.24999999999996
71	1999-02-09	98.6	5	long			-6.500000000000057	-124.75000000000001
72	1999-02-10	93.6	5	long			-25.0	-149.75
73	1999-02-11	88.6	5	long			-25.0	-174.75
74	1999-02-12	86.4	5	long			-10.999999999999943	-185.74999999999994
75	1999-02-15	86.4	5	long			0.0	-185.74999999999994
76	1999-02-16	86.0	5	long			-2.0000000000000284	-187.74999999999997
77	1999-02-17	83.6	5	long			-12.000000000000028	-199.75
78	1999-02-18	85.05	5	long			7.250000000000014	-192.5
79	1999-02-19	85.05	5	long			0.0	-192.5
80	1999-02-22	86.75	5	long			8.500000000000014	-184.0
81	1999-02-23	85.85	5	long			-4.500000000000028	-188.50000000000003
82	1999-02-24	83.5	5	long			-11.749999999999972	-200.25
83	1999-02-25	82.5	5	long			-5.0	-205.25
84	1999-02-26	81.15	5	long			-6.749999999999972	-211.99999999999997
85	1999-03-01	83.3	5	long			10.749999999999957	-201.25
86	1999-03-02	81.45	5	long			-9.249999999999972	-210.49999999999997
87	1999-03-03	82.15	5	long			3.500000000000014	-206.99999999999994
88	1999-03-04	83.45	5	long			6.499999999999986	-200.49999999999994
89	1999-03-05	82.2	5	long			-6.25	-206.74999999999994
90	1999-03-08	84.15	5	long			9.750000000000014	-196.99999999999994
91	1999-03-09	84.85	5	long			3.499999999999943	-193.5
92	1999-03-10	86.3	5	long			7.250000000000014	-186.25
93	1999-03-11	85.95	5	long			-1.7499999999999716	-187.99999999999997
94	1999-03-12	86.05	5	long			0.4999999999999716	-187.5
95	1999-03-15	85.9	5	long			-0.7499999999999574	-188.24999999999994
96	1999-03-16	85.55	5	long			-1.7500000000000426	-190.0
97	1999-03-17	85.35	5	long			-1.0000000000000142	-191.0
98	1999-03-18	86.4	5	long			5.250000000000057	-185.74999999999994
99	1999-03-19	85.85	5	long			-2.750000000000057	-188.5
100	1999-03-22	85.85	5	long			0.0	-188.5
101	1999-03-23	86.15	5	long			1.5000000000000568	-186.99999999999994
102	1999-03-24	86.55	5	long			1.9999999999999574	-185.0
103	1999-03-25	87.6	5	long			5.249999999999986	-179.75
104	1999-03-26	87.8	5	long			1.0000000000000142	-178.75
105	1999-03-29	88.75	5	long			4.750000000000014	-174.0
106	1999-03-30	87.65	5	long			-5.499999999999972	-179.49999999999997
107	1999-03-31	87.8	5	long			0.7499999999999574	-178.75
108	1999-04-01	88.2	5	long			2.0000000000000284	-176.74999999999997
109	1999-04-02		5	long			0.0	-176.74999999999997
110	1999-04-05	88.5	5	long			1.4999999999999858	-175.25
111	1999-04-06	88.65	5	long			0.7500000000000284	-174.49999999999997
112	1999-04-07	87.5	5	long			-5.750000000000028	-180.25
113	1999-04-08	88.35	5	long			4.249999999999972	-176.00000000000003
114	1999-04-09	92.0	5	long			18.25000000000003	-157.75
115	1999-04-12	91.8	5	long			-1.0000000000000142	-158.75
116	1999-04-13	90.85	5	long			-4.750000000000014	-163.5
117	1999-04-14	87.4	5	long			-17.249999999999943	-180.74999999999994
118	1999-04-15	86.0	5	long			-7.000000000000028	-187.74999999999997
119	1999-04-16	83.5	5	long			-12.5	-200.24999999999997
120	1999-04-19	87.4	5	long			19.50000000000003	-180.74999999999994
121	1999-04-20	88.9	5	long			7.5	-173.24999999999994
