	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2014-05-08	162.85	short	1	True	1.0		
1	2014-05-09	162.1	short	2	True	2.0	0.75	0.75
2	2014-05-12	162.6	short	3	True	3.0	-1.0	-0.25
3	2014-05-13	163.65	short	4	True	4.0	-3.150000000000034	-3.400000000000034
4	2014-05-14	164.3	short	5	True	5.0	-2.6000000000000227	-6.000000000000057
5	2014-05-15	160.5	short	5			19.000000000000057	13.0
6	2014-05-16	159.0	short	5			7.5	20.5
7	2014-05-19	160.15	short	5			-5.750000000000028	14.749999999999972
8	2014-05-20	159.6	short	5			2.750000000000057	17.50000000000003
9	2014-05-21	161.35	short	5			-8.75	8.750000000000028
10	2014-05-22	162.5	short	5			-5.750000000000028	3.0
11	2014-05-23	162.35	short	5			0.7500000000000284	3.7500000000000284
12	2014-05-26		short	5			-0.0	3.7500000000000284
13	2014-05-27	162.8	short	5			-2.2500000000000853	1.4999999999999432
14	2014-05-28	162.9	short	5			-0.4999999999999716	0.9999999999999716
15	2014-05-29	161.35	short	5			7.750000000000057	8.750000000000028
16	2014-05-30	164.5	short	5			-15.750000000000028	-7.0
17	2014-06-02	165.2	short	5			-3.499999999999943	-10.499999999999943
18	2014-06-03	167.5	short	5			-11.500000000000057	-22.0
19	2014-06-04	167.95	short	5			-2.249999999999943	-24.249999999999943
20	2014-06-05	168.5	short	5			-2.750000000000057	-27.0
21	2014-06-06	168.9	short	5			-2.0000000000000284	-29.00000000000003
22	2014-06-09	169.9	short	5			-5.0	-34.00000000000003
23	2014-06-10	170.1	short	5			-0.9999999999999432	-34.99999999999997
24	2014-06-11	167.75	short	5			11.749999999999972	-23.25
25	2014-06-12	167.35	short	5			2.0000000000000284	-21.24999999999997
26	2014-06-13	169.6	short	5			-11.25	-32.49999999999997
27	2014-06-16	166.65	short	5			14.749999999999943	-17.75000000000003
28	2014-06-17	167.9	short	5			-6.25	-24.00000000000003
29	2014-06-18	167.25	short	5			3.2500000000000284	-20.75
30	2014-06-19	166.45	short	5			4.000000000000057	-16.749999999999943
31	2014-06-20	164.6	short	5			9.249999999999972	-7.499999999999972
32	2014-06-23	164.6	short	5			-0.0	-7.499999999999972
33	2014-06-24	158.65	short	5			29.749999999999943	22.24999999999997
34	2014-06-25	155.4	short	5			16.25	38.49999999999997
35	2014-06-26	151.95	short	5			17.250000000000085	55.75000000000006
36	2014-06-27	152.65	short	5			-3.5000000000000853	52.24999999999997
37	2014-06-30	150.8	short	5			9.249999999999972	61.49999999999994
38	2014-07-01	151.2	short	5			-1.9999999999998863	59.50000000000006
39	2014-07-02	152.05	short	5			-4.250000000000114	55.24999999999994
40	2014-07-03	152.5	short	5			-2.249999999999943	53.0
41	2014-07-04		short	5			-0.0	53.0
42	2014-07-07	154.05	short	5			-7.750000000000057	45.24999999999994
43	2014-07-08	154.65	short	4	True	1.0	-2.9999999999999716	42.24999999999997
44	2014-07-09	155.05	short	3	True	2.0	-1.6000000000000227	40.64999999999995
45	2014-07-10	153.55	short	2	True	3.0	4.5	45.14999999999995
46	2014-07-11	153.3	short	1	True	4.0	0.5	45.64999999999995
47	2014-07-14	154.05	short	0	True	5.0	-0.75	44.89999999999995
48	2014-11-10	124.95	long	1	True	1.0		
49	2014-11-11	129.25	long	2	True	2.0	4.299999999999997	49.199999999999946
50	2014-11-12	126.85	long	3	True	3.0	-4.800000000000011	44.399999999999935
51	2014-11-13	128.6	long	4	True	4.0	5.25	49.649999999999935
52	2014-11-14	131.1	long	5	True	5.0	10.0	59.649999999999935
53	2014-11-17	134.15	long	5			15.250000000000057	74.89999999999999
54	2014-11-18	136.65	long	5			12.5	87.39999999999999
55	2014-11-19	138.35	long	5			8.499999999999943	95.89999999999993
56	2014-11-20	142.55	long	5			21.000000000000085	116.90000000000002
57	2014-11-21	144.35	long	5			8.999999999999915	125.89999999999993
58	2014-11-24	148.4	long	5			20.250000000000057	146.14999999999998
59	2014-11-25	147.95	long	5			-2.2500000000000853	143.8999999999999
60	2014-11-26	148.95	long	5			5.0	148.8999999999999
61	2014-11-27		long	5			0.0	148.8999999999999
62	2014-11-28	148.85	long	5			-0.4999999999999716	148.39999999999992
63	2014-12-01	146.55	long	5			-11.499999999999915	136.9
64	2014-12-02	145.75	long	5			-4.000000000000057	132.89999999999995
65	2014-12-03	147.75	long	5			10.0	142.89999999999995
66	2014-12-04	146.15	long	5			-7.999999999999972	134.89999999999998
67	2014-12-05	146.0	long	5			-0.7500000000000284	134.14999999999995
68	2014-12-08	147.0	long	5			5.0	139.14999999999995
69	2014-12-09	147.45	long	5			2.249999999999943	141.3999999999999
70	2014-12-10	148.05	long	5			3.0000000000001137	144.4
71	2014-12-11	149.5	long	5			7.249999999999943	151.64999999999995
72	2014-12-12	150.95	long	5			7.249999999999943	158.8999999999999
73	2014-12-15	148.0	long	5			-14.749999999999943	144.14999999999995
74	2014-12-16	148.0	long	5			0.0	144.14999999999995
75	2014-12-17	149.1	long	5			5.499999999999972	149.64999999999992
76	2014-12-18	145.45	long	5			-18.25000000000003	131.3999999999999
77	2014-12-19	142.75	long	5			-13.499999999999943	117.89999999999995
78	2014-12-22	142.1	long	5			-3.2500000000000284	114.64999999999992
79	2014-12-23	140.75	long	5			-6.749999999999972	107.89999999999995
80	2014-12-24	143.7	long	5			14.749999999999943	122.64999999999989
81	2014-12-25		long	5			0.0	122.64999999999989
82	2014-12-26	141.55	long	5			-10.749999999999886	111.9
83	2014-12-29	141.25	long	5			-1.5000000000000568	110.39999999999995
84	2014-12-30	141.5	long	5			1.25	111.64999999999995
85	2014-12-31	140.05	long	5			-7.249999999999943	104.4
86	2015-01-01		long	5			0.0	104.4
87	2015-01-02	144.45	long	5			21.999999999999886	126.39999999999989
88	2015-01-05		long	5			0.0	126.39999999999989
89	2015-01-06		long	5			0.0	126.39999999999989
90	2015-01-07		long	5			0.0	126.39999999999989
91	2015-01-08		long	5	True	1.0	0.0	126.39999999999989
92	2015-01-09		long	5	True	2.0	0.0	126.39999999999989
93	2015-01-12		long	5	True	3.0	0.0	126.39999999999989
94	2015-01-13		long	5	True	4.0	0.0	126.39999999999989
95	2015-01-14		long	5	True	5.0	0.0	126.39999999999989
