	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2004-07-08	73.9	short	1	True	1.0		
1	2004-07-09	74.5	short	2	True	2.0	-0.5999999999999943	-0.5999999999999943
2	2004-07-12	74.45	short	3	True	3.0	0.09999999999999432	-0.5
3	2004-07-13	75.25	short	4	True	4.0	-2.3999999999999915	-2.8999999999999915
4	2004-07-14	76.2	short	5	True	5.0	-3.8000000000000114	-6.700000000000003
5	2004-07-15	77.1	short	5			-4.499999999999957	-11.19999999999996
6	2004-07-16	76.95	short	5			0.7499999999999574	-10.450000000000003
7	2004-07-19	76.95	short	5			-0.0	-10.450000000000003
8	2004-07-20	76.2	short	5			3.75	-6.700000000000003
9	2004-07-21	76.0	short	5			1.0000000000000142	-5.699999999999989
10	2004-07-22	77.0	short	5			-5.0	-10.699999999999989
11	2004-07-23	77.45	short	5			-2.250000000000014	-12.950000000000003
12	2004-07-26	74.0	short	5			17.250000000000014	4.300000000000011
13	2004-07-27	69.95	short	5			20.249999999999986	24.549999999999997
14	2004-07-28	70.75	short	5			-3.999999999999986	20.55000000000001
15	2004-07-29	69.85	short	5			4.500000000000028	25.05000000000004
16	2004-07-30	69.8	short	5			0.2499999999999858	25.300000000000026
17	2004-08-02	69.5	short	5			1.4999999999999858	26.80000000000001
18	2004-08-03	68.8	short	5			3.500000000000014	30.300000000000026
19	2004-08-04	68.0	short	5			3.999999999999986	34.30000000000001
20	2004-08-05	67.75	short	5			1.25	35.55000000000001
21	2004-08-06	69.25	short	5			-7.5	28.05000000000001
22	2004-08-09	71.0	short	5			-8.75	19.30000000000001
23	2004-08-10	70.9	short	5			0.4999999999999716	19.799999999999983
24	2004-08-11	70.7	short	5			1.0000000000000142	20.799999999999997
25	2004-08-12	69.0	short	5			8.500000000000014	29.30000000000001
26	2004-08-13	72.25	short	5			-16.25	13.050000000000011
27	2004-08-16	77.25	short	5			-25.0	-11.949999999999989
28	2004-08-17	76.1	short	5			5.750000000000028	-6.19999999999996
29	2004-08-18	77.4	short	5			-6.500000000000057	-12.700000000000017
30	2004-08-19	80.65	short	5			-16.25	-28.950000000000017
31	2004-08-20	82.5	short	5			-9.249999999999972	-38.19999999999999
32	2004-08-23	84.0	short	5			-7.5	-45.69999999999999
33	2004-08-24	83.5	short	5			2.5	-43.19999999999999
34	2004-08-25	82.5	short	5			5.0	-38.19999999999999
35	2004-08-26	82.8	short	5			-1.4999999999999858	-39.699999999999974
36	2004-08-27	82.4	short	5			1.9999999999999574	-37.70000000000002
37	2004-08-30	82.95	short	5			-2.749999999999986	-40.45
38	2004-08-31	82.5	short	5			2.250000000000014	-38.19999999999999
39	2004-09-01	85.5	short	5			-15.0	-53.19999999999999
40	2004-09-02	88.0	short	5			-12.5	-65.69999999999999
41	2004-09-03	83.35	short	5			23.25000000000003	-42.44999999999996
42	2004-09-06		short	5			-0.0	-42.44999999999996
43	2004-09-07	86.0	short	5			-13.250000000000028	-55.69999999999999
44	2004-09-08	86.25	short	4	True	1.0	-1.25	-56.94999999999999
45	2004-09-09	89.5	short	3	True	2.0	-13.0	-69.94999999999999
46	2004-09-10	87.45	short	2	True	3.0	6.1499999999999915	-63.8
47	2004-09-13	82.45	short	1	True	4.0	10.0	-53.8
48	2004-09-14	82.7	short	0	True	5.0	-0.25	-54.05
49	2005-03-08	93.5	long	1	True	1.0		
50	2005-03-09	93.55	long	2	True	2.0	0.04999999999999716	-54.0
51	2005-03-10	101.2	long	3	True	3.0	15.300000000000011	-38.69999999999999
52	2005-03-11	100.3	long	4	True	4.0	-2.700000000000017	-41.400000000000006
53	2005-03-14	99.85	long	5	True	5.0	-1.8000000000000114	-43.20000000000002
54	2005-03-15	99.7	long	5			-0.7499999999999574	-43.949999999999974
55	2005-03-16	100.0	long	5			1.4999999999999858	-42.44999999999999
56	2005-03-17	100.55	long	5			2.749999999999986	-39.7
57	2005-03-18	101.35	long	5			3.999999999999986	-35.70000000000002
58	2005-03-21	97.85	long	5			-17.5	-53.20000000000002
59	2005-03-22	97.1	long	5			-3.75	-56.95000000000002
60	2005-03-23	96.7	long	5			-1.9999999999999574	-58.949999999999974
61	2005-03-24	95.8	long	5			-4.500000000000028	-63.45
62	2005-03-25		long	5			0.0	-63.45
63	2005-03-28	96.95	long	5			5.750000000000028	-57.699999999999974
64	2005-03-29	99.5	long	5			12.749999999999986	-44.94999999999999
65	2005-03-30	99.25	long	5			-1.25	-46.19999999999999
66	2005-03-31	99.55	long	5			1.4999999999999858	-44.7
67	2005-04-01	99.95	long	5			2.0000000000000284	-42.699999999999974
68	2005-04-04	100.85	long	5			4.499999999999957	-38.20000000000002
69	2005-04-05	100.55	long	5			-1.4999999999999858	-39.7
70	2005-04-06	96.8	long	5			-18.75	-58.45
71	2005-04-07	97.0	long	5			1.0000000000000142	-57.44999999999999
72	2005-04-08	95.75	long	5			-6.25	-63.69999999999999
73	2005-04-11	94.2	long	5			-7.749999999999986	-71.44999999999997
74	2005-04-12	92.6	long	5			-8.000000000000043	-79.45000000000002
75	2005-04-13	93.7	long	5			5.500000000000043	-73.94999999999997
76	2005-04-14	94.2	long	5			2.5	-71.44999999999997
77	2005-04-15	94.9	long	5			3.500000000000014	-67.94999999999996
78	2005-04-18	91.5	long	5			-17.00000000000003	-84.94999999999999
79	2005-04-19	91.8	long	5			1.4999999999999858	-83.45
80	2005-04-20	93.3	long	5			7.5	-75.95
81	2005-04-21	94.05	long	5			3.75	-72.2
82	2005-04-22	93.5	long	5			-2.749999999999986	-74.94999999999999
83	2005-04-25	95.45	long	5			9.750000000000014	-65.19999999999997
84	2005-04-26	95.7	long	5			1.25	-63.949999999999974
85	2005-04-27	95.1	long	5			-3.0000000000000426	-66.95000000000002
86	2005-04-28	95.75	long	5			3.2500000000000284	-63.69999999999999
87	2005-04-29	94.5	long	5			-6.25	-69.94999999999999
88	2005-05-02	91.7	long	5			-13.999999999999986	-83.94999999999997
