	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2010-11-08	158.2	short	1	True	1.0		
1	2010-11-09	164.15	short	2	True	2.0	-5.950000000000017	-5.950000000000017
2	2010-11-10	161.0	short	3	True	3.0	6.300000000000011	0.3499999999999943
3	2010-11-11	159.6	short	4	True	4.0	4.200000000000017	4.550000000000011
4	2010-11-12	159.45	short	5	True	5.0	0.6000000000000227	5.150000000000034
5	2010-11-15	160.2	short	5			-3.75	1.400000000000034
6	2010-11-16	155.35	short	5			24.24999999999997	25.650000000000006
7	2010-11-17	154.75	short	5			2.9999999999999716	28.649999999999977
8	2010-11-18	155.0	short	5			-1.25	27.399999999999977
9	2010-11-19	154.05	short	5			4.749999999999943	32.14999999999992
10	2010-11-22	156.0	short	5			-9.749999999999943	22.399999999999977
11	2010-11-23	154.65	short	5			6.749999999999972	29.14999999999995
12	2010-11-24	154.4	short	5			1.25	30.39999999999995
13	2010-11-25		short	5			-0.0	30.39999999999995
14	2010-11-26	153.1	short	5			6.500000000000057	36.900000000000006
15	2010-11-29	152.6	short	5			2.5	39.400000000000006
16	2010-11-30	152.35	short	5			1.25	40.650000000000006
17	2010-12-01	156.25	short	5			-19.50000000000003	21.149999999999977
18	2010-12-02	158.25	short	5			-10.0	11.149999999999977
19	2010-12-03	159.75	short	5			-7.5	3.6499999999999773
20	2010-12-06	167.3	short	5			-37.75000000000006	-34.10000000000008
21	2010-12-07	164.15	short	5			15.750000000000028	-18.35000000000005
22	2010-12-08	169.65	short	5			-27.5	-45.85000000000005
23	2010-12-09	166.55	short	5			15.499999999999972	-30.35000000000008
24	2010-12-10	164.5	short	5			10.250000000000057	-20.100000000000023
25	2010-12-13	170.35	short	5			-29.24999999999997	-49.349999999999994
26	2010-12-14	163.55	short	5			33.999999999999915	-15.35000000000008
27	2010-12-15	160.7	short	5			14.250000000000114	-1.099999999999966
28	2010-12-16	160.75	short	5			-0.25000000000005684	-1.3500000000000227
29	2010-12-17	160.45	short	5			1.5000000000000568	0.1500000000000341
30	2010-12-20	162.0	short	5			-7.750000000000057	-7.600000000000023
31	2010-12-21	162.95	short	5			-4.749999999999943	-12.349999999999966
32	2010-12-22	165.95	short	5			-15.0	-27.349999999999966
33	2010-12-23	167.25	short	5			-6.500000000000057	-33.85000000000002
34	2010-12-24		short	5			-0.0	-33.85000000000002
35	2010-12-27	171.5	short	5			-21.25	-55.10000000000002
36	2010-12-28	164.75	short	5			33.75	-21.350000000000023
37	2010-12-29	167.45	short	5			-13.499999999999943	-34.849999999999966
38	2010-12-30	170.7	short	5			-16.25	-51.099999999999966
39	2010-12-31	168.9	short	5			8.999999999999915	-42.10000000000005
40	2011-01-03	176.05	short	5			-35.75000000000003	-77.85000000000008
41	2011-01-04	172.4	short	5			18.25000000000003	-59.60000000000005
42	2011-01-05	171.25	short	5			5.750000000000028	-53.85000000000002
43	2011-01-06	175.85	short	5			-22.99999999999997	-76.85
44	2011-01-07	177.15	short	5			-6.500000000000057	-83.35000000000005
45	2011-01-10	176.9	short	4	True	1.0	1.25	-82.10000000000005
46	2011-01-11	177.85	short	3	True	2.0	-3.7999999999999545	-85.9
47	2011-01-12	177.15	short	2	True	3.0	2.099999999999966	-83.80000000000004
48	2011-01-13	172.55	short	1	True	4.0	9.199999999999989	-74.60000000000005
49	2011-01-14	172.7	short	0	True	5.0	-0.14999999999997726	-74.75000000000003
50	2011-09-08	167.45	long	1	True	1.0		
51	2011-09-09	168.7	long	2	True	2.0	1.25	-73.50000000000003
52	2011-09-12	168.7	long	3	True	3.0	0.0	-73.50000000000003
53	2011-09-13	167.95	long	4	True	4.0	-2.25	-75.75000000000003
54	2011-09-14	166.85	long	5	True	5.0	-4.399999999999977	-80.15
