	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2017-05-08	149.0	short	1	True	1.0		
1	2017-05-09	149.4	short	2	True	2.0	-0.4000000000000057	-0.4000000000000057
2	2017-05-10	146.1	short	3	True	3.0	6.600000000000023	6.200000000000017
3	2017-05-11	146.15	short	4	True	4.0	-0.1500000000000341	6.049999999999983
4	2017-05-12	147.75	short	5	True	5.0	-6.399999999999977	-0.3499999999999943
5	2017-05-15	145.25	short	5			12.5	12.150000000000006
6	2017-05-16	143.25	short	5			10.0	22.150000000000006
7	2017-05-17	141.95	short	5			6.500000000000057	28.650000000000063
8	2017-05-18	141.95	short	5			-0.0	28.650000000000063
9	2017-05-19	140.4	short	5			7.749999999999915	36.39999999999998
10	2017-05-22	139.8	short	5			2.9999999999999716	39.39999999999995
11	2017-05-23	139.15	short	5			3.2500000000000284	42.64999999999998
12	2017-05-24	139.05	short	5			0.4999999999999716	43.14999999999995
13	2017-05-25	139.25	short	5			-0.9999999999999432	42.150000000000006
14	2017-05-26	140.65	short	5			-7.000000000000028	35.14999999999998
15	2017-05-29		short	5			-0.0	35.14999999999998
16	2017-05-30	139.5	short	5			5.750000000000028	40.900000000000006
17	2017-05-31	137.85	short	5			8.250000000000028	49.150000000000034
18	2017-06-01	136.2	short	5			8.250000000000028	57.40000000000006
19	2017-06-02	136.9	short	5			-3.5000000000000853	53.89999999999998
20	2017-06-05	138.05	short	5			-5.750000000000028	48.14999999999995
21	2017-06-06	134.35	short	5			18.500000000000085	66.65000000000003
22	2017-06-07	133.6	short	5			3.75	70.40000000000003
23	2017-06-08	138.85	short	5			-26.25	44.150000000000034
24	2017-06-09	139.8	short	5			-4.750000000000085	39.39999999999995
25	2017-06-12	138.6	short	5			6.000000000000085	45.400000000000034
26	2017-06-13	141.1	short	5			-12.5	32.900000000000034
27	2017-06-14	140.65	short	5			2.249999999999943	35.14999999999998
28	2017-06-15	142.25	short	5			-7.999999999999972	27.150000000000006
29	2017-06-16	141.25	short	5			5.0	32.150000000000006
30	2017-06-19	139.1	short	5			10.750000000000028	42.900000000000034
31	2017-06-20	138.7	short	5			2.0000000000000284	44.90000000000006
32	2017-06-21	138.3	short	5			1.9999999999998863	46.89999999999995
33	2017-06-22	138.3	short	5			-0.0	46.89999999999995
34	2017-06-23	139.9	short	5			-7.999999999999972	38.89999999999998
35	2017-06-26	145.5	short	5			-27.99999999999997	10.900000000000006
36	2017-06-27	146.95	short	5			-7.249999999999943	3.6500000000000625
37	2017-06-28	143.35	short	5			17.99999999999997	21.650000000000034
38	2017-06-29	139.25	short	5			20.49999999999997	42.150000000000006
39	2017-06-30	139.9	short	5			-3.2500000000000284	38.89999999999998
40	2017-07-03	140.8	short	5			-4.500000000000028	34.39999999999995
41	2017-07-04		short	5			-0.0	34.39999999999995
42	2017-07-05	144.65	short	5			-19.24999999999997	15.149999999999977
43	2017-07-06	142.4	short	5			11.25	26.399999999999977
44	2017-07-07	140.4	short	5			10.0	36.39999999999998
45	2017-07-10	141.7	short	4	True	1.0	-6.499999999999915	29.900000000000063
46	2017-07-11	138.05	short	3	True	2.0	14.599999999999909	44.49999999999997
47	2017-07-12	138.8	short	2	True	3.0	-2.25	42.24999999999997
48	2017-07-13	138.85	short	1	True	4.0	-0.0999999999999659	42.150000000000006
49	2017-07-14	136.45	short	0	True	5.0	2.4000000000000057	44.55000000000001
50	2018-05-08	161.4	long	1	True	1.0		
51	2018-05-09	166.65	long	2	True	2.0	5.25	49.80000000000001
52	2018-05-10	167.95	long	3	True	3.0	2.599999999999966	52.39999999999998
53	2018-05-11	169.35	long	4	True	4.0	4.200000000000017	56.599999999999994
54	2018-05-14	171.35	long	5	True	5.0	8.0	64.6
55	2018-05-15	169.9	long	5			-7.249999999999943	57.35000000000005
56	2018-05-16	170.05	long	5			0.7500000000000284	58.10000000000008
57	2018-05-17	169.95	long	5			-0.5000000000001137	57.599999999999966
58	2018-05-18	166.2	long	5			-18.75	38.849999999999966
59	2018-05-21	167.45	long	5			6.25	45.099999999999966
60	2018-05-22	168.55	long	5			5.500000000000114	50.60000000000008
61	2018-05-23	169.0	long	5			2.249999999999943	52.85000000000002
62	2018-05-24	168.4	long	5			-2.9999999999999716	49.85000000000005
63	2018-05-25	169.3	long	5			4.500000000000028	54.35000000000008
64	2018-05-28		long	5			0.0	54.35000000000008
65	2018-05-29	169.9	long	5			2.9999999999999716	57.35000000000005
66	2018-05-30	162.7	long	5			-36.000000000000085	21.349999999999966
67	2018-05-31	161.8	long	5			-4.499999999999886	16.85000000000008
68	2018-06-01	165.3	long	5			17.5	34.35000000000008
69	2018-06-04	165.2	long	5			-0.5000000000001137	33.849999999999966
70	2018-06-05	165.0	long	5			-0.9999999999999432	32.85000000000002
71	2018-06-06	165.9	long	5			4.500000000000028	37.35000000000005
72	2018-06-07	164.85	long	5			-5.250000000000057	32.099999999999994
73	2018-06-08	159.2	long	5			-28.25000000000003	3.849999999999966
74	2018-06-11	157.0	long	5			-10.999999999999943	-7.149999999999977
75	2018-06-12	154.3	long	5			-13.499999999999943	-20.64999999999992
76	2018-06-13	153.25	long	5			-5.250000000000057	-25.899999999999977
77	2018-06-14	155.5	long	5			11.25	-14.649999999999977
78	2018-06-15	159.9	long	5			22.00000000000003	7.350000000000051
79	2018-06-18	158.0	long	5			-9.500000000000028	-2.1499999999999773
80	2018-06-19	156.9	long	5			-5.499999999999972	-7.649999999999949
81	2018-06-20	156.95	long	5			0.24999999999991473	-7.400000000000034
82	2018-06-21	155.4	long	5			-7.749999999999915	-15.149999999999949
83	2018-06-22	160.7	long	5			26.499999999999915	11.349999999999966
84	2018-06-25	157.3	long	5			-16.999999999999886	-5.64999999999992
85	2018-06-26	155.9	long	5			-7.000000000000028	-12.649999999999949
86	2018-06-27	157.4	long	5			7.5	-5.149999999999949
87	2018-06-28	159.3	long	5			9.500000000000028	4.35000000000008
88	2018-06-29	159.55	long	5			1.25	5.60000000000008
89	2018-07-02	165.8	long	5			31.25	36.85000000000008
90	2018-07-03		long	5			0.0	36.85000000000008
91	2018-07-04		long	5			0.0	36.85000000000008
92	2018-07-05		long	5			0.0	36.85000000000008
93	2018-07-06		long	5			0.0	36.85000000000008
94	2018-07-09		long	5	True	1.0	0.0	36.85000000000008
95	2018-07-10		long	5	True	2.0	0.0	36.85000000000008
96	2018-07-11		long	5	True	3.0	0.0	36.85000000000008
97	2018-07-12		long	5	True	4.0	0.0	36.85000000000008
98	2018-07-13		long	5	True	5.0	0.0	36.85000000000008
