	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2009-02-09	125.75	short	1	True	1.0		
1	2009-02-10	121.2	short	2	True	2.0	4.549999999999997	4.549999999999997
2	2009-02-11	120.0	short	3	True	3.0	2.4000000000000057	6.950000000000003
3	2009-02-12	116.7	short	4	True	4.0	9.899999999999991	16.849999999999994
4	2009-02-13	117.3	short	5	True	5.0	-2.3999999999999773	14.450000000000017
5	2009-02-16		short	5			-0.0	14.450000000000017
6	2009-02-17	115.35	short	5			9.750000000000014	24.20000000000003
7	2009-02-18	113.9	short	5			7.249999999999943	31.449999999999974
8	2009-02-19	114.85	short	5			-4.749999999999943	26.70000000000003
9	2009-02-20	113.55	short	5			6.499999999999986	33.20000000000002
10	2009-02-23	115.5	short	5			-9.750000000000014	23.450000000000003
11	2009-02-24	115.55	short	5			-0.2499999999999858	23.200000000000017
12	2009-02-25	115.1	short	5			2.250000000000014	25.45000000000003
13	2009-02-26	115.35	short	5			-1.25	24.20000000000003
14	2009-02-27	114.2	short	5			5.749999999999957	29.94999999999999
15	2009-03-02	107.9	short	5			31.499999999999986	61.449999999999974
16	2009-03-03	108.7	short	5			-3.999999999999986	57.44999999999999
17	2009-03-04	110.9	short	5			-11.000000000000014	46.449999999999974
18	2009-03-05	110.95	short	5			-0.2499999999999858	46.19999999999999
19	2009-03-06	109.4	short	5			7.749999999999986	53.949999999999974
20	2009-03-09	108.55	short	5			4.250000000000043	58.20000000000002
21	2009-03-10	108.15	short	5			1.9999999999999574	60.199999999999974
22	2009-03-11	109.2	short	5			-5.249999999999986	54.94999999999999
23	2009-03-12	112.7	short	5			-17.5	37.44999999999999
24	2009-03-13	112.25	short	5			2.250000000000014	39.7
25	2009-03-16	112.85	short	5			-2.9999999999999716	36.70000000000003
26	2009-03-17	113.25	short	5			-2.0000000000000284	34.7
27	2009-03-18	115.05	short	5			-8.999999999999986	25.700000000000017
28	2009-03-19	118.05	short	5			-15.0	10.700000000000017
29	2009-03-20	118.2	short	5			-0.7500000000000284	9.949999999999989
30	2009-03-23	119.5	short	5			-6.499999999999986	3.450000000000003
31	2009-03-24	118.7	short	5			3.999999999999986	7.449999999999989
32	2009-03-25	118.7	short	5			-0.0	7.449999999999989
33	2009-03-26	119.3	short	5			-2.9999999999999716	4.450000000000017
34	2009-03-27	117.8	short	5			7.5	11.950000000000017
