	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2021-06-08	166.7	short	1	True	1.0		
1	2021-06-09	166.05	short	2	True	2.0	0.6499999999999773	0.6499999999999773
2	2021-06-10	167.6	short	3	True	3.0	-3.099999999999966	-2.4499999999999886
3	2021-06-11	166.4	short	4	True	4.0	3.599999999999966	1.1499999999999773
4	2021-06-14	163.05	short	5	True	5.0	13.399999999999977	14.549999999999955
5	2021-06-15	160.1	short	5			14.750000000000085	29.30000000000004
6	2021-06-16	162.4	short	5			-11.500000000000057	17.799999999999983
7	2021-06-17	158.7	short	5			18.500000000000085	36.30000000000007
8	2021-06-18	159.0	short	5			-1.5000000000000568	34.80000000000001
9	2021-06-21	161.05	short	5			-10.250000000000057	24.549999999999955
10	2021-06-22	159.0	short	5			10.250000000000057	34.80000000000001
11	2021-06-23	160.7	short	5			-8.499999999999943	26.300000000000068
12	2021-06-24	160.15	short	5			2.7499999999999147	29.049999999999983
13	2021-06-25	164.45	short	5			-21.499999999999915	7.550000000000068
14	2021-06-28	169.25	short	5			-24.000000000000057	-16.44999999999999
15	2021-06-29	166.95	short	5			11.500000000000057	-4.949999999999932
16	2021-06-30	166.55	short	5			1.9999999999998863	-2.9500000000000455
17	2021-07-01	163.15	short	5			17.00000000000003	14.049999999999983
18	2021-07-02	159.9	short	5			16.25	30.299999999999983
19	2021-07-05		short	5			-0.0	30.299999999999983
20	2021-07-06	155.0	short	5			24.50000000000003	54.80000000000001
21	2021-07-07	156.95	short	5			-9.749999999999943	45.05000000000007
22	2021-07-08	159.05	short	5			-10.500000000000114	34.549999999999955
23	2021-07-09	158.25	short	5			4.000000000000057	38.55000000000001
24	2021-07-12	160.65	short	5			-12.000000000000028	26.549999999999983
25	2021-07-13	158.95	short	5			8.500000000000085	35.05000000000007
26	2021-07-14	163.3	short	5			-21.750000000000114	13.299999999999955
27	2021-07-15	163.5	short	5			-0.9999999999999432	12.300000000000011
28	2021-07-16	167.35	short	5			-19.24999999999997	-6.94999999999996
29	2021-07-19	162.9	short	5			22.249999999999943	15.299999999999983
30	2021-07-20	173.05	short	5			-50.75000000000003	-35.450000000000045
31	2021-07-21	181.95	short	5			-44.499999999999886	-79.94999999999993
32	2021-07-22	199.0	short	5			-85.25000000000006	-165.2
33	2021-07-23	194.5	short	5			22.5	-142.7
34	2021-07-26	213.1	short	5			-92.99999999999997	-235.69999999999996
