	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2002-11-08	77.5	short	1	True	1.0		
1	2002-11-11	76.5	short	2	True	2.0	1.0	1.0
2	2002-11-12	74.5	short	3	True	3.0	4.0	5.0
3	2002-11-13	74.9	short	4	True	4.0	-1.200000000000017	3.799999999999983
4	2002-11-14	75.25	short	5	True	5.0	-1.3999999999999773	2.4000000000000057
5	2002-11-15	77.8	short	5			-12.749999999999986	-10.34999999999998
6	2002-11-18	77.1	short	5			3.500000000000014	-6.849999999999966
7	2002-11-19	78.0	short	5			-4.500000000000028	-11.349999999999994
8	2002-11-20	79.4	short	5			-7.000000000000028	-18.350000000000023
9	2002-11-21	78.85	short	5			2.750000000000057	-15.599999999999966
10	2002-11-22	78.6	short	5			1.25	-14.349999999999966
11	2002-11-25	77.7	short	5			4.499999999999957	-9.850000000000009
12	2002-11-26	78.5	short	5			-3.999999999999986	-13.849999999999994
13	2002-11-27	78.75	short	5			-1.25	-15.099999999999994
14	2002-11-28		short	5			-0.0	-15.099999999999994
15	2002-11-29		short	5			-0.0	-15.099999999999994
16	2002-12-02	80.5	short	5			-8.75	-23.849999999999994
17	2002-12-03	79.0	short	5			7.5	-16.349999999999994
18	2002-12-04	78.05	short	5			4.750000000000014	-11.59999999999998
19	2002-12-05	79.0	short	5			-4.750000000000014	-16.349999999999994
20	2002-12-06	75.0	short	5			20.0	3.6500000000000057
21	2002-12-09	74.5	short	5			2.5	6.150000000000006
22	2002-12-10	74.2	short	5			1.4999999999999858	7.6499999999999915
23	2002-12-11	70.75	short	5			17.250000000000014	24.900000000000006
24	2002-12-12	70.0	short	5			3.75	28.650000000000006
25	2002-12-13	69.6	short	5			2.0000000000000284	30.650000000000034
26	2002-12-16	70.1	short	5			-2.5	28.150000000000034
27	2002-12-17	71.1	short	5			-5.0	23.150000000000034
28	2002-12-18	71.5	short	5			-2.0000000000000284	21.150000000000006
29	2002-12-19	70.8	short	5			3.500000000000014	24.65000000000002
30	2002-12-20	71.1	short	5			-1.4999999999999858	23.150000000000034
31	2002-12-23	70.45	short	5			3.2499999999999574	26.39999999999999
32	2002-12-24	70.1	short	5			1.7500000000000426	28.150000000000034
33	2002-12-25		short	5			-0.0	28.150000000000034
34	2002-12-26		short	5			-0.0	28.150000000000034
35	2002-12-27	70.5	short	5			-2.0000000000000284	26.150000000000006
36	2002-12-30	70.4	short	5			0.4999999999999716	26.649999999999977
37	2002-12-31	69.2	short	5			6.000000000000014	32.64999999999999
38	2003-01-01		short	5			-0.0	32.64999999999999
39	2003-01-02	70.65	short	5			-7.250000000000014	25.399999999999977
40	2003-01-03	70.25	short	5			2.0000000000000284	27.400000000000006
41	2003-01-06	72.25	short	5			-10.0	17.400000000000006
42	2003-01-07	72.75	short	5			-2.5	14.900000000000006
43	2003-01-08	72.35	short	5			2.0000000000000284	16.900000000000034
44	2003-01-09	72.55	short	5			-1.0000000000000142	15.90000000000002
45	2003-01-10	74.65	short	5			-10.500000000000043	5.399999999999977
46	2003-01-13	74.45	short	5			1.0000000000000142	6.3999999999999915
47	2003-01-14	74.55	short	5			-0.4999999999999716	5.90000000000002
48	2003-01-15	75.05	short	5			-2.5	3.40000000000002
49	2003-01-16	75.25	short	5			-1.0000000000000142	2.4000000000000057
50	2003-01-17	75.4	short	5			-0.7500000000000284	1.6499999999999773
51	2003-01-20		short	5			-0.0	1.6499999999999773
52	2003-01-21	75.65	short	5			-1.25	0.39999999999997726
53	2003-01-22	77.25	short	5			-7.999999999999972	-7.599999999999994
54	2003-01-23	77.45	short	5			-1.0000000000000142	-8.600000000000009
55	2003-01-24	77.0	short	5			2.250000000000014	-6.349999999999994
56	2003-01-27	75.2	short	5			8.999999999999986	2.6499999999999915
57	2003-01-28	74.65	short	5			2.749999999999986	5.399999999999977
58	2003-01-29	73.45	short	5			6.000000000000014	11.399999999999991
59	2003-01-30	73.95	short	5			-2.5	8.899999999999991
60	2003-01-31	74.55	short	5			-2.9999999999999716	5.90000000000002
61	2003-02-03	75.7	short	5			-5.750000000000028	0.14999999999999147
62	2003-02-04	74.7	short	5			5.0	5.1499999999999915
63	2003-02-05	74.05	short	5			3.2500000000000284	8.40000000000002
64	2003-02-06	75.7	short	5			-8.250000000000028	0.14999999999999147
65	2003-02-07	76.1	short	5			-1.9999999999999574	-1.849999999999966
66	2003-02-10	77.2	short	4	True	1.0	-5.500000000000043	-7.3500000000000085
67	2003-02-11	76.7	short	3	True	2.0	2.0	-5.3500000000000085
68	2003-02-12	75.7	short	2	True	3.0	3.0	-2.3500000000000085
69	2003-02-13	72.4	short	1	True	4.0	6.599999999999994	4.249999999999986
70	2003-02-14	73.0	short	0	True	5.0	-0.5999999999999943	3.6499999999999915
71	2003-08-08	66.4	long	1	True	1.0		
72	2003-08-11	63.95	long	2	True	2.0	-2.450000000000003	1.1999999999999886
73	2003-08-12	63.4	long	3	True	3.0	-1.1000000000000085	0.0999999999999801
74	2003-08-13	64.6	long	4	True	4.0	3.599999999999987	3.6999999999999673
75	2003-08-14	63.2	long	5	True	5.0	-5.599999999999966	-1.8999999999999986
76	2003-08-15	62.9	long	5			-1.5000000000000213	-3.40000000000002
77	2003-08-18	62.25	long	5			-3.249999999999993	-6.650000000000013
78	2003-08-19	62.15	long	5			-0.5000000000000071	-7.15000000000002
79	2003-08-20	62.1	long	5			-0.2499999999999858	-7.400000000000006
80	2003-08-21	63.95	long	5			9.250000000000007	1.8500000000000014
81	2003-08-22	63.15	long	5			-4.000000000000021	-2.15000000000002
82	2003-08-25	63.45	long	5			1.5000000000000213	-0.6499999999999986
83	2003-08-26	62.95	long	5			-2.5	-3.1499999999999986
84	2003-08-27	62.45	long	5			-2.5	-5.649999999999999
