	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2017-11-08	142.6	short	1	True	1.0		
1	2017-11-09	143.15	short	2	True	2.0	-0.5500000000000114	-0.5500000000000114
2	2017-11-10	144.55	short	3	True	3.0	-2.8000000000000114	-3.3500000000000227
3	2017-11-13	144.35	short	4	True	4.0	0.6000000000000512	-2.7499999999999716
4	2017-11-14	144.1	short	5	True	5.0	1.0	-1.7499999999999716
5	2017-11-15	143.65	short	5			2.249999999999943	0.4999999999999716
6	2017-11-16	143.6	short	5			0.25000000000005684	0.7500000000000284
7	2017-11-17	140.85	short	5			13.75	14.500000000000028
8	2017-11-20	139.3	short	5			7.749999999999915	22.249999999999943
9	2017-11-21	140.2	short	5			-4.499999999999886	17.750000000000057
10	2017-11-22	140.55	short	5			-1.7500000000001137	15.999999999999943
11	2017-11-23		short	5			-0.0	15.999999999999943
12	2017-11-24	141.1	short	5			-2.7499999999999147	13.250000000000028
13	2017-11-27	141.7	short	5			-2.9999999999999716	10.250000000000057
14	2017-11-28	143.2	short	5			-7.5	2.750000000000057
15	2017-11-29	145.4	short	5			-11.000000000000085	-8.250000000000028
16	2017-11-30	141.7	short	5			18.500000000000085	10.250000000000057
17	2017-12-01	142.75	short	5			-5.250000000000057	5.0
18	2017-12-04	141.7	short	5			5.250000000000057	10.250000000000057
19	2017-12-05	140.65	short	5			5.249999999999915	15.499999999999972
20	2017-12-06	139.45	short	5			6.000000000000085	21.500000000000057
21	2017-12-07	136.5	short	5			14.749999999999943	36.25
22	2017-12-08	136.05	short	5			2.249999999999943	38.49999999999994
23	2017-12-11	133.65	short	5			12.000000000000028	50.49999999999997
24	2017-12-12	132.2	short	5			7.250000000000085	57.75000000000006
25	2017-12-13	133.7	short	5			-7.5	50.25000000000006
26	2017-12-14	133.9	short	5			-1.0000000000000853	49.24999999999997
27	2017-12-15	134.4	short	5			-2.5	46.74999999999997
28	2017-12-18	135.7	short	5			-6.499999999999915	40.25000000000006
29	2017-12-19	135.6	short	5			0.4999999999999716	40.75000000000003
30	2017-12-20	137.05	short	5			-7.250000000000085	33.49999999999994
31	2017-12-21	136.15	short	5			4.500000000000028	37.99999999999997
32	2017-12-22	134.35	short	5			9.000000000000057	47.00000000000003
33	2017-12-25		short	5			-0.0	47.00000000000003
34	2017-12-26	136.25	short	5			-9.500000000000028	37.5
35	2017-12-27	138.35	short	5			-10.499999999999972	27.00000000000003
36	2017-12-28	138.65	short	5			-1.5000000000000568	25.49999999999997
37	2017-12-29	140.0	short	5			-6.749999999999972	18.75
38	2018-01-01		short	5			-0.0	18.75
39	2018-01-02	143.65	short	5			-18.25000000000003	0.4999999999999716
40	2018-01-03	142.4	short	5			6.25	6.749999999999972
41	2018-01-04	143.25	short	5			-4.249999999999972	2.5
42	2018-01-05	142.0	short	5			6.25	8.75
43	2018-01-08	138.75	short	5			16.25	25.0
44	2018-01-09	138.8	short	5			-0.25000000000005684	24.749999999999943
45	2018-01-10	137.7	short	5			5.500000000000114	30.250000000000057
46	2018-01-11	136.75	short	5			4.749999999999943	35.0
47	2018-01-12	136.15	short	5			2.9999999999999716	37.99999999999997
48	2018-01-15		short	5			-0.0	37.99999999999997
49	2018-01-16	134.45	short	5			8.500000000000085	46.50000000000006
50	2018-01-17	136.95	short	5			-12.5	34.00000000000006
51	2018-01-18	134.95	short	5			10.0	44.00000000000006
52	2018-01-19	135.1	short	5			-0.7500000000000284	43.25000000000003
53	2018-01-22	136.45	short	5			-6.749999999999972	36.50000000000006
54	2018-01-23	134.85	short	5			7.999999999999972	44.50000000000003
55	2018-01-24	136.55	short	5			-8.500000000000085	35.99999999999994
