	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1999-04-08	339.25	5	long				
1	1999-04-09	336.0	5	long			-16.25	-16.25
2	1999-04-12	330.0	5	long			-30.0	-46.25
3	1999-04-13	328.5	5	long			-7.5	-53.75
4	1999-04-14	333.0	5	long			22.5	-31.25
5	1999-04-15	337.5	5	long			22.5	-8.75
6	1999-04-16	331.0	5	long			-32.5	-41.25
7	1999-04-19	326.5	5	long			-22.5	-63.75
8	1999-04-20	330.5	5	long			20.0	-43.75
9	1999-04-21	329.0	5	long			-7.5	-51.25
10	1999-04-22	328.5	5	long			-2.5	-53.75
11	1999-04-23	324.0	5	long			-22.5	-76.25
12	1999-04-26	319.75	5	long			-21.25	-97.5
13	1999-04-27	318.0	5	long			-8.75	-106.25
14	1999-04-28	318.0	5	long			0.0	-106.25
15	1999-04-29	317.5	5	long			-2.5	-108.75
16	1999-04-30	321.0	5	long			17.5	-91.25
17	1999-05-03	320.5	5	long			-2.5	-93.75
18	1999-05-04	318.0	5	long			-12.5	-106.25
19	1999-05-05	316.0	5	long			-10.0	-116.25
20	1999-05-06	317.0	5	long			5.0	-111.25
21	1999-05-07	318.5	5	long			7.5	-103.75
22	1999-05-10	317.5	5	long			-5.0	-108.75
23	1999-05-11	320.5	5	long			15.0	-93.75
24	1999-05-12	325.0	5	long			22.5	-71.25
25	1999-05-13	325.75	5	long			3.75	-67.5
26	1999-05-14	318.0	5	long			-38.75	-106.25
27	1999-05-17	320.0	5	long			10.0	-96.25
28	1999-05-18	321.5	5	long			7.5	-88.75
29	1999-05-19	318.25	5	long			-16.25	-105.0
30	1999-05-20	317.0	5	long			-6.25	-111.25
31	1999-05-21	314.0	5	long			-15.0	-126.25
32	1999-05-24	309.5	5	long			-22.5	-148.75
33	1999-05-25	311.5	5	long			10.0	-138.75
34	1999-05-26	310.25	5	long			-6.25	-145.0
35	1999-05-27	313.0	5	long			13.75	-131.25
36	1999-05-28	316.5	5	long			17.5	-113.75
37	1999-05-31		5	long			0.0	-113.75
38	1999-06-01	315.5	5	long			-5.0	-118.75
39	1999-06-02	316.5	5	long			5.0	-113.75
40	1999-06-03	327.0	5	long			52.5	-61.25
41	1999-06-04	321.5	5	long			-27.5	-88.75
42	1999-06-07	323.5	5	long			10.0	-78.75
43	1999-06-08	319.75	5	long			-18.75	-97.5
44	1999-06-09	322.0	5	long			11.25	-86.25
45	1999-06-10	329.5	5	long			37.5	-48.75
46	1999-06-11	327.0	5	long			-12.5	-61.25
47	1999-06-14	330.5	5	long			17.5	-43.75
48	1999-06-15	324.0	5	long			-32.5	-76.25
49	1999-06-16	320.75	5	long			-16.25	-92.5
50	1999-06-17	317.5	5	long			-16.25	-108.75
51	1999-06-18	316.5	5	long			-5.0	-113.75
52	1999-06-21	319.5	5	long			15.0	-98.75
53	1999-06-22	317.0	5	long			-12.5	-111.25
54	1999-06-23	316.0	5	long			-5.0	-116.25
55	1999-06-24	315.0	5	long			-5.0	-121.25
