	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2004-06-08	405.5	short	1	True	1.0		
1	2004-06-09	407.0	short	2	True	2.0	-1.5	-1.5
2	2004-06-10	400.25	short	3	True	3.0	13.5	12.0
3	2004-06-11		short	3	True	4.0	-0.0	12.0
4	2004-06-14	400.5	short	5	True	5.0	-0.75	11.25
5	2004-06-15	397.0	short	5			17.5	28.75
6	2004-06-16	397.0	short	5			-0.0	28.75
7	2004-06-17	398.0	short	5			-5.0	23.75
8	2004-06-18	398.0	short	5			-0.0	23.75
9	2004-06-21	400.5	short	5			-12.5	11.25
10	2004-06-22	395.5	short	5			25.0	36.25
11	2004-06-23	397.0	short	5			-7.5	28.75
12	2004-06-24	391.0	short	5			30.0	58.75
13	2004-06-25	391.0	short	5			-0.0	58.75
14	2004-06-28	388.0	short	5			15.0	73.75
15	2004-06-29	386.5	short	5			7.5	81.25
16	2004-06-30	384.5	short	5			10.0	91.25
17	2004-07-01	380.0	short	5			22.5	113.75
18	2004-07-02	382.5	short	5			-12.5	101.25
19	2004-07-05		short	5			-0.0	101.25
20	2004-07-06	388.25	short	5			-28.75	72.5
21	2004-07-07	391.5	short	5			-16.25	56.25
22	2004-07-08	388.25	short	5			16.25	72.5
23	2004-07-09	388.0	short	5			1.25	73.75
24	2004-07-12	393.0	short	5			-25.0	48.75
25	2004-07-13	387.75	short	5			26.25	75.0
26	2004-07-14	391.5	short	5			-18.75	56.25
27	2004-07-15	382.75	short	5			43.75	100.0
28	2004-07-16	383.0	short	5			-1.25	98.75
29	2004-07-19	383.0	short	5			-0.0	98.75
30	2004-07-20	380.75	short	5			11.25	110.0
31	2004-07-21	376.0	short	5			23.75	133.75
32	2004-07-22	376.0	short	5			-0.0	133.75
33	2004-07-23	377.5	short	5			-7.5	126.25
34	2004-07-26	373.5	short	5			20.0	146.25
35	2004-07-27	370.75	short	5			13.75	160.0
36	2004-07-28	364.0	short	5			33.75	193.75
37	2004-07-29	364.5	short	5			-2.5	191.25
38	2004-07-30	357.25	short	5			36.25	227.5
39	2004-08-02	362.25	short	5			-25.0	202.5
40	2004-08-03	361.0	short	5			6.25	208.75
41	2004-08-04	363.5	short	5			-12.5	196.25
42	2004-08-05	367.0	short	5			-17.5	178.75
43	2004-08-06	360.5	short	5			32.5	211.25
44	2004-08-09	356.25	short	4	True	1.0	21.25	232.5
45	2004-08-10	351.5	short	3	True	2.0	19.0	251.5
46	2004-08-11	346.25	short	2	True	3.0	15.75	267.25
47	2004-08-12	340.0	short	1	True	4.0	12.5	279.75
48	2004-08-13	337.5	short	0	True	5.0	2.5	282.25
