	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2008-08-08	848.0	short	1	True	1.0		
1	2008-08-11	873.5	short	2	True	2.0	-25.5	-25.5
2	2008-08-12	876.5	short	3	True	3.0	-6.0	-31.5
3	2008-08-13	936.5	short	4	True	4.0	-180.0	-211.5
4	2008-08-14	944.0	short	5	True	5.0	-30.0	-241.5
5	2008-08-15	907.0	short	5			185.0	-56.5
6	2008-08-18	942.0	short	5			-175.0	-231.5
7	2008-08-19	932.0	short	5			50.0	-181.5
8	2008-08-20	960.0	short	5			-140.0	-321.5
9	2008-08-21	977.5	short	5			-87.5	-409.0
10	2008-08-22	949.0	short	5			142.5	-266.5
11	2008-08-25	929.0	short	5			100.0	-166.5
12	2008-08-26	918.0	short	5			55.0	-111.5
13	2008-08-27	896.0	short	5			110.0	-1.5
14	2008-08-28	881.0	short	5			75.0	73.5
15	2008-08-29	873.0	short	5			40.0	113.5
16	2008-09-01		short	5			-0.0	113.5
17	2008-09-02	841.25	short	5			158.75	272.25
18	2008-09-03	851.0	short	5			-48.75	223.5
19	2008-09-04	852.75	short	5			-8.75	214.75
20	2008-09-05	830.0	short	5			113.75	328.5
21	2008-09-08	819.75	short	5			51.25	379.75
22	2008-09-09	804.5	short	5			76.25	456.0
23	2008-09-10	793.0	short	5			57.5	513.5
24	2008-09-11	792.25	short	5			3.75	517.25
25	2008-09-12	786.5	short	5			28.75	546.0
26	2008-09-15	782.5	short	5			20.0	566.0
27	2008-09-16	758.5	short	5			120.0	686.0
28	2008-09-17	790.0	short	5			-157.5	528.5
29	2008-09-18	765.0	short	5			125.0	653.5
30	2008-09-19	788.25	short	5			-116.25	537.25
31	2008-09-22	807.5	short	5			-96.25	441.0
32	2008-09-23	815.5	short	5			-40.0	401.0
33	2008-09-24	790.0	short	5			127.5	528.5
34	2008-09-25	799.5	short	5			-47.5	481.0
35	2008-09-26	779.75	short	5			98.75	579.75
36	2008-09-29	742.0	short	5			188.75	768.5
37	2008-09-30	750.0	short	5			-40.0	728.5
38	2008-10-01	744.5	short	5			27.5	756.0
39	2008-10-02	716.0	short	5			142.5	898.5
40	2008-10-03	711.5	short	5			22.5	921.0
41	2008-10-06	668.25	short	5			216.25	1137.25
42	2008-10-07	672.5	short	5			-21.25	1116.0
43	2008-10-08	675.0	short	5			-12.5	1103.5
44	2008-10-09	675.0	short	5			-0.0	1103.5
45	2008-10-10	640.0	short	5			175.0	1278.5
46	2008-10-13	665.0	short	5			-125.0	1153.5
47	2008-10-14	648.5	short	5			82.5	1236.0
48	2008-10-15	626.0	short	5			112.5	1348.5
49	2008-10-16	625.0	short	5			5.0	1353.5
50	2008-10-17	637.0	short	5			-60.0	1293.5
51	2008-10-20	635.25	short	5			8.75	1302.25
52	2008-10-21	620.0	short	5			76.25	1378.5
53	2008-10-22	588.0	short	5			160.0	1538.5
54	2008-10-23	590.5	short	5			-12.5	1526.0
55	2008-10-24	585.25	short	5			26.25	1552.25
56	2008-10-27	601.5	short	5			-81.25	1471.0
57	2008-10-28	593.75	short	5			38.75	1509.75
58	2008-10-29	638.0	short	5			-221.25	1288.5
59	2008-10-30	613.0	short	5			125.0	1413.5
60	2008-10-31	610.5	short	5			12.5	1426.0
61	2008-11-03	633.75	short	5			-116.25	1309.75
62	2008-11-04	644.0	short	5			-51.25	1258.5
63	2008-11-05	613.5	short	5			152.5	1411.0
64	2008-11-06	598.25	short	5			76.25	1487.25
65	2008-11-07	603.5	short	5			-26.25	1461.0
66	2008-11-10	597.0	short	4	True	1.0	32.5	1493.5
67	2008-11-11	609.0	short	3	True	2.0	-48.0	1445.5
68	2008-11-12	611.5	short	2	True	3.0	-7.5	1438.0
69	2008-11-13	613.5	short	1	True	4.0	-4.0	1434.0
70	2008-11-14	629.0	short	0	True	5.0	-15.5	1418.5
71	2009-04-08	589.75	long	1	True	1.0		
72	2009-04-09	580.0	long	2	True	2.0	-9.75	1408.75
73	2009-04-10		long	2	True	3.0	0.0	1408.75
74	2009-04-13	579.5	long	4	True	4.0	-1.0	1407.75
75	2009-04-14	574.5	long	5	True	5.0	-20.0	1387.75
76	2009-04-15	570.0	long	5			-22.5	1365.25
77	2009-04-16	580.25	long	5			51.25	1416.5
78	2009-04-17	579.5	long	5			-3.75	1412.75
79	2009-04-20	568.0	long	5			-57.5	1355.25
80	2009-04-21	572.25	long	5			21.25	1376.5
81	2009-04-22	578.5	long	5			31.25	1407.75
82	2009-04-23	592.0	long	5			67.5	1475.25
83	2009-04-24	593.5	long	5			7.5	1482.75
84	2009-04-27	571.5	long	5			-110.0	1372.75
85	2009-04-28	572.0	long	5			2.5	1375.25
86	2009-04-29	581.0	long	5			45.0	1420.25
87	2009-04-30	584.75	long	5			18.75	1439.0
88	2009-05-01	614.75	long	5			150.0	1589.0
89	2009-05-04	597.0	long	5			-88.75	1500.25
90	2009-05-05	598.75	long	5			8.75	1509.0
91	2009-05-06	607.0	long	5			41.25	1550.25
92	2009-05-07	613.75	long	5			33.75	1584.0
93	2009-05-08	633.0	long	5			96.25	1680.25
94	2009-05-11	634.0	long	5			5.0	1685.25
95	2009-05-12	637.5	long	5			17.5	1702.75
96	2009-05-13	638.0	long	5			2.5	1705.25
97	2009-05-14	643.75	long	5			28.75	1734.0
98	2009-05-15	630.5	long	5			-66.25	1667.75
99	2009-05-18	644.0	long	5			67.5	1735.25
100	2009-05-19	642.75	long	5			-6.25	1729.0
101	2009-05-20	650.0	long	5			36.25	1765.25
102	2009-05-21	647.0	long	5			-15.0	1750.25
103	2009-05-22	660.5	long	5			67.5	1817.75
104	2009-05-25		long	5			0.0	1817.75
105	2009-05-26	662.25	long	5			8.75	1826.5
106	2009-05-27	675.0	long	5			63.75	1890.25
107	2009-05-28	680.75	long	5			28.75	1919.0
108	2009-05-29	687.0	long	5			31.25	1950.25
109	2009-06-01	726.0	long	5			195.0	2145.25
110	2009-06-02	719.0	long	5			-35.0	2110.25
111	2009-06-03	671.75	long	5			-236.25	1874.0
112	2009-06-04	690.0	long	5			91.25	1965.25
113	2009-06-05	675.0	long	5			-75.0	1890.25
114	2009-06-08	652.75	long	4	True	1.0	-111.25	1779.0
115	2009-06-09	665.5	long	3	True	2.0	51.0	1830.0
116	2009-06-10	648.0	long	2	True	3.0	-52.5	1777.5
117	2009-06-11	644.5	long	1	True	4.0	-7.0	1770.5
118	2009-06-12	637.0	long	0	True	5.0	-7.5	1763.0
