	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2010-11-08	830.5	short	1	True	1.0		
1	2010-11-09	823.5	short	2	True	2.0	7.0	7.0
2	2010-11-10	812.5	short	3	True	3.0	22.0	29.0
3	2010-11-11	806.0	short	4	True	4.0	19.5	48.5
4	2010-11-12	768.0	short	5	True	5.0	152.0	200.5
5	2010-11-15	770.5	short	5			-12.5	188.0
6	2010-11-16	727.0	short	5			217.5	405.5
7	2010-11-17	732.75	short	5			-28.75	376.75
8	2010-11-18	748.5	short	5			-78.75	298.0
9	2010-11-19	749.0	short	5			-2.5	295.5
10	2010-11-22	751.25	short	5			-11.25	284.25
11	2010-11-23	751.0	short	5			1.25	285.5
12	2010-11-24	756.0	short	5			-25.0	260.5
13	2010-11-25		short	5			-0.0	260.5
14	2010-11-26	759.75	short	5			-18.75	241.75
15	2010-11-29	764.75	short	5			-25.0	216.75
16	2010-11-30	766.75	short	5			-10.0	206.75
17	2010-12-01	820.0	short	5			-266.25	-59.5
18	2010-12-02	818.0	short	5			10.0	-49.5
19	2010-12-03	829.25	short	5			-56.25	-105.75
20	2010-12-06	842.75	short	5			-67.5	-173.25
21	2010-12-07	844.75	short	5			-10.0	-183.25
22	2010-12-08	847.75	short	5			-15.0	-198.25
23	2010-12-09	857.0	short	5			-46.25	-244.5
24	2010-12-10	848.0	short	5			45.0	-199.5
25	2010-12-13	854.75	short	5			-33.75	-233.25
26	2010-12-14	835.25	short	5			97.5	-135.75
27	2010-12-15	831.75	short	5			17.5	-118.25
28	2010-12-16	826.25	short	5			27.5	-90.75
29	2010-12-17	833.0	short	5			-33.75	-124.5
30	2010-12-20	848.0	short	5			-75.0	-199.5
31	2010-12-21	848.75	short	5			-3.75	-203.25
32	2010-12-22	866.0	short	5			-86.25	-289.5
33	2010-12-23	866.5	short	5			-2.5	-292.0
34	2010-12-24		short	5			-0.0	-292.0
35	2010-12-27	865.5	short	5			5.0	-287.0
36	2010-12-28	881.5	short	5			-80.0	-367.0
37	2010-12-29	879.75	short	5			8.75	-358.25
38	2010-12-30	866.25	short	5			67.5	-290.75
39	2010-12-31	874.25	short	5			-40.0	-330.75
40	2011-01-03	883.75	short	5			-47.5	-378.25
41	2011-01-04	872.75	short	5			55.0	-323.25
42	2011-01-05	896.5	short	5			-118.75	-442.0
43	2011-01-06	882.25	short	5			71.25	-370.75
44	2011-01-07	872.5	short	5			48.75	-322.0
45	2011-01-10	870.5	short	5			10.0	-312.0
46	2011-01-11	867.5	short	5			15.0	-297.0
47	2011-01-12	884.0	short	5			-82.5	-379.5
48	2011-01-13	900.75	short	5			-83.75	-463.25
49	2011-01-14	892.0	short	5			43.75	-419.5
50	2011-01-17		short	5			-0.0	-419.5
51	2011-01-18	906.75	short	5			-73.75	-493.25
52	2011-01-19	906.75	short	5			-0.0	-493.25
53	2011-01-20	914.5	short	5			-38.75	-532.0
54	2011-01-21	923.0	short	5			-42.5	-574.5
55	2011-01-24	933.0	short	5			-50.0	-624.5
56	2011-01-25	942.5	short	5			-47.5	-672.0
57	2011-01-26	965.0	short	5			-112.5	-784.5
58	2011-01-27	958.5	short	5			32.5	-752.0
59	2011-01-28	938.25	short	5			101.25	-650.75
60	2011-01-31	952.75	short	5			-72.5	-723.25
61	2011-02-01	950.5	short	5			11.25	-712.0
62	2011-02-02	979.75	short	5			-146.25	-858.25
63	2011-02-03	978.0	short	5			8.75	-849.5
64	2011-02-04	974.0	short	5			20.0	-829.5
65	2011-02-07	985.25	short	5			-56.25	-885.75
66	2011-02-08	1004.25	short	4	True	1.0	-95.0	-980.75
67	2011-02-09	1020.5	short	3	True	2.0	-65.0	-1045.75
68	2011-02-10	998.75	short	2	True	3.0	65.25	-980.5
69	2011-02-11	1003.5	short	1	True	4.0	-9.5	-990.0
70	2011-02-14	1005.75	short	0	True	5.0	-2.25	-992.25
71	2011-06-08	903.5	long	1	True	1.0		
72	2011-06-09	889.75	long	2	True	2.0	-13.75	-1006.0
73	2011-06-10	886.0	long	3	True	3.0	-7.5	-1013.5
74	2011-06-13	869.0	long	4	True	4.0	-51.0	-1064.5
75	2011-06-14	858.75	long	5	True	5.0	-41.0	-1105.5
76	2011-06-15	838.0	long	5			-103.75	-1209.25
77	2011-06-16	817.0	long	5			-105.0	-1314.25
78	2011-06-17	822.25	long	5			26.25	-1288.0
79	2011-06-20	820.0	long	5			-11.25	-1299.25
80	2011-06-21	821.5	long	5			7.5	-1291.75
81	2011-06-22	788.75	long	5			-163.75	-1455.5
82	2011-06-23	778.25	long	5			-52.5	-1508.0
83	2011-06-24	767.25	long	5			-55.0	-1563.0
84	2011-06-27	747.0	long	5			-101.25	-1664.25
85	2011-06-28	763.0	long	5			80.0	-1584.25
86	2011-06-29	764.0	long	5			5.0	-1579.25
87	2011-06-30	707.25	long	5			-283.75	-1863.0
88	2011-07-01	720.75	long	5			67.5	-1795.5
89	2011-07-04		long	5			0.0	-1795.5
90	2011-07-05	736.0	long	5			76.25	-1719.25
91	2011-07-06	726.5	long	5			-47.5	-1766.75
92	2011-07-07	724.0	long	5			-12.5	-1779.25
93	2011-07-08	727.25	long	5			16.25	-1763.0
94	2011-07-11	711.25	long	5			-80.0	-1843.0
95	2011-07-12	733.0	long	5			108.75	-1734.25
96	2011-07-13	762.0	long	5			145.0	-1589.25
97	2011-07-14	765.25	long	5			16.25	-1573.0
98	2011-07-15	764.5	long	5			-3.75	-1576.75
99	2011-07-18	761.0	long	5			-17.5	-1594.25
100	2011-07-19	778.0	long	5			85.0	-1509.25
101	2011-07-20	794.0	long	5			80.0	-1429.25
102	2011-07-21	774.25	long	5			-98.75	-1528.0
103	2011-07-22	780.0	long	5			28.75	-1499.25
104	2011-07-25	770.5	long	5			-47.5	-1546.75
105	2011-07-26	780.5	long	5			50.0	-1496.75
106	2011-07-27	788.25	long	5			38.75	-1458.0
107	2011-07-28	783.5	long	5			-23.75	-1481.75
108	2011-07-29	767.0	long	5			-82.5	-1564.25
109	2011-08-01	771.25	long	5			21.25	-1543.0
110	2011-08-02	808.0	long	5			183.75	-1359.25
111	2011-08-03	798.0	long	5			-50.0	-1409.25
112	2011-08-04	771.0	long	5			-135.0	-1544.25
113	2011-08-05	780.25	long	5			46.25	-1498.0
