	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2001-02-08	353.5	short	1	True	1.0		
1	2001-02-09	352.5	short	2	True	2.0	1.0	1.0
2	2001-02-12	350.0	short	3	True	3.0	5.0	6.0
3	2001-02-13	348.5	short	4	True	4.0	4.5	10.5
4	2001-02-14	352.5	short	5	True	5.0	-16.0	-5.5
5	2001-02-15	351.5	short	5			5.0	-0.5
6	2001-02-16	351.0	short	5			2.5	2.0
7	2001-02-19		short	5			-0.0	2.0
8	2001-02-20	352.0	short	5			-5.0	-3.0
9	2001-02-21	350.5	short	5			7.5	4.5
10	2001-02-22	347.75	short	5			13.75	18.25
11	2001-02-23	346.5	short	5			6.25	24.5
12	2001-02-26	343.0	short	5			17.5	42.0
13	2001-02-27	344.0	short	5			-5.0	37.0
14	2001-02-28	350.5	short	5			-32.5	4.5
15	2001-03-01	352.0	short	5			-7.5	-3.0
16	2001-03-02	353.75	short	5			-8.75	-11.75
17	2001-03-05	358.0	short	5			-21.25	-33.0
18	2001-03-06	357.5	short	5			2.5	-30.5
19	2001-03-07	355.75	short	5			8.75	-21.75
20	2001-03-08	356.25	short	5			-2.5	-24.25
21	2001-03-09	357.0	short	5			-3.75	-28.0
22	2001-03-12	362.25	short	5			-26.25	-54.25
23	2001-03-13	362.0	short	5			1.25	-53.0
24	2001-03-14	360.0	short	5			10.0	-43.0
25	2001-03-15	351.5	short	5			42.5	-0.5
26	2001-03-16	347.0	short	5			22.5	22.0
27	2001-03-19	344.5	short	5			12.5	34.5
28	2001-03-20	344.5	short	5			-0.0	34.5
29	2001-03-21	341.0	short	5			17.5	52.0
30	2001-03-22	335.5	short	5			27.5	79.5
31	2001-03-23	339.25	short	5			-18.75	60.75
32	2001-03-26	342.0	short	5			-13.75	47.0
33	2001-03-27	343.75	short	5			-8.75	38.25
34	2001-03-28	341.0	short	5			13.75	52.0
35	2001-03-29	340.75	short	5			1.25	53.25
36	2001-03-30	334.0	short	5			33.75	87.0
37	2001-04-02	336.75	short	5			-13.75	73.25
38	2001-04-03	340.25	short	5			-17.5	55.75
39	2001-04-04	341.5	short	5			-6.25	49.5
40	2001-04-05	341.0	short	5			2.5	52.0
41	2001-04-06	339.5	short	5			7.5	59.5
42	2001-04-09	338.0	short	4	True	1.0	7.5	67.0
43	2001-04-10	334.0	short	3	True	2.0	16.0	83.0
44	2001-04-11	338.0	short	2	True	3.0	-12.0	71.0
45	2001-04-12	343.75	short	1	True	4.0	-11.5	59.5
46	2001-04-13		short	1	True	5.0	-0.0	59.5
47	2001-08-08	315.0	long	1	True	1.0		
48	2001-08-09	316.0	long	2	True	2.0	1.0	60.5
49	2001-08-10	316.0	long	3	True	3.0	0.0	60.5
50	2001-08-13	316.25	long	4	True	4.0	0.75	61.25
51	2001-08-14	312.25	long	5	True	5.0	-16.0	45.25
52	2001-08-15	309.75	long	5			-12.5	32.75
53	2001-08-16	310.5	long	5			3.75	36.5
54	2001-08-17	311.5	long	5			5.0	41.5
55	2001-08-20	309.5	long	5			-10.0	31.5
56	2001-08-21	311.5	long	5			10.0	41.5
57	2001-08-22	310.5	long	5			-5.0	36.5
58	2001-08-23	315.0	long	5			22.5	59.0
59	2001-08-24	313.75	long	5			-6.25	52.75
60	2001-08-27	313.25	long	5			-2.5	50.25
61	2001-08-28	310.0	long	5			-16.25	34.0
62	2001-08-29	313.25	long	5			16.25	50.25
63	2001-08-30	311.25	long	5			-10.0	40.25
64	2001-08-31	312.5	long	5			6.25	46.5
65	2001-09-03		long	5			0.0	46.5
66	2001-09-04	309.25	long	5			-16.25	30.25
67	2001-09-05	307.75	long	5			-7.5	22.75
68	2001-09-06	304.25	long	5			-17.5	5.25
69	2001-09-07	301.5	long	5			-13.75	-8.5
70	2001-09-10	303.0	long	5			7.5	-1.0
71	2001-09-11		long	5			0.0	-1.0
72	2001-09-12		long	5			0.0	-1.0
73	2001-09-13	303.0	long	5			0.0	-1.0
74	2001-09-14	295.5	long	5			-37.5	-38.5
75	2001-09-17	296.75	long	5			6.25	-32.25
76	2001-09-18	296.0	long	5			-3.75	-36.0
77	2001-09-19	292.0	long	5			-20.0	-56.0
78	2001-09-20	293.25	long	5			6.25	-49.75
79	2001-09-21	292.5	long	5			-3.75	-53.5
80	2001-09-24	291.75	long	5			-3.75	-57.25
81	2001-09-25	294.0	long	5			11.25	-46.0
82	2001-09-26	294.0	long	5			0.0	-46.0
83	2001-09-27	295.0	long	5			5.0	-41.0
84	2001-09-28	292.5	long	5			-12.5	-53.5
85	2001-10-01	286.0	long	5			-32.5	-86.0
86	2001-10-02	281.0	long	5			-25.0	-111.0
87	2001-10-03	284.75	long	5			18.75	-92.25
88	2001-10-04	286.75	long	5			10.0	-82.25
89	2001-10-05	286.0	long	5			-3.75	-86.0
90	2001-10-08	287.0	long	5			5.0	-81.0
91	2001-10-09	286.25	long	5			-3.75	-84.75
92	2001-10-10	287.25	long	5			5.0	-79.75
93	2001-10-11	288.75	long	5			7.5	-72.25
94	2001-10-12	283.75	long	5			-25.0	-97.25
95	2001-10-15	281.75	long	5			-10.0	-107.25
96	2001-10-16	288.0	long	5			31.25	-76.0
97	2001-10-17	294.5	long	5			32.5	-43.5
98	2001-10-18	290.75	long	5			-18.75	-62.25
99	2001-10-19	294.0	long	5			16.25	-46.0
100	2001-10-22	289.5	long	5			-22.5	-68.5
101	2001-10-23	291.75	long	5			11.25	-57.25
102	2001-10-24	292.25	long	5			2.5	-54.75
103	2001-10-25	296.25	long	5			20.0	-34.75
104	2001-10-26	301.5	long	5			26.25	-8.5
105	2001-10-29	299.5	long	5			-10.0	-18.5
106	2001-10-30	301.5	long	5			10.0	-8.5
107	2001-10-31	301.5	long	5			0.0	-8.5
108	2001-11-01	296.25	long	5			-26.25	-34.75
109	2001-11-02	293.75	long	5			-12.5	-47.25
110	2001-11-05	292.25	long	5			-7.5	-54.75
111	2001-11-06	292.75	long	5			2.5	-52.25
112	2001-11-07	294.75	long	5			10.0	-42.25
113	2001-11-08	292.25	long	4	True	1.0	-12.5	-54.75
114	2001-11-09	290.75	long	3	True	2.0	-6.0	-60.75
115	2001-11-12	288.0	long	2	True	3.0	-8.25	-69.0
116	2001-11-13	282.25	long	1	True	4.0	-11.5	-80.5
117	2001-11-14	282.75	long	0	True	5.0	0.5	-80.0
