	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2019-02-08	550.75	short	1	True	1.0		
1	2019-02-11	552.75	short	2	True	2.0	-2.0	-2.0
2	2019-02-12	549.0	short	3	True	3.0	7.5	5.5
3	2019-02-13	551.0	short	4	True	4.0	-6.0	-0.5
4	2019-02-14	544.0	short	5	True	5.0	28.0	27.5
5	2019-02-15	542.75	short	5			6.25	33.75
6	2019-02-18		short	5			-0.0	33.75
7	2019-02-19	530.0	short	5			63.75	97.5
8	2019-02-20	521.75	short	5			41.25	138.75
9	2019-02-21	525.5	short	5			-18.75	120.0
10	2019-02-22	526.0	short	5			-2.5	117.5
11	2019-02-25	515.0	short	5			55.0	172.5
12	2019-02-26	513.5	short	5			7.5	180.0
13	2019-02-27	511.0	short	5			12.5	192.5
14	2019-02-28	508.5	short	5			12.5	205.0
15	2019-03-01	509.25	short	5			-3.75	201.25
16	2019-03-04	501.5	short	5			38.75	240.0
17	2019-03-05	510.5	short	5			-45.0	195.0
18	2019-03-06	501.75	short	5			43.75	238.75
19	2019-03-07	498.0	short	5			18.75	257.5
20	2019-03-08	501.0	short	5			-15.0	242.5
21	2019-03-11	491.5	short	5			47.5	290.0
22	2019-03-12	508.25	short	5			-83.75	206.25
23	2019-03-13	502.0	short	5			31.25	237.5
24	2019-03-14	501.75	short	5			1.25	238.75
25	2019-03-15	509.5	short	5			-38.75	200.0
26	2019-03-18	506.75	short	5			13.75	213.75
27	2019-03-19	504.5	short	5			11.25	225.0
28	2019-03-20	510.0	short	5			-27.5	197.5
29	2019-03-21	510.75	short	5			-3.75	193.75
30	2019-03-22	510.0	short	5			3.75	197.5
31	2019-03-25	515.0	short	5			-25.0	172.5
32	2019-03-26	509.25	short	5			28.75	201.25
33	2019-03-27	510.5	short	5			-6.25	195.0
34	2019-03-28	506.0	short	5			22.5	217.5
35	2019-03-29	497.75	short	5			41.25	258.75
36	2019-04-01	500.75	short	5			-15.0	243.75
37	2019-04-02	500.75	short	5			-0.0	243.75
38	2019-04-03	503.75	short	5			-15.0	228.75
39	2019-04-04	505.75	short	5			-10.0	218.75
40	2019-04-05	500.0	short	5			28.75	247.5
41	2019-04-08	500.75	short	4	True	1.0	-3.75	243.75
42	2019-04-09	500.0	short	3	True	2.0	3.0	246.75
43	2019-04-10	498.75	short	2	True	3.0	3.75	250.5
44	2019-04-11	502.75	short	1	True	4.0	-8.0	242.5
45	2019-04-12	505.25	short	0	True	5.0	-2.5	240.0
46	2020-02-10	478.5	long	1	True	1.0		
47	2020-02-11	474.25	long	2	True	2.0	-4.25	235.75
48	2020-02-12	477.25	long	3	True	3.0	6.0	241.75
49	2020-02-13	472.75	long	4	True	4.0	-13.5	228.25
50	2020-02-14	472.25	long	5	True	5.0	-2.0	226.25
51	2020-02-17		long	5			0.0	226.25
52	2020-02-18	493.0	long	5			103.75	330.0
53	2020-02-19	486.75	long	5			-31.25	298.75
54	2020-02-20	481.0	long	5			-28.75	270.0
55	2020-02-21	475.5	long	5			-27.5	242.5
56	2020-02-24	459.25	long	5			-81.25	161.25
57	2020-02-25	462.0	long	5			13.75	175.0
58	2020-02-26	459.25	long	5			-13.75	161.25
59	2020-02-27	451.75	long	5			-37.5	123.75
60	2020-02-28	453.25	long	5			7.5	131.25
61	2020-03-02	457.75	long	5			22.5	153.75
62	2020-03-03	458.25	long	5			2.5	156.25
63	2020-03-04	453.25	long	5			-25.0	131.25
64	2020-03-05	446.25	long	5			-35.0	96.25
65	2020-03-06	446.25	long	5			0.0	96.25
66	2020-03-09	441.0	long	5			-26.25	70.0
67	2020-03-10	444.75	long	5			18.75	88.75
68	2020-03-11	435.5	long	5			-46.25	42.5
69	2020-03-12	432.75	long	5			-13.75	28.75
70	2020-03-13	431.5	long	5			-6.25	22.5
71	2020-03-16	423.75	long	5			-38.75	-16.25
72	2020-03-17	432.25	long	5			42.5	26.25
73	2020-03-18	446.5	long	5			71.25	97.5
74	2020-03-19	465.5	long	5			95.0	192.5
75	2020-03-20	469.0	long	5			17.5	210.0
76	2020-03-23	489.5	long	5			102.5	312.5
77	2020-03-24	490.75	long	5			6.25	318.75
78	2020-03-25	501.0	long	5			51.25	370.0
79	2020-03-26	487.25	long	5			-68.75	301.25
80	2020-03-27	486.75	long	5			-2.5	298.75
81	2020-03-30	486.75	long	5			0.0	298.75
82	2020-03-31	493.0	long	5			31.25	330.0
83	2020-04-01	475.0	long	5			-90.0	240.0
84	2020-04-02	464.0	long	5			-55.0	185.0
85	2020-04-03	472.0	long	5			40.0	225.0
86	2020-04-06	475.75	long	5			18.75	243.75
87	2020-04-07	473.25	long	5			-12.5	231.25
88	2020-04-08	478.0	long	4	True	1.0	23.75	255.0
89	2020-04-09	492.0	long	3	True	2.0	56.0	311.0
90	2020-04-10		long	3	True	3.0	0.0	311.0
91	2020-04-13	494.0	long	1	True	4.0	6.0	317.0
92	2020-04-14	483.75	long	0	True	5.0	-10.25	306.75
