	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2011-01-10	2484.25	short	1	True	1.0		
1	2011-01-11	2494.0	short	2	True	2.0	-9.75	-9.75
2	2011-01-12	2500.5	short	3	True	3.0	-13.0	-22.75
3	2011-01-13	2478.5	short	4	True	4.0	66.0	43.25
4	2011-01-14	2466.0	short	5	True	5.0	50.0	93.25
5	2011-01-17	2428.0	short	5			190.0	283.25
6	2011-01-18	2442.0	short	5			-70.0	213.25
7	2011-01-19	2421.75	short	5			101.25	314.5
8	2011-01-20	2399.0	short	5			113.75	428.25
9	2011-01-21	2410.25	short	5			-56.25	372.0
10	2011-01-24	2403.25	short	5			35.0	407.0
11	2011-01-25	2350.0	short	5			266.25	673.25
12	2011-01-26	2375.25	short	5			-126.25	547.0
13	2011-01-27	2416.5	short	5			-206.25	340.75
14	2011-01-28	2463.5	short	5			-235.0	105.75
15	2011-01-31	2512.25	short	5			-243.75	-138.0
16	2011-02-01	2542.0	short	5			-148.75	-286.75
17	2011-02-02	2515.0	short	5			135.0	-151.75
18	2011-02-03	2517.75	short	5			-13.75	-165.5
19	2011-02-04	2530.25	short	5			-62.5	-228.0
20	2011-02-07	2538.0	short	5			-38.75	-266.75
21	2011-02-08	2551.75	long	1	True	1.0		
22	2011-02-08	2551.75	short	4	True	1.0	-68.75	-335.5
23	2011-02-09	2531.5	long	2	True	2.0	-20.25	-355.75
24	2011-02-09	2531.5	short	3	True	2.0	81.0	-274.75
25	2011-02-10	2524.0	long	3	True	3.0	-15.0	-289.75
26	2011-02-10	2524.0	short	2	True	3.0	22.5	-267.25
27	2011-02-11	2481.0	long	4	True	4.0	-129.0	-396.25
28	2011-02-11	2481.0	short	1	True	4.0	86.0	-310.25
29	2011-02-14	2499.0	long	5	True	5.0	72.0	-238.25
30	2011-02-14	2499.0	short	0	True	5.0	-18.0	-256.25
31	2011-02-15	2488.0	long	5			-55.0	-311.25
32	2011-02-16	2486.0	long	5			-10.0	-321.25
33	2011-02-17	2492.75	long	5			33.75	-287.5
34	2011-02-18	2547.5	long	5			273.75	-13.75
35	2011-02-21	2557.5	long	5			50.0	36.25
36	2011-02-22	2505.0	long	5			-262.5	-226.25
37	2011-02-23	2506.5	long	5			7.5	-218.75
38	2011-02-24	2517.25	long	5			53.75	-165.0
39	2011-02-25	2541.5	long	5			121.25	-43.75
40	2011-02-28	2575.5	long	5			170.0	126.25
41	2011-03-01	2583.25	long	5			38.75	165.0
42	2011-03-02	2575.75	long	5			-37.5	127.5
43	2011-03-03	2583.75	long	5			40.0	167.5
44	2011-03-04	2570.75	long	5			-65.0	102.5
45	2011-03-07	2527.0	long	5			-218.75	-116.25
46	2011-03-08	2563.75	long	4	True	1.0	183.75	67.5
47	2011-03-09	2546.25	long	3	True	2.0	-70.0	-2.5
48	2011-03-10	2553.75	long	2	True	3.0	22.5	20.0
49	2011-03-11	2512.5	long	1	True	4.0	-82.5	-62.5
50	2011-03-14	2525.0	long	0	True	5.0	12.5	-50.0
